"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","158130","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","candolleana","Albertinia candolleana","Gardner","isotype","G. Gardner","X4812","1840","08","South America","Brazil","Minas Gerais","Prope Villa do Principe (nunc Ciudade do Serra), Minas Geraes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158130","NY00158130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","158132","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","candolleana","Albertinia candolleana","Gardner","isotype","G. Gardner","4812",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158132","NY00158132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","158131","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","candolleana","Albertinia candolleana","Gardner","isotype","G. Gardner","4812","1836",NA,"South America","Brazil","Minas Gerais","[From NY 158132: Minas Geraes.]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158131","NY00158131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","860333","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"A. F. M. Glaziou","11070","1879","06","South America","Brazil","Minas Gerais","Poés [?] de Barbacena","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860333","NY00860333_01","N. F. F. MacLeish","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","791798","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"N. F. F. MacLeish","660","1980","09","South America","Brazil","Rio de Janeiro","Tejuco National Park, between Vista Chinesa and Mesa do Imperador, Estrada da Boa Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791798","NY00791798_01",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","791793","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"C. E. O. Kuntze","s.n.","1892","12","South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791793","NY00791793_01","N. F. F. MacLeish",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","791799","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"G. Gehrt","s.n.","1920","04","South America","Brazil","São Paulo","Franca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791799","NY00791799_01","N. F. F. MacLeish","09",NA,NA,"-47.408394","-20.588552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","796754","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"L. Riedel","s.n.","1823","09","South America","Brazil",NA,"Inter Mandioca et Serra Estrella","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796754","NY00796754_01",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2482441","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"E. Edwall",NA,"1901","10","South America","Brazil",NA,"Pico da Serra Negra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711386' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482441","NY02482441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","796753","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"A. C. Brade","5461","1922","08","South America","Brazil","São Paulo","Jaragua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796753","NY00796753_01","N. F. F. MacLeish","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2482444","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"A. F. M. Glaziou",NA,"1883",NA,"South America","Brazil","Minas Gerais","Environs de Rio de Janeiro et d'Ouro Preto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711389' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482444","NY02482444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","860326","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"A. F. M. Glaziou","11108",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860326","NY00860326_01","N. F. F. MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","796751","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"H. de F. Leitão Filho","1023","1970","08","South America","Brazil","São Paulo","Pico do Jaraguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796751","NY00796751_01",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 21:01:00-03","NY","NYBG","860334","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus",NA,NA,"H. Schumacher","1087","1981","09","South America","Brazil","Minas Gerais","Between BR 116 and Diamantina, 8 km from Caraí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860334","NY00860334_01","N. F. F. MacLeish","06","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
