"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","previousCatalogNumber","sex"
"1","2021-04-05 14:25:34-03","UNESC","CRI","14220","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","Sobral, M","2010","08","15","Stival-Santos, A.; Legal, E. & Silveira, S.","2422","2010","04","06","Brasil","Santa Catarina","Angelina","Linha do Chaves. Linha do Chaves.","-48.96","-27.54","48º57'36''W","27º32'24''S","718","718","Florística IFFSC 349 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arvoreta; Fruto verde;","CRI013328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:34-03","UNESC","CRI","14215","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","Sobral, M","2010","08","15","Stival-Santos, A.; Silveira, S.","2032","2010","04","03","Brasil","Santa Catarina","Doutor Pedrinho","Bairro Capivari - Cachoeira Paulista. Bairro Capivari - Cachoeira Paulista.","-49.493056","-26.73","49º29'35''W","26º43'48''S","623","623","Florística IFFSC as08 (Arbusto) Habitat: Floresta Ombrófila Densa; interior do fragmento Habito: arbustiva; Fruto verde;","CRI013329","CRI013329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","15256","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","Isadora Zappelini","2020","08","18","Alexandre Medeiros","344","2017","05","20","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Brava","-48.602778","-26.999167","48º36'10''W","26º59'57''S","13","13","Habito: Arbusto","CRI014674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","15275","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","Aline Votri Guislon","2020","05","15","Aline V. Guislon; Renato Colares; Felipe Seron & Iara Z. Zanoni",NA,"2018","09","25","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Estevão. Bairro Dagostim. Área L5","-49.35","-28.749444","49º21'0''W","28º44'58''S","170","170","Habito: Arbóreo","CRI014692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:34-03","UNESC","CRI","11556","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","A. A. de Oliveira","2011","02","09","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2674","2010","05","03","Brasil","Santa Catarina","Itapema","Canto da Praia.","-48.599722","-27.089444","48º35'59''W","27º5'22''S","60","60","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI008624","CRI008624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:34-03","UNESC","CRI","3364","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1960","1993","05","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004567","CRI004567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1015303","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","T. D. Pennington",NA,NA,NA,"J. L. Paixão","204","2002","04","04","Brazil","Bahia","Jussari","Rod. Jussarí/Palmira, entrada ca. 7.5 km de Jussarí, Faz. Teimoso.","-39.5286","-15.1581",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019370' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015303","NY01015303_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","533299","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","T. D. Pennington",NA,NA,NA,"A. M. Amorim","2695","1998","11","21","Brazil","Bahia","Jussari","Rod. Jussari-Palmira. Entrada ca. 7,5 km de Jussari. faz. teimoso. RPPN Serra do Teimoso.","-39.5286","-15.1581",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533299","NY00533299_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","408304","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.",NA,NA,NA,NA,"T. D. Pennington","10189","1978","04","08","Brazil","Bahia","Jussari","Mun. Itabun. 3.5 km NW of Jucari","-39.4953","-15.1917",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408304","NY00408304_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","408397","PreservedSpecimen","Plantae","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.","T. D. Pennington",NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408397","NY00408397_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
