"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","386768","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.","syntype","A. F. M. Glaziou","17662","South America","Brazil","Rio de Janeiro","sheet","donné par Mme Simard, sa fille en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386768","NY00386768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","561677","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"P. I. Oliveira","588","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561677","NY00561677_01","M. Sobral","1982","07","13","Sao José dos Pinhais","Colônia Santo Andrade","-49.2064","-25.5347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","561676","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"G. G. Hatschbach","32234","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561676","NY00561676_01","G. G. Hatschbach","1973","07","13","Sao José dos Pinhais","Usina Chamine","-49.2064","-25.5347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1016831","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"C. V. Roderjan","1127","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193504' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016831","NY01016831_01","M. Sobral","1994","01","26","Quatro Barras","Morro Anhagava.","-49.0767","-25.3658","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1039148","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"R. C. Forzza","4454","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482045' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039148","NY01039148_01","M. Sobral","2007","01","25","Lima Duarte","Parque Estadual do Ibitipoca. Mata Grande","-43.7931","-21.8425","1100","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","386769","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.","syntype","A. F. M. Glaziou","17662","South America","Brazil","Rio de Janeiro","sheet","donné par Mme Simard, sa fille en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386769","NY00386769_01",NA,"1889","02","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561678","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"M. V. Peron","859","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561678","NY00561678_01",NA,"1989","08","18","Nova Friburgo","Nova Friburgo, Reserva Ecológica Municipial de Macaé de Cima, Caminho para os Pirineus.","-42.05","-22","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:20-03","UFRJ","RFA","9133","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Calyptranthes","hatschbachii","Calyptranthes hatschbachii","D.Legrand",NA,"G.G. Hatschbach","13127",NA,"Brasil","Paraná",NA,"Árvore 20 m de altura; flor alva","RFA46414",NA,"D. Legrand","1965","11","11","Morretes","Cabeceiras do Rio Arraial","-48.834400177002","-25.476900100708",NA,NA,"1967","30514","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:45:44-03","EAO","IAN","93956","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.","isosintipo","Glaziou, AFM","17662","Southern America","Brasil","Rio de Janeiro",NA,NA,"IAN093956",NA,"Santos, M",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012",NA,NA,"06","29",NA,NA,NA,NA,NA
"10","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L.1134945","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","hatschbachii","Calyptranthes hatschbachii","Le Grand",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1134945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1134945","NL-L1134945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"11","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L.2511162","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","hatschbachii","Calyptranthes hatschbachii","Le Grand",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2511162 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2511162","NL-L2511162",NA,"1965","11","11",NA,"Est. Parana, Mun Morretes, Cabeçeiras do Rio Arraial.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"12","2020-02-08 10:05:50-03","NBC","NL-BOTANY","WAG.1114373","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","hatschbachii","Calyptranthes hatschbachii","Le Grand",NA,"Hatschbach GG; Kummrow R",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1114373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1114373","NL-WAG1114373",NA,"1986","11","26",NA,"Rio Capivari (mun. Bocaiuva do Sul) Paraná.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L.2511175","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2511175 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2511175","NL-L2511175",NA,"1966","07","01",NA,"Est. Paraná, Mun Paranagua, Pontal do Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"14","2020-02-08 10:05:50-03","NBC","NL-BOTANY","U.1441284","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1441284 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1441284","NL-U1441284",NA,"1985","02","27",NA,"Col. Santos ANdrade (mun. S. Jose dos Pinhais) Parana.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
