"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","423929","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","A. Peixoto","3156","1985","02","02","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Florestal da CVRD. Transect 3","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423929","NY00423929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01405593","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","C. A. Cid Ferreira","5930","1985","04","30","South America","Brazil","Amazonas","Novo Aripuanã","BR-230, Rodovia Transamazônica a 400 km de Humaitá. Projeto INCRA-Rio Juma, vicinal Soldado da Borracha a 20 km da Rodovia.","-60","-7.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2214952' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405593","NY01405593_01","J. F. Ramos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01405597","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","C. A. Cid Ferreira","7385","1986","06","08","South America","Brazil","Rondônia",NA,"Porto Velho. Reservatório da Usina Hidrelética de Samuel. Próximo ao final do dique da margem direita do rio Jamari.","-63.4533","-8.7394","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2214955' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405597","NY01405597_01","J. F. Ramos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 01:22:00-03","NY","NYBG","423930","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea",NA,"D. A. Neill","6278","1985","04","05","South America","Ecuador","Napo",NA,"Canon de los Monos, 15 km, al N de Coca al lado del Rio Coca. Hacienda de Hector Noboa","-77.02","-0.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423930",NA,"D. A. Neill","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02158450","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","P. J. M. Maas","9802","2009","05","07","South America","Brazil","Espírito Santo","Linhares","Reserva do Vale de Rio Doce, Estrada Flamengo.","-40.05","-19.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2315057' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158450","NY02158450_01",NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02158449","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","G. T. Prance","4098","1967","01","25","South America","Brazil","Roraima",NA,"Canta Galo, south bank of Rio Mucajaí, between Pratinha and Rio Apiaú","-61.1802006","2.6780147","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2315056' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158449","NY02158449_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01405594","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","C. A. Cid Ferreira","8762","1987","04","01","South America","Brazil","Rondônia","Costa Marques","BR-429, 26 km de Costa Marques, entrando 04 km num vicinal","-64.266667","-12.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2214942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405594","NY01405594_01","J. F. Ramos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01405567","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","G. T. Prance","5456","1968","07","03","South America","Brazil","Rondônia",NA,"Serra dos Três Irmãos, north bank of Rio Madeira opposite Mutumparaná. Primary forest on slopes.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2215495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405567","NY01405567_01","J. F. Ramos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2158448","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","B. A. Krukoff","8551","1936","09","11","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, near Palmares.","-69.5048332","-4.696879","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2315055' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158448","NY02158448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01405571","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","arborea","Bixa arborea","Huber","G. T. Prance","5357","1968","06","29","South America","Brazil","Rondônia",NA,"Basin of Rio Madeira, 3-4 Km east of Rio Jaciparaná, road to Porto Velho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2215489' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405571","NY01405571_01","J. F. Ramos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
