"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","871991","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","arrayana","Chromolaena arrayana","(Gardner) R.M.King & H.Rob.","H. E. Robinson","H. S. Irwin","34937","1972","01","24","South America","Brazil","Goiás","Niquelândia","ca. 25 km S. of Niquelândia","-48.45","-14.67595","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871991","NY00871991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:43-03","EAO","IAN","73471","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","arrayanum","Eupatorium arrayanum","Gardner",NA,"Gardner, A","3827",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN073471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-05 16:43:53-03","UFOP","OUPR","14181","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","arrayana","Chromolaena arrayana","(Gardner) R.M.King & H.Rob.","Hattori, E.K.O.","Dutra, V.F.","s.n.","2001","04","07",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"Campo rupestre. Subarbusto",NA,NA,"2016","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-05 16:43:53-03","UFOP","OUPR","18565","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","arrayana","Chromolaena arrayana","(Gardner) R.M.King & H.Rob.","Badini, J.","Badini, J.","s.n.","1975","03","30",NA,"Brasil","Minas Gerais","Belo Horizonte","Serra da Moeda","-43.937801361084","-19.9207992553711",NA,NA,NA,"Campo. Subarbusto. Flores azul-violáceas",NA,NA,"1975","03","30","17082","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-05 16:43:53-03","UFOP","OUPR","18564","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","arrayana","Chromolaena arrayana","(Gardner) R.M.King & H.Rob.","Lisboa, M.A.","Badini, J.","s.n.","1975","03","30",NA,"Brasil","Minas Gerais","Itabirito","Serra de Itabirito","-43.801399230957","-20.2532997131348",NA,NA,NA,NA,NA,NA,"1975","04","02","20553","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-05 16:43:53-03","UFOP","OUPR","18566","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","arrayana","Chromolaena arrayana","(Gardner) R.M.King & H.Rob.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Itabirito","Serra de Itabirito","-43.801399230957","-20.2532997131348",NA,NA,NA,"Campo. Subarbusto. Flores violáceas",NA,NA,"1975","03","30","20553","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:43:53-03","UFOP","OUPR","18563","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","arrayana","Chromolaena arrayana","(Gardner) R.M.King & H.Rob.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima","Retiro das Pedras","-43.8466987609863","-19.9855995178223",NA,NA,NA,"Campo. Subarbusto. Flores azul-violáceas",NA,NA,"1975","03","30","29211","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:43:53-03","UFOP","OUPR","18349","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","arrayana","Chromolaena arrayana","(Gardner) R.M.King & H.Rob.","Hattori, E.K.O.","Badini, J.","s.n.","1975","03","11",NA,"Brasil","Minas Gerais","Ouro Preto","Três Moinhos","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Campo. Subarbusto. Flores pálidas",NA,NA,"2016","09",NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"9","2015-09-05 07:05:09-03","MNHN","RECOLNAT_MNHN_P","P00742306","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","arrayanum","Eupatorium arrayanum","Gardner",NA,"Gardner, G.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Goyaz",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00742306' target='other'> <mi>dwc_moreinfo</mi></a>","P00742306","P00742306_01",NA,NA,NA,NA,NA,"type","3827",NA,NA,NA,NA,NA
"10","2015-10-05 22:14:14-03","MNHN","RECOLNAT_MNHN_P","P00742305","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","arrayanum","Eupatorium arrayanum","Gardner",NA,"Gardner, G.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Goyaz",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00742305' target='other'> <mi>dwc_moreinfo</mi></a>","P00742305","P00742305_01",NA,NA,NA,NA,NA,"type","3827",NA,NA,NA,NA,NA
