"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","individualCount","class","identifiedBy","yearIdentified","monthIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","county","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","3102","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby","isotype","H. S. Irwin","22524","1969","01","23","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca 20 km SW of Diamantina.","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003102","NY00003102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-05-21 13:01:00-03","MO","MOBOT","101194739","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby","Holotype","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 22524","1969","1","23","South America","Brazil","Minas Gerais","Ca. 20 km S.W. of Diamantina.","1300.00000000",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","3018536","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby","Isotype","H. S. Irwin, R. G. P. Santos, R. Souza & S. F. Fonsêca","22524","1969","1","23","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaco, ca. 20 km SW of diamantina, slopes at head & margins of seep valley.","1300","1300",NA,NA,"US00288523","US00288523_01","1","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-13 11:22:53-03","USP","SPF","230038","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","uniceps","Mimosa uniceps","Barneby",NA,"Romero, R","7564","2006","02","15",NA,"Brasil","Minas Gerais","Furnas","786","786",NA,NA,"SPF00230038",NA,NA,NA,"Nakajima, JN","2007","12","-46.230833","-20.604444","-46.230833","-20.604444",NA,NA,NA
"5","2019-11-01 15:00:24-03","UnB","UB","1856","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby","holotype","Irwin, HS; Santos, RR; Souza, R; Fonsêca, SF","22524","1969","01","23","Southern America","Brasil","Minas Gerais","Ca. de 20 km SW de Diamantina","1300","1300",NA,"Tipo.; 0,1m. Fruto marrom.; Inclinações.","UB0037349","UB0037349",NA,NA,"Barneby, R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-08-04 12:48:08-03","UFU","HUFU","45153","S","Plantae",NA,NA,"Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby",NA,"Romero, R.; Arantes, A.A.A.; Bernardes, P.H.N.; Silva, M.A.O.; Caixeta, F.; et al.","7761","2006","07","12",NA,"Brasil","Minas Gerais","Regiao da Represa de Furnas, Paraíso Perdido; ca. 5Km da rodovia MG 050.",NA,NA,NA,"Subarbusto, ca. 0,4 m. Cálice verde, corola creme, filetes róseos, anteras creme.; Campo rupestre.","HUFU00040621","HUFU00040621",NA,NA,"Nakajima, J.N.","2007","07","-46.0499992370605","-20.6152992248535",NA,NA,"Capitólio","29474","auto"
"7","2019-05-06 11:57:53-03","UFU","HUFU","10379","S","Plantae",NA,NA,"Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby",NA,"Romero, R.; Nakajima, J.N.; Zanini, E. & Simão, D.G.","3085","1995","11","18",NA,"Brasil","Minas Gerais","Guarita de Sacramento",NA,NA,NA,"Subarbusto ca. 0,5m. Cálice verde. Filetes róseos. Anteras creme.; Campo limpo após 2 meses de queimada.","HUFU00040618","HUFU00040618",NA,NA,NA,NA,NA,"-46.3657989501953","-20.2453002929688",NA,NA,"São Roque de Minas","57119","auto"
"8","2020-08-04 12:48:08-03","UFU","HUFU","42843","S","Plantae",NA,NA,"Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby",NA,"Nakajima, J.N.; Romero, R.; Arantes, A.A.A.; Rezende, T.M. & Hattori, E.K.O.","3882","2005","09","29",NA,"Brasil","Minas Gerais","Região da Represa de Furnas, Paraíso Perdido. Córrego Quebra Anzol, 4,5 km da Rodovia MG 050.",NA,NA,NA,"Arbsto ca. de 0,5 m. Cálice e corola esverdeado, filetes e estilete róseos, anteras amarelas.; Campo rupestre.","HUFU00040625","HUFU00040625",NA,NA,"Nakajima, J.N.","2007","12",NA,NA,NA,NA,NA,NA,NA
"9","2019-05-06 11:57:53-03","UFU","HUFU","43786","S","Plantae",NA,NA,"Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby",NA,"Nakajima, J.N.; Romero, R.; Castro, W.S.; Melo, K.B.S. & Bernardes, P.H.N.","4118","2005","12","08",NA,"Brasil","Minas Gerais","Região da Represa de Furnas, Estrada depois do Paraíso Perdido em direção ao paredão.",NA,NA,NA,"Subarbusto, ca. 0,5 m. Cálice e corola esverdeados, filetes e estiletes róseos.; Campo rupestre.","HUFU00040622","HUFU00040622",NA,NA,"Nakajima, J.N.","2007","12",NA,NA,NA,NA,NA,NA,NA
"10","2020-08-04 12:48:08-03","UFU","HUFU","44474","S","Plantae",NA,NA,"Fabaceae","Mimosa","uniceps","Mimosa uniceps","Barneby",NA,"Romero, R.; Bernardes, P.H.N.; Hattori, E.K.O.; Arantes, A.A.A. & Freitas, F.S.","7510","2006","02","15",NA,"Brasil","Minas Gerais","Região da Represa de Furnas, Estrada para Cachoeira Feixo da Serra, Rio Turvo, próximo ao trecho de asfalto.",NA,NA,NA,"Subarbusto ca. 1,2 m. Cálice creme, corola e estames róseos, anteras creme.; Campo rupestre.","HUFU00040626","HUFU00040626",NA,NA,"Nakajima, J.N.","2007","12",NA,NA,NA,NA,NA,NA,NA
