"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","month","day","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","identifiedBy","recordNumber","continentOcean"
"1","2015-09-03 21:20:59-03","MNHN","RECOLNAT_MNHN_P","P02176062","PreservedSpecimen","Bromeliaceae","Billbergia","brasilliensis","Billbergia brasilliensis","L.B.Sm.","Glaziou, A.","16421","1885","8","4","Brasil","Rio de Janeiro","Brésil. R.J. Quinta. Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176062' target='other'> <mi>dwc_moreinfo</mi></a>","P02176062","P02176062_01",NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","2757325","PreservedSpecimen","Bromeliaceae","Billbergia","brasilliensis","Billbergia brasilliensis","L.B. Sm.","D. Beadle",NA,"1995","6","1","Bolivia",NA,NA,NA,NA,NA,NA,"Plantae","Luther","Beadle 126","South America"
