"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","02447231","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","11173","1965","12","10","South America","Brazil","Distrito Federal","Brasília","Immediately E. of Lago Paranoá","-47.9294","-15.7797","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616143' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447231","NY02447231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","818184","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","G. F. Estabrook","5","1978","02","01","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros. 100m above power dam 500 m E of Alto Paraíso.","-47.5","-14",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818184","NY00818184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02447230","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","10528","1965","11","19","South America","Brazil","Minas Gerais",NA,"Serra do Rio Preto. 25 km E. of Cabeceiras (ca. 4 km E. of Goiás-Minas Gerais border)","-46.74996","-15.8","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616118' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447230","NY02447230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909413","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","G. Eiten","9971","1969","12","17","South America","Brazil","Mato Grosso","Barra do Garças","ca. 3 km east of city of Barra do Garças along road to Águas Quentes.","-52.2567","-15.8903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909413","NY00909413_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02282407","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","M. C. H. Mamede","H. S. Irwin","21967","1969","01","14","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2240735' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02447261","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","25658","1970","01","29","South America","Brazil","Minas Gerais",NA,"Morro da Pedras, ca. 30 km N.E. of Patrocínio","-43.2485756","-19.9480039","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616221' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447261","NY02447261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02447241","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","23023","1969","02","10","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 30 km N.E. of Francisco Sá, on road to Salinas","-43.2679","-16.4288","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616220' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447241","NY02447241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02447239","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","18683","1968","01","16","South America","Brazil","Goiás","Cocalzinho de Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616218' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447239","NY02447239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02282395","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","M. C. H. Mamede","H. S. Irwin","12314","1966","02","08","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2240655' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00909412","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","10733","1965","11","30","South America","Brazil","Goiás","Abadiânia","Serra dos Pirineus, ca. 14 km S. of Corumbá de Goiás","-48.8086111","-16.05012","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909412","NY00909412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02447232","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","11502","1966","01","09","South America","Brazil","Distrito Federal","Brasília","Córrego Paranoazinho, near Sobradinho.","-47.9294","-15.7797","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616146' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447232","NY02447232_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02447275","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","34023","1972","01","14","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 20 km E. of Pirenópolis","-48.76328","-15.85","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616225' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447275","NY02447275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02447197","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","G. G. Hatschbach","33270","1973","11","15","South America","Brazil","Mato Grosso","Alto Araguaia","Arredores.","-53.2153","-17.3147",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616063' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447197","NY02447197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02447240","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","19312","1968","01","27","South America","Brazil","Goiás","Cocalzinho de Goiás","20 km N.W. of Corumbá de Goiás, near Pico dos Pirineus. Serra dos Pirineus.","-48.95","-15.88","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616219' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447240","NY02447240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02447238","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","18623","1968","01","15","South America","Brazil","Goiás","Cocalzinho de Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616215' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447238","NY02447238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02447233","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","W. R. Anderson","H. S. Irwin","11695","1966","01","18","South America","Brazil","Goiás","Goiás","Serra Dourada, Summit of Serra Dourada, 20 km S.E. of Goiás Velho","-50.00122","-16.0611","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2616152' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447233","NY02447233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-08 11:09:16-03","UNESP-IBB","BOTU","14754","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Bicudo, L.R.H.","501","1986","02","13",NA,"Brasil","São Paulo","Botucatu",NA,"-48.738611","-22.9",NA,NA,NA,"Sépalas avermelhadas, pétalas amarelas, androceu e gineceu amarelado, sem odor","BOTU014754",NA,"48°44'19w","22°54's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-08 11:09:16-03","UNESP-IBB","BOTU","14755","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Bicudo, L.R.H.","703","1986","03","04",NA,"Brasil","São Paulo","Botucatu",NA,"-48.284722","-22.8",NA,NA,NA,"Botões amarelos","BOTU014755",NA,"48°17'5w","22°48's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-02-18 09:30:03-03","UNESP-IBB","BOTU","2580","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Amaral Jr., A.","1287","1972","12","08",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Planta pequena, de até 40 cm de altura, flores amarelass","BOTU002580",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-08 11:09:16-03","UNESP-IBB","BOTU","22345","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Araújo, A.O.","5","1999","03","08",NA,"Brasil","São Paulo","Botucatu",NA,"-48.503472","-22.884167",NA,NA,NA,"Planta herbácea, flores amarelas","BOTU022345",NA,"48°30'12,5w","22°53'03s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-18 09:30:03-03","UNESP-IBB","BOTU","23135","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Attala, N.C.",NA,"2001","03","22",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Planta herbácea","BOTU023135",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-18 09:30:03-03","UNESP-IBB","BOTU","12228","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Gemtchújnicov, I.D.",NA,"1969","07","29",NA,"Brasil","Goiás","Formosa",NA,NA,NA,NA,NA,NA,NA,"BOTU012228",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:30:03-03","UNESP-IBB","BOTU","7296","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Campos, C. J.",NA,"1979","12","05",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Erva com aproximadamente 20 cm de altura com flores amarelas","BOTU007296",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-08 11:09:16-03","UNESP-IBB","BOTU","23768","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A. St.-Hil.",NA,"Campos, C.J.","182","2003","01","08",NA,"Brasil","São Paulo","Pratânia","Reserva Particular Palmeira da Serra","-48.743278","-22.813944",NA,NA,NA,"Cerrado. 0,30m de altura, flores amarelas; Coleção: Biota - Cerrado Pratânia","BOTU023768",NA,"48°44'35,8w","22°48'50,2s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-18 09:30:03-03","UNESP-IBB","BOTU","12790","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Ono, E.O.","2","1986","02","28",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Planta com flores amarelas","BOTU012790",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-18 09:30:03-03","UNESP-IBB","BOTU","12229","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Gemtchújnicov, I.D.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTU012229",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-08 11:09:16-03","UNESP-IBB","BOTU","33481","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Gissi, D.S.","Gissi, D.S.","423","2019","02","07",NA,"Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior. Em frente ao Haras Apache WO","-48.504167","-22.910389",NA,NA,NA,NA,"BOTU033481",NA,"48°30'15.0W","22°54'37.4S","2019","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
