"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","relatedCatalogItem","dayIdentified","individualCount","fieldNumber","sex"
"1","2020-09-23 10:37:18-03","E","E","161299","PreservedSpecimen","Plantae","Compositae","Baccharis","brevifolia","Baccharis brevifolia","Ibáñez García, A. & Bridgewater, S.","1996","11","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168677","<a href=http://data.rbge.org.uk/herb/E00161299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","781936","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","E. Pereira","1943","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781936","Magnoliophyta","Asterales","DC.","32B","Rio de Janeiro","Itatiaia","Planalto.","-44.5631","-22.4961","NY00781936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00847045","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","M. Macedo","1979","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847045","Magnoliophyta","Asterales","DC.","1424","Mato Grosso","Cuiabá","Near Cachoeirinha Bridge, Chapada dos Guimarães","-56.0967","-15.5961","NY00847045_01","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788503","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","E. Pereira","1960","05","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788503","Magnoliophyta","Asterales","DC.","5590","São Paulo",NA,"Vila Ema.",NA,NA,"NY00788503_01","G. Heiden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788176","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","A. C. Brade","1951","04",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788176","Magnoliophyta","Asterales","DC.","21059","São Paulo",NA,"Serra da Bocaina.","-44.68606","-22.846827","NY00788176_01","G. Heiden","1700","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2063243","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","A. Quinet","2004","08","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364838' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063243","Magnoliophyta","Asterales","DC.","779","Rio de Janeiro","Itatiaia","Estrada para o planalto, próximo ao abrigo rebouças.","-44.678895","-22.385269","NY02063243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788179","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","J. G. Stutts","1980","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788179","Magnoliophyta","Asterales","DC.","818","Rio de Janeiro","Itatiaia","Serra das Prateleiras. Close to Abrigo dos Rebouças.","-44.678895","-22.385269","NY00788179_01","G. Heiden","2350","2350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00847047","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","L. Duarte","1966","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847047","Magnoliophyta","Asterales","DC.","941","Minas Gerais","Santa Bárbara","Rio Acima","-43.4153","-19.9594","NY00847047_01","G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","781938","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","M. Sakane","1976","03","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781938","Magnoliophyta","Asterales","DC.","504","São Paulo","Campos do Jordao","Umuarama. Beira do Lago Umuarama.","-45.59","-22.73","NY00781938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00998329","PreservedSpecimen","Plantae","Asteraceae","Baccharis","brevifolia","Baccharis brevifolia","S. Tsugaru","1987","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00998329","Magnoliophyta","Asterales","DC.","B-2255","São Paulo","São Roque","Bairro Caete, 50 km W from São Paulo.","-47.13","-23.5203","NY00998329_01","G. Heiden","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
