"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212942","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.","T. D. Pennington","P. A. C. L. Assunção","33","1994","07","20","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara Road, Km 26. Trilha torre-acará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212942","NY01212942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593240","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.","Pennington TD","Assunção PACL",NA,"1994","07","20","Southern America","Brazil","Amazonas",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593240","NL-U1593240","Magnoliopsidae","1998","03","01","U 0020735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-03-16 13:31:15-03","UNEMAT","HERBAM","7122","S","Plantae",NA,NA,"Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera",NA,"Apóstolo, P","Soares, C.R.A.; Melo, J.A.M.; Dobrowoski, M.F. & Oliveira, P.S.","Preto 334522","2011","11","03",NA,"Brasil","Mato Grosso","Terra Firme.",NA,NA,"HERBAM007122",NA,NA,"2012","05","04",NA,"Paranaíta","-56.781389","-9.322222","-56.781389","-9.322222","178","178",NA,NA,NA
"4","2014-04-05 06:07:00-03","MO","MOBOT","3389409","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D. Penn.","Pennington, T. D., 3/98","P. A. Costa Lima Assunção","Assunção 33","1994","7","20","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Trilha torre-acará. Floresta de Vertente. Árvore. Sapopemas pequenas, tabulares. Ritidoma avermelhado, com depressões.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-59.96666","-2.88333",NA,NA,NA,NA,NA,NA,NA
"5","2021-01-10 20:43:22-03","INPA","INPA","179233","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.","Pennington, TD","Assunção, PACL","33","1994","07","20","Southern America","Brasil","Amazonas","Reserva Florestal Adolfo Ducke, Trilha torre-acará.",NA,NA,"INPA0179233","INPA0179233 INPA0179233_e",NA,"1998","03",NA,NA,"Manaus","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"holotype",NA,NA
"6","2021-01-10 20:43:22-03","INPA","INPA","191603","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.","Pennington, TD","Ribeiro, JELS","1956","1997","11","19","Southern America","Brasil","Amazonas","Reserva Florestal Adolfo Ducke",NA,NA,"INPA0191603","INPA0191603 INPA0191603_e",NA,"1998","03",NA,NA,"Manaus","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"paratype",NA,NA
"7","2020-08-31 08:54:59-03","INPA","INPA","3321","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.","Pennington, TD","Coêlho, DF","INPA3321","1956","01","13","Southern America","Brasil","Amazonas","Igarapé do Bindá, Igarapé do Bindá.",NA,NA,"INPA0003321","INPA0003321 INPA0003321_1 INPA0003321_e INPA0003321_e1",NA,"2013",NA,NA,NA,"Manaus","-60.027419","-3.122222","-60.027419","-3.122222",NA,NA,NA,NA,NA
"8","2019-10-07 09:13:00-03","UEFS","HUEFS","68291","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.",NA,"Assunção, P.A.C.L.","33","1994","07","20",NA,"Brasil","Amazonas","Trilha torre-acará.",NA,"Floresta de Vertente.","HUEFS0068291","HUEFS0068291","Asteranae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-31 10:39:39-03","IFAM","EAFM","15167","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.","Marra, D.M.","Marra, D.M.; Neves, A.F. & Souza, I.G.","784","2012","08","21",NA,"Brasil","Amazonas","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",NA,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 11.5 cm",NA,NA,NA,"2012","08","21",NA,"Manaus, Presidente Figueiredo","-60.285733","-2.437822","-60.285733","-2.437822",NA,NA,NA,NA,NA
"10","2020-01-31 10:39:39-03","IFAM","EAFM","15220","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stipulifera","Pouteria stipulifera","T.D.Penn.","Marra, D.M.","Marra, D.M.; Neves, A.F. & Souza, I.G.","837","2012","08","22",NA,"Brasil","Amazonas","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",NA,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 12.5 cm",NA,NA,NA,"2012","08","22",NA,"Manaus, Presidente Figueiredo","-60.294281","-2.442436","-60.294281","-2.442436",NA,NA,NA,NA,NA
