"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","individualCount","continentOcean","barcode","imagecode","typeStatus","fieldNumber","preparationType"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2637","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.","Carlos A. Ferreira Jr.","2013","06","19","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","19","Brasil","Minas Gerais","Catas Altas","Bocaina, Serra do Caraça.","-43.4075012207031","-20.0746994018555","20º 05' 47S","43º 27' 53W","11966","1310","1310","254","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1280","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.",NA,"2008","09","08",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,"254","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2637","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.","Carlos A. Ferreira Jr.","2013","06","19","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","19","Brasil","Minas Gerais","Catas Altas","Bocaina, Serra do Caraça.","-43.4075012207031","-20.0746994018555","20º 05' 47S","43º 27' 53W","11966","1310","1310","254","auto","1",NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","595","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme;",NA,"2001","07","27","Brasil","Minas Gerais","Santa Bárbara","Parque Natural do Caraça, Bocaina (depressão)","-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,"254","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3306","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.",NA,"2008","06","10",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça - Bocaina","-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,"254","auto","1",NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:44:51-03","EAO","IAN","36828","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Andrea","selloana","Andrea selloana","(Baker) Mez",NA,NA,NA,NA,"Schwacke, J","9157",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","IAN036828","IAN036828_f",NA,NA,NA
"7","2021-01-14 15:25:52-03","MN","R","189801","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme, W. Till, G.K. Br., J.R. Grant & Govaerts","Coser, T.S.","2010","10","25","Mello Filho, L.E. 3435; Duarte, L. ; Becker, H. & Silva Santos, R.",NA,"1972","07","17","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"1300","1300",NA,NA,NA,NA,"R010005771","R010005771 R010005771_1",NA,NA,NA
"8","2020-12-20 21:16:25-03","UFV","VIC","26290","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","Baker Mez","Guarçoni, E.","2010","09","13","Guarçoni, E.","1290","2006","12","19","Brasil","Minas Gerais","Nova Lima","Parque Estadual da Serra do Rola-Moça","-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,"Mata de galeria, na sombra; terrestre em solo úmido. Após a antese a pétala torna-se rosácea ou lilás. Escapo pêndulo, verde. Brácteas escapais eretas abax., cinéreas e adax. glabras, verdes. Flores 54, em fascículo. Brácteas florais v","auto",NA,NA,"VIC026290","VIC026290",NA,NA,NA
"9","2020-12-20 21:16:25-03","UFV","VIC","33151","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","Baker Mez","Guarçoni, E.","2010","05","02","Guarçoni, E.","1398","2010","05","02","Brasil","Minas Gerais","Ouro Preto","Serra de Capanema","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"Frequente. Mata de Galeria. Terrestre e beira da água. Frutos.","auto",NA,NA,"VIC033151","VIC033151",NA,NA,NA
"10","2020-12-20 21:16:25-03","UFV","VIC","26288","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","Baker Mez","Guarçoni, E.","2010","09","13","Guarçoni, E.","1257","2006","06","16","Brasil","Minas Gerais","Nova Lima","Parque Estadual da Serra do Rola-Moça, Manancial do Mutuca #?# COPASA.","-43","-20","-43","-20",NA,NA,NA,"Em mata de galeria; crescimento próximo a curso de água (rio Mutuca). Terrestre, desenvolvendo-se no #?#barranco#?#. Luz difusa. Bainha creme; lâmina verde escura. Escapo 33cm comprimento, 7mm de diâmetro. Bráctea escapal abaxialmente verd",NA,NA,NA,"VIC026288","VIC026288",NA,NA,NA
"11","2020-12-20 21:16:25-03","UFV","VIC","26287","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","Baker Mez","Guarçoni, E.","2010","09","13","Guarçoni, E.","1256","2006","06","16","Brasil","Minas Gerais","Nova Lima","Parque Estadual da Serra do Rola-Moça, Manancial do Mutuca #?# COPASA.","-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,"Em mata de galeria; crescimento próximo a curso de água (rio Mutuca). Terrestre. Luz difusa. Bainha creme; lâmina verde escura. Escapo verde-claro, 34,2cm comprimento, 5mm de diâmetro. Bráctea escapal abaxialmente verde-acinzentada e a","auto",NA,NA,"VIC026287","VIC026287",NA,NA,NA
"12","2020-12-20 21:16:25-03","UFV","VIC","26289","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","Baker Mez","Guarçoni, E.","2010","09","13","Guarçoni, E.","1289","2006","12","19","Brasil","Minas Gerais","Nova Lima","Parque Estadual da Serra do Rola-Moça, Manancial do Mutuca #?# COPASA.","-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,"Em mata de galeria, na sombra; terrestre em solo úmido. Após a antese a pétala torna-se rosácea ou lilás. Escapo pêndulo, verde. Brácteas escapais eretas abax., cinéreas e adax. Glabras, verdes. Flores 40, em fascículo. Brácteas florai","auto",NA,NA,"VIC026289","VIC026289",NA,NA,NA
"13","2020-12-20 21:16:25-03","UFV","VIC","26291","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","Baker Mez","Guarçoni, E.","2010","09","13","Guarçoni, E.","1291","2006","12","19","Brasil","Minas Gerais","Nova Lima","Parque Estadual da Serra do Rola-Moça, Ponte de Capitação de Água da COPASA #?# Mutuca 1146m de altitude.","-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,"Mata de galeria, na sombra; terrestre em solo úmido. Após a antese a pétala torna-se rosácea ou lilás. Escapo pêndulo, verde. Brácteas escapais eretas abax., cinéreas e adax. glabras, verdes. Flores 46, em fascículos com 5 a 6 flores.","auto",NA,NA,"VIC026291","VIC026291",NA,NA,NA
"14","2019-11-05 16:46:29-03","UFOP","OUPR","5341","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.","Freitas, G.P.P.","2012","02","03","Magalhães-Gomes, C.T.; Magalhães-Gomes, F.","s.n.","1894","02","21","Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-05 16:46:29-03","UFOP","OUPR","13005","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.","Freitas, G.P.P.","2012","02","03","Damazio, L.B.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
