"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","day","verbatimLongitude","verbatimLatitude","class","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01205049","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","tenuis","Cleistes tenuis","Schltr.","G. A. Romero","H. Crüger","1624","1842","07","South America","Trinidad and Tobago","Trinidad. Aripo Savanna","-61.193151","10.611195","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2239567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01205049","NY01205049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:42-03","EAO","IAN","52380","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cleistes","paludosa","Cleistes paludosa","Rchb.f.","Pabst, GFJ","Lima, RP de","75","1950","03","Southern America","Brasil",NA,NA,NA,NA,NA,"IAN052380",NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:42-03","EAO","IAN","54596","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cleistes","paludosa","Cleistes paludosa","Rchb.f.","Pabst, GFJ","Black, GA; Lobato, JJ","9329","1950","03","Southern America","Brasil",NA,NA,NA,NA,"Cálice branco, pétalas róseas.","IAN054596",NA,"Pará","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:42-03","EAO","IAN","52185","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cleistes","tenuis","Cleistes tenuis","Schltr.","Pabst, GFJ","Fróes, RL","25946","1950","01","Southern America","Brasil",NA,"-52.916667","-0.916667",NA,NA,"IAN052185",NA,"Amapá","10","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:52:42-03","EAO","IAN","96330","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cleistes","tenuis","Cleistes tenuis","Schltr.","Pabst, GFJ","Black, GA; Egler, WA","19892","1957","06","Southern America","Brasil",NA,NA,NA,NA,"Flor carnosa, clara; no chão arenoso.","IAN096330",NA,"Pará","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:07-03","NBC","NL-BOTANY","U.1463341","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Cleistes","paludosa","Cleistes paludosa","Rchb.f.",NA,"Kramer KU; Hekking WHAM",NA,"1961","02","Southern America","Surinam","Tafelberg (Distr. Saramacca).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1463341 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1463341","NL-U1463341",NA,"21",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:48-03","MN","R","2497","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","paludosa","Cleistes paludosa","Rchb. f.","Hoehne, F.C.","Hoehne, F.C.","5591","1911","12",NA,"Brasil",NA,"-58.3588981628418","-10.3180999755859",NA,NA,NA,NA,"Mato Grosso",NA,NA,NA,NA,"Juruena","65163","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:18:45-03","UFV","VIC","45787","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","tenuis","Cleistes tenuis","(Rchb.f. ex Griseb) Schltr.","Pansaria, E.A.","Paula, C.C. de; et al.","596","2003","01",NA,"Brasil","Serra do Ouro Branco, Area 2","-43.691944","-20.488889",NA,"Terrestre; campo graminóide; erva de 0,18 m; frequência abundante; Folhas verdes claras eretas; sépalas verdes amarelas; pétalas brancas com ápice lilás; labelo com bordas e listras vinho; ginostema branco;; Folhas verdes claras eretas","VIC045787","VIC045787","Minas Gerais","19","-43.691944","-20.488889",NA,"Ouro Branco",NA,NA,"2004","09","1396","1396",NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:38-03","UNICAMP","UEC","122222","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","tenuis","Cleistes tenuis","Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","900","2001","01",NA,"Brazil","Estrada para São Domingos, Estrada de terra para São Domingos, 28 Km de Cavalcante, lado esquerdo da estrada, após a 7 ponte.","-47.516667","-13.083333",NA,NA,"UEC064488","UEC064488","Goiás","06","-47.516667","-13.083333",NA,"Cavalcante",NA,NA,"2005","02",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:00:38-03","UNICAMP","UEC","122261","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","tenuis","Cleistes tenuis","Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","875","2001","12",NA,"Brazil","Rodovia GO 118, Km 189, Sentido Alto Paraíso de Goiás - Terezina de Goiás, lado direito da pista.","-47.466667","-13.95",NA,NA,"UEC064492","UEC064492","Goiás","31","-47.466667","-13.95",NA,"Terezina de Goiás",NA,NA,"2005","02",NA,NA,NA,NA,NA,NA,NA,NA
