"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet","relatedCatalogItem","sex"
"1","2020-09-23 10:35:53-03","E","E","202996","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","Proença, C.; Silva, A.P.; Ribeiro, J.F.","1960","1998","02","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217953","<a href=http://data.rbge.org.uk/herb/E00202996 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","493336","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","S. A. Mori","12337","1979","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493336","Magnoliophyta","Caryophyllales","Mart.","J. P. M. Brenan","Bahia","Rio de Contas","9-11 km ao N de Rio de Contas na estrada para o povoado Mato Grosso","-41.78","-13.53","1000","1000","NY00493336_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00838135","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","L. Monteiro de S.","258","1971","06","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838135","Magnoliophyta","Caryophyllales","Mart.","J. C. de Siqueira","Minas Gerais","São Thomé das Letras","Minas Gerais (Sul)","-44.9853","-21.7222","1500","1500","NY00838135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493333","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","W. W. Thomas","10048","1993","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493333","Magnoliophyta","Caryophyllales","Mart.","T. M. Pedersen","Bahia","Alcobaça","West side of BA 001; 1.6 km south of junction with road from Teixeira de Freitas to Alcobaça","-39.25","-17.53",NA,NA,"NY00493333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","493334","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","J. N. Rose","19931","1915","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493334","Magnoliophyta","Caryophyllales","Mart.",NA,"Bahia","Marcionílio Souza","Vicinity of Machado Portello","-40.5306","-13.0033",NA,NA,"NY00493334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00838138","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","G. G. Hatschbach","41281","1978","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838138","Magnoliophyta","Caryophyllales","Mart.","T. M. Pedersen","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8894","-16.5594",NA,NA,"NY00838138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00838132","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","H. S. Irwin","22896","1969","01","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838132","Magnoliophyta","Caryophyllales","Mart.","K. Becker","Minas Gerais",NA,"Ca. 15 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.17","1275","1275","NY00838132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00838131","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","H. S. Irwin","22194","1969","01","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838131","Magnoliophyta","Caryophyllales","Mart.","K. Becker","Minas Gerais",NA,"12km SW of Diamantina. Serra do Espinhaço.","-43.7","-18.27","1370","1370","NY00838131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","493337","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","R. M. Harley","21332","1980","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493337","Magnoliophyta","Caryophyllales","Mart.","C. C. Townsend","Bahia","Caetité","Serra Geral de Caitité. 9.5 km. S. of Caitité on road to Brejinhos das Ametistas","-42.5","-14.12","1000","1000","NY00493337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00838143","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","G. M. Magalhaes","17936","1963","05","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838143","Magnoliophyta","Caryophyllales","Mart.","J. C. de Siqueira","Minas Gerais","Patrocínio","40 km Noroeste da cidade.","-46.9925","-18.9442",NA,NA,"NY00838143_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
