"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","maximumElevationInMeters","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2020-09-23 10:41:33-03","E","E","100061","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109532","<a href=http://data.rbge.org.uk/herb/E00100061 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","83673","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","Simon, M.F., Proenca, C., Cardoso, C.F.Rozendo","1996","12","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92677","<a href=http://data.rbge.org.uk/herb/E00083673 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083673","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:33-03","E","E","84479","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","Proenca, C. & Moretto, G.L.","1996","01","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93685","<a href=http://data.rbge.org.uk/herb/E00084479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084479","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1653903","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","J. A. Steyermark","1955","01","09","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1938216' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653903","41","Magnoliophyta","Myrtales","(Bonpl.) DC.","J. J. Wurdack","Bolívar","On west bank of Río Urimán just above Salto Acarima.","-62.684974","5.395175","393","NY01653903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522172","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","L. J. Gillespie","1990","01","19","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522172","3081","Magnoliophyta","Myrtales","(Bonpl.) DC.","J. J. Wurdack",NA,"Upper Demerara - Berbice Region: 16-22 km from Ituni along - Kwakwani Road","-58.17","5.42","70","NY00522172_01","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1738450","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","M. K. Caddah","2011","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568220' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738450","818","Magnoliophyta","Myrtales","(Bonpl.) DC.","M. K. Caddah","Minas Gerais","Rodovia BR 265, 40 km de Lavras","-44.70452","-21.29882","950","NY01738450_01",NA,"Itutinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01100896","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","F. A. Michelangeli","1997","06","04","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1239647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100896","432","Magnoliophyta","Myrtales","(Bonpl.) DC.","F. A. Michelangeli","Amazonas","Campamento Yutajé, Cuenca alta del Rio Manapiare. En la fila al norte del campamento. En el sendero de los pozos al mirador.","-66.1031","5.6039","550","NY01100896_01","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00925225","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","H. S. Irwin","1965","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925225","10202","Magnoliophyta","Myrtales","(Bonpl.) DC.","J. J. Wurdack","Distrito Federal","Parque Municipal do Gama","-48","-16.03","1150","NY00925225_01","1150","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","522176","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","L. Riedel",NA,NA,NA,"South America","Brazil","sheet",NA,"1946.1429.1921.108 [coll. nos.?] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522176",NA,"Magnoliophyta","Myrtales","(Bonpl.) DC.",NA,NA,"Pr. Ytú, pr. Taubaté et pr. M. Carlos",NA,NA,NA,"NY00522176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00925214","PreservedSpecimen","Plantae","Melastomataceae","Miconia","rubiginosa","Miconia rubiginosa","J. H. Kirkbride Jr.","1982","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925214","5071","Magnoliophyta","Myrtales","(Bonpl.) DC.","J. J. Wurdack","Distrito Federal","Córrego Manoel Dias.","-48.23","-16.03","900","NY00925214_01","900","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
