"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","locality","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","order"
"1","2020-11-04 12:17:31-03","ESALQ","ESA","113378","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Fernandes, T.M.","2011","02","18","Fernandes, T.M.","6.0","2011","02","09","Brasil","São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545","44778","ESA113378","ESA113378","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:15:40-03","ESALQ","ESA","134319","PreservedSpecimen","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"C.P. Caliari et al.","2329.0","2009","04","19","Brasil","Paraná","Telêmaco Borba","-50.6156005859375","-24.3239002227783","35037","ESA134319","ESA134319","auto","Lindl.","Parque Ecológico da Klabin. Borda da mata. Floresta Estacional Semidecidua com elementos de Floresta Ombrófila Mista. Área perturbada.","Epífita, pétalas superiores com mácula avermelhada e as outras pétalas alvos, labelo com mácula rosada, guia nestarífero rosa, políneas amarelas",NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-05 11:14:19-03","FFCLRP","LBMBP","661","S","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians","E.R. Pansarin",NA,NA,NA,"L.M. Pansarin",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:40:53-03","UFJF","CESJ","67725","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Oncidium","hians","Oncidium hians","E. Caglioni",NA,NA,NA,"E. Caglioni; et al.","531","2015","03","25","Brasil","Santa Catarina","Ilhota","-48.9308","-26.799808",NA,"CESJ067725",NA,NA,"Lindl.","Parque Botânico Morro do Baú, Floresta Ombrófila Densa","Epífito com em cultivo; Labelo branco com manchas róseas e pétalas e sépalas de coloração verde claro, com manchas róseas/marrom.","América do Sul","-48.9308","-26.799808","810","810",NA,NA,NA
"5","2021-03-01 16:20:15-03","UNICAMP","UEC","140294","S","Plantae","Liliopsida","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Meneguzzo, TEC","2015",NA,NA,"Singer, RB","s.n.","1998","12",NA,"Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605","21143","UEC001828","UEC001828","auto","(Lindl.) Docha Neto","Mata Triste","Cultivada na casa de vegetação da Unicamp.; junto tem montado material B que é Gomesa Cuneata (Scheidw.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:00:49-03","UNICAMP","UEC","139916","S","Plantae","Liliopsida","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Meneguzzo, TEC","2015",NA,NA,"Breier, TB","1230","2004","12","11","Brazil","Rio Grande do Sul","Silveira Martins","-53.5856018066406","-29.6424999237061","11353","UEC001844","UEC001844","auto","(Lindl.) Docha Neto","Cascata do Mezomo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:00:49-03","UNICAMP","UEC","110419","S","Plantae","Liliopsida","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Meneguzzo, TEC","2015",NA,NA,"Pansarin, ER","560","1999","11","01","Brazil","São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758","17840","UEC001843","UEC001843","auto","(Lindl.) Docha Neto","Serra do Japi, Sentido Eloy Chaves, próximo à represa do DAE.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:00:49-03","UNICAMP","UEC","110428","S","Plantae","Liliopsida","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Meneguzzo, TEC","2015",NA,NA,"Pansarin, ER","670","2000","01","21","Brazil","São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758","17840","UEC001845","UEC001845","auto","(Lindl.) Docha Neto","Serra do Japi, Sentido Malota, próximo a Base Ecológica da Serra do Japi.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:49-03","UNICAMP","UEC","110386","S","Plantae","Liliopsida","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Meneguzzo, TEC","2015",NA,NA,"Pansarin, ER","670","2000","01","21","Brazil","São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758","17840","UEC060913","UEC060913","auto","(Lindl.) Docha Neto","Serra do Japi, Sentido Malota, próximo a Base Ecológica da Serra do Japi.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:04:09-03","FURB","FURB","19976","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Mancinelli, WS","2011","01","10","Korte, A.; Kniess, A.","1675","2010","02","03","Brasil","Santa Catarina","Itaiópolis","-49.9475","-26.5497222",NA,"FURB02780","FURB02780",NA,"(Lindl.) Docha Neto","Arroio das Pombas.","Florística IFFSC 899 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: epífita; flor marrom",NA,"-49.9475000","-26.5497222","747","747",NA,NA,NA
"11","2020-10-14 10:04:09-03","FURB","FURB","22903","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Mancinelli, WS","2011","01","10","Verdi, M.; Klettenberg, D.H. & Klemz, G.","4092","2010","03","17","Brasil","Santa Catarina","Imaruí","-48.8702778","-28.1694445",NA,"FURB35359","FURB35359",NA,"(Lindl.) Docha Neto","Forquilha da Aratingaúba / Parque Estadual da Serra do Tabuleiro.","Florística IFFSC 148 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita; flor bordô com labelo branco",NA,"-48.8702778","-28.1694445","604","604",NA,NA,NA
"12","2020-10-14 10:04:09-03","FURB","FURB","27250","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Engels, ME","2013","05","02","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2773","2010","05","19","Brasil","Santa Catarina","Treviso","-49.4986111","-28.4436111",NA,"FURB35356","FURB35356",NA,"(Lindl.) Docha Neto","Brasília.","Epífita IFFSC e74b (Acima de 4m) - sobre forófito 8 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto verde;",NA,"-49.4986111","-28.4436111","572","572",NA,NA,NA
"13","2020-10-14 10:04:09-03","FURB","FURB","31008","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Cadorin, T.J.; Grosch, B. & Lopes, C.P.","3066","2010","07","13","Brasil","Santa Catarina","Blumenau","-49.1391666","-27.0969444",NA,"FURB35355","FURB35355",NA,"(Lindl.) Docha Neto","Área Virgem Parque Nacional da Serra do Itajaí.","Epífita IFFSC e578b (Acima de 4m), forófito 7. Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: epífita;",NA,"-49.1391666","-27.0969444","660","660",NA,NA,NA
"14","2019-11-08 08:54:24-03","FURB","FURB","43866","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Caetano, JO","2014","02","15","Caetano, J.O.","57","2014","02","15","Brasil","Santa Catarina","Benedito Novo","-49.4283334","-26.7869444",NA,"FURB35357","FURB35357",NA,"(Lindl.) Docha Neto","Ao lado da PCH CEESAN Liberdade.",NA,NA,"-49.4283334","-26.7869444","380","380",NA,NA,NA
"15","2020-10-14 10:04:09-03","FURB","FURB","31240","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2163","2010","04","30","Brasil","Santa Catarina","Jacinto Machado","-49.763599395752","-28.9974994659424","23999","FURB35354","FURB35354","auto","(Lindl.) Docha Neto","Interior do Cânion Fortaleza (Tigre Preto).","Coleta Extra IFFSC (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto róseo;",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-16 08:40:23-03","UTFPR","HCF","25106","S","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","M.G. Caxambu","2018","03","20","M.G. Caxambu","8061","2018","03","20","Brasil","PR","Nova Tebas","-51.846167","-24.446833",NA,NA,NA,NA,"(Lindl.) Docha Neto","Estação Ecológica Municipal João Dasko","erva epífita. Flores esverdeadas com labelo róseo-alvacento.",NA,"51°50'46,2 W","24°26'48,6 S","627","627",NA,NA,NA
"17","2020-12-21 16:38:30-03","MBM","MBM","387300","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Michelon, C.",NA,NA,NA,"Michelon, C.","1594","2012","12","05","Brazil","Paraná","Telêmaco Borba","-50.706944","-24.100556",NA,"MBM387300","MBM387300",NA,"(Lindl.) Docha Neto","UHE Mauá","Epífita em floresta ripária. Flores arroxeadas, labelo branco com máculas roxas.","Southern America","-50.706944","-24.100556","520","750",NA,NA,NA
"18","2020-12-21 16:38:30-03","MBM","MBM","387348","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Lozano, E.D.",NA,NA,NA,"Bochorny, T.","42","2012","03","19","Brazil","Paraná","Telêmaco Borba","-50.706944","-24.100556",NA,"MBM387348","MBM387348",NA,"(Lindl.) Docha Neto","UHE Mauá","Epífita. Flores amarelas com pontuações róseas.","Southern America","-50.706944","-24.100556","520","750",NA,NA,NA
"19","2020-12-21 16:38:30-03","MBM","MBM","387350","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Lozano, E.D.",NA,NA,NA,"Bochorny, T.","70","2012","04","02","Brazil","Paraná","Telêmaco Borba","-50.706944","-24.100556",NA,"MBM387350","MBM387350",NA,"(Lindl.) Docha Neto","UHE Mauá","Epífita. Flores amarelas com pontuações róseas.","Southern America","-50.706944","-24.100556","520","750",NA,NA,NA
"20","2020-12-21 16:38:40-03","MBM","MBM","48908","PreservedSpecimen","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians","Pabst, G.",NA,NA,NA,"Hatschbach, G.","2988","1953","03","14","Brazil","Paraná","Tibagi","-50.4136009216309","-24.5093994140625","56988","MBM048908","MBM048908","auto","Lindl.","Fazenda Monte Alegre, Jaguatirica",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:38:40-03","MBM","MBM","192750","PreservedSpecimen","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians","Hatschbach, G.",NA,NA,NA,"Carneiro, J.","206A","1996","02","29","Brazil","Paraná","Ortigueira","-50.9494018554688","-24.2082996368408","46016","MBM192750","MBM192750","auto","Lindl.","Serra do Cadeado",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"22","2015-09-03 19:33:03-03","MNHN","RECOLNAT_MNHN_P","P00437282","PreservedSpecimen",NA,NA,"Orchidaceae","Oncidium","hians","Oncidium hians","Garay",NA,NA,NA,"Herb. L. Claude et A. Richard",NA,NA,NA,NA,"Pérou",NA,NA,NA,NA,NA,"P00437282","P00437282_01",NA,"Lindl.","cultivé, origine Pérou","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00437282' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"hb",NA,NA
"23","2015-09-03 19:33:03-03","MNHN","RECOLNAT_MNHN_P","P00437283","PreservedSpecimen",NA,NA,"Orchidaceae","Oncidium","hians","Oncidium hians","Garay",NA,NA,NA,"Herb. L. Claude et A. Richard",NA,NA,NA,NA,"Pérou",NA,NA,NA,NA,NA,"P00437283","P00437283_01",NA,"Lindl.","cultivé, origine Pérou","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00437283' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"hb",NA,NA
"24","2020-12-11 11:44:33-03","UFMG","BHCB","92457","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians",NA,NA,NA,NA,"Mota, RC da; et al.","2578","2003","03","19","Brasil","Minas Gerais","Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318",NA,NA,"auto","(Lindl.) Docha Neto","Parque Natural Municipal do Ribeirão do Campo","Planta coletada em mata de galeria; erva epífita; calosidade do labelo branca e ápice do mesmo creme; base do labelo, pétalas e sépalas amarelas com manchas castanho-avermelhadas.","Southern America",NA,NA,NA,NA,NA,NA,NA
"25","2021-02-11 17:20:57-03","UFPR","UPCB","73216","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Mancinelli, W.S.","2011","02","15","Korte, A.","1675","2010","02","03","Brasil","Santa Catarina","Itaiópolis","-49.9475","-26.549722",NA,NA,NA,NA,"(Lindl.) Docha Neto","Arroio das Pombas.","Epífita IFFSC 899. Flor marrom. Floresta ombrófila densa..",NA,"-49.9475","-26.549722","747","747",NA,NA,NA
"26","2021-02-11 17:20:57-03","UFPR","UPCB","93603","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","C.A. Royer","2016","01","18","Bolson, M. | Bacci, L.F. | Bochorny, T.","580","2016","01","18","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","UPCB0041867","UPCB0041867","auto","(Lindl.) Docha Neto","Estação Biológica de Santa Lúcia. Trilha do Túmulo Augusto Ruschi.","Floresta Ombrófila Densa. Coletada na borda da trilha.. Epífita.",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-10 09:48:22-03","MBML","MBML-HERBARIO","42464",NA,"Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","T.E.C. Meneguzzo/2017",NA,NA,NA,"Chiron","4708","2004",NA,NA,"Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","MBML042464","MBML042464","auto","(Lindl.) Docha Neto",NA,"2 fl",NA,NA,NA,"515","515",NA,NA,NA
"28","2020-07-10 09:48:22-03","MBML","MBML-HERBARIO","4411",NA,"Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","T.E.C. Meneguzzo/2017",NA,NA,NA,"H. Q. Boudet Fernandes","2427","1988","03","21","Brasil","Espírito Santo","Santa Teresa","-40.6075","-19.931389",NA,"MBML004411","MBML004411",NA,"(Lindl.) Docha Neto","Estação Biológica Caixa D'Água","Epífita sobre galho caido, estéril. Mata primária, fundo de vale. Culta. Herborizada em 4/1/1989. sépala e pétala marrom amareladas. Labelo branco com manchas vermelhas rosadas. Cult/herb.",NA,"40W36'27","19S55'53",NA,NA,NA,NA,NA
"29","2021-01-26 14:12:44-03","CPACT","ECT","1732","PreservedSpecimen","Plantae","Embryophyta","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","R.S.C.Magalhães","2016","11","23","T.Perleberg","238","2008","03","15","Brasil","Rio Grande do Sul","Pelotas","-52.541667","-31.408056",NA,"ECT0001732","ECT0001732",NA,"(Lindl.) Docha Neto","Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.",NA,NA,"52º32'30''W","31º24'29''S","223","223",NA,NA,NA
"30","2021-03-25 13:53:06-03","UNIVILLE","JOI","14622","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","M.E. Engels","2010","02","16","Mancinelli, W.S.","1159","2010","02","16","Brasil","Paraná","Tibagi","-50.4136009216309","-24.5093994140625","56988","JOI014622",NA,"auto","(Lindl.) Docha Neto","Canyon Guartelá.","; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Mista",NA,NA,NA,"890","890",NA,NA,NA
"31","2019-04-02 09:32:20-03","URICER","HPBR","6178","S","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians","WAECHTER, J. L.",NA,NA,NA,"SCARIOT, C.",NA,"1998","03","16","Brasil","RS","Marcelino Ramos","-51.9063987731934","-27.4617004394531","18635","HPBR006178",NA,"auto","Lindl.","ESTREITO AUGUSTO CÉSAR",NA,NA,NA,NA,NA,NA,NA,"1",NA
