"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","eventTime","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","778098","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","E. M. Woodgyer","W. Ganev","2281","1993","09","28","South America","Brazil","Bahia","Abaíra","Pico do Barbado","-41.9","-13.3","1950","2033","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778098","NY00778098_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4218350","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.",NA,"F. Almeda","8326","1999","05","20","South America","Brazil","Bahia","Rio De Contas","Trilha para o Campo do Queiróz","-41.94769444","-13.51538889","1410","1470","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451297' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777141","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","E. M. Woodgyer","W. Ganev","1308","1992","10","22","South America","Brazil","Bahia","Abaíra","Serra das Brenhas","-41.87","-13.32","1860","1860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777141","NY00777141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","778825","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","E. M. Woodgyer","W. Ganev","1452","1992","11","16","South America","Brazil","Bahia","Abaíra","Catolé de Cima, serra do Rei, subida pelo Tijuquinho.","-41.9","-13.27","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778825","NY00778825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:20:11-03","UFBA","ALCB","62655","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","Santos, AKA","Ganev, W","2281","1993","09","28","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Pico do Barbado","-41.9","-13.3","1950","1950",NA,"de ca. 70 cm, bem ramificada. Folhas cartáceas, verde-discolor. Flores com sépalas verdes com ápice vináceo, pétalas magentas; estames alvos, anteras amarelas, pistilo vináceo. Em floração. Comum.; Cerrado na base e campo rupestre mai","ALCB062176",NA,"2002","12","-41.9","-13.3",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:20:11-03","UFBA","ALCB","75271","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","Santos, AKA","Guedes, ML; Santos, JS; Carvalho, G; Valadão, RM; Alunos de Botânica III","12761","2006","10","14","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Pico do Barbado","-41.65","-13.233333",NA,NA,NA,"de ca 80cm. ,ramos vilosos. Folhas discolores, vilosas, margens revolutas. Flores com corola vináceas. Freqüente.","ALCB062177",NA,"2008","02","-41.65","-13.233333",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:20:11-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","Santos, AKA","Ganev, W","2281","1993","09","28","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Pico do Barbado","-41.9","-13.3","1950","1950",NA,"de ca. 70 cm, bem ramificada. Folhas cartáceas, verde-discolor. Flores com sépalas verdes com ápice vináceo, pétalas magentas; estames alvos, anteras amarelas, pistilo vináceo. Em floração. Comum.; Cerrado na base e campo rupestre mais para cima.",NA,NA,"2002","12","-41.9","-13.3",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:34:25-03","UNICAMP","UEC","105303","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.",NA,"Harley, RM; Pirani, JR; Stannard, BL; Cordeiro, I; Kameyama, C","24491","1987","02","20",NA,"Suriname",NA,NA,"Vale à base do Pico",NA,NA,"1850","1850",NA,"Subarbusto até 70 cm alt.; folhas verdes-acinzentadas na face inferior; hipanto e sépalas verdes; pétalas magenta; estames com filetes rosa, anteras amarelas; estilete magenta claro","UEC080726","UEC080726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:34:25-03","UNICAMP","UEC","105536","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.",NA,"Harley, RM; Pirani, JR; Stannard, BL; Cordeiro, I; Kameyama, C","24491","1987","02","20",NA,"Brazil","Bahia","Pico das Almas","Vale à base do Pico",NA,NA,"18850","18850",NA,"Subarbusto até 70cm alt.; folhas verde-acinzentadas na face inferior; hipanto e sépalas verdes; pétalas magenta; estames com filetes rosa, anteras amarelas; estilete magenta claro","UEC080728","UEC080728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:34:25-03","UNICAMP","UEC","122184","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","Santos, AKA","Almeda, F; Romero, R; Martins, AB; Belinello, R","8326","1999","05","20",NA,"Brazil","Bahia","Rio de Contas","Trilha para o Campo Queiróz","-41.947694","-13.515389","1410","1470",NA,"Arbusto, ca. 1,2m; corola violeta; estames amarelos; Rara. Campo rupestre","UEC080722","UEC080722","2007","11","-41.947694","-13.515389",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:34:25-03","UNICAMP","UEC","134288","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","Santos, AKA","Harley, RM; Giulietti, AM","54443","2002","02","11",NA,"Brazil","Bahia","Rio de Contas","Caminho para o Pico das Almas, na subida para o Campo do Queiróz","-41.948333","-13.514444","1502","1502",NA,"Arbusto 1m alt.; muito ramificado; folhas discolores, face inferior mais clara; flor com hipanto com tricomas creme; pétalas purpúreas; anteras amarelas; estilete purpúreos; Campo rupestre, entre pedras","UEC080718","UEC080718","2004","05","-41.948333","-13.514444","20",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:34:25-03","UNICAMP","UEC","134303","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","nummularia","Marcetia nummularia","Markgr.","Santos, AKA","Santos, AKA; Nascimento, FHF","185","2004","01","06",NA,"Brazil","Bahia","Rio de Contas","subida para o Pico das Almas","-41.966667","-13.526389","1900","1900",NA,"Arbusto, muito ramificado até 1,0m; folhas verdes discolores, face abaxial mais clara; pétalas lilases, anteras amarelas e estilete magenta. Prensado em álcool. Foto","UEC080720","UEC080720","2004","05","-41.966667","-13.526389","21",NA,NA,NA,NA,NA,NA,NA
