"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","locality","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","sex"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1282","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","grossiorum","Orthophytum grossiorum","2008","09","08","Brasil","Minas Gerais","Teófilo Otoni","-41.505298614502","-17.8575000762939","62594","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:26-03","UFV","VIC","27973","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Orthophytum","grossiorum","Orthophytum grossiorum",NA,NA,NA,"Brasil","Minas Gerais","Carlos Chagas","-40.7663993835449","-17.7031002044678","46387",NA,"Planta saxícola ocorre em pequenas touceiras, em torno de cacatáceas, heliófila rizomas delgados, lâmina foliar vermelho ferrugínea,com tricomas brancos,brácteas florais amarelas,sépalas amarelas, tépalas brancas.","auto","Leme & Paula","Paula, C.C. de; Leme, E.","Leme, E.; et al.","5584","2002","09","27","Estrada Teófilo Otoni para Nanuque","VIC027973","VIC027973",NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:26-03","UFV","VIC","29306","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Orthophytum","grossiorum","Orthophytum grossiorum","2012","11",NA,"Brasil","Minas Gerais","Viçosa","-42.8819007873535","-20.7539005279541","13937",NA,"Planta cultivada, folhas avermelhadas, brácteas florais amarelas , pétalas brancas.","auto","Leme & Paula","Louzada, R.B.","Paula, C.C. de","843","2005","04","01","UPCB-Unidade de pesquisa e Conservação de Bromelia","VIC029306","VIC029306",NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","38223",NA,"Plantae",NA,NA,"Bromeliaceae","Orthophytum","grossiorum","Orthophytum grossiorum",NA,NA,NA,"Brasil","Minas Gerais","Carlos Chagas","-40.995833","-17.8625",NA,NA,"Flores amarelas, folhas avermelhadas",NA,"Leme & C.C.Paula","E.Leme/4-7-2009","L. Kollmann; E.Leme & M.Grossi","11717","2009","07","04","Pedra perto do Posto Kaladão","MBML038223","MBML038223","40W59'45","17S51'45","345","345",NA,NA
"5","2021-03-04 11:04:41-03","UFRB","HURB","23640","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Orthophytum","grossiorum","Orthophytum grossiorum","2012","07","30","Brasil","Minas Gerais","Carlos Chagas","-41.013889","-17.860278",NA,NA,"rupícola à beira da estrada Nanuque-Teófilo Otoni, inflorescência ca. 20cm alt., coletado por E.Leme, C.C.Paula, Marcus e Márcio Grossi. Broméliário Biouniverso 808. Em cultivo no VIVASF 56. Data de coleta original 27/09/2002",NA,"Leme & C.C.Paula","J.A.Siqueira Filho","Siqueira Filho, J.A.; Cunha, F.S. & Castro,R.A.","2854","2012","07","30","Próximo ao Porto Caladão;","HURB000023640","HURB000023640","41º00'50W","17º51'37S","254","254",NA,NA
"6","2021-04-05 12:31:14-03","UNIVASF","HVASF","16670","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Orthophytum","grossiorum","Orthophytum grossiorum","2012","07","30","Brasil","Minas Gerais","Carlos Chagas",NA,NA,NA,NA,"Rupícola à beira da estrada Nanuque-Teófilo Otoni. Inflorescência ca. 20cm alt.. Coletado por E. Leme, C.C. Paula, Marcus e Marcio Grossi. Bromeliário Biouniverso 808. Em cultivo no VIVASF 56. Data de coleta original: 27/09/2002.",NA,"Leme & C.C.Paula","J.A. Siqueira Filho","J.A. Siqueira Filho","2854","2012","07","30","Próximo ao Porto Caladão","HVASF016670","HVASF016670_v01 HVASF016670_v02 HVASF016670_v03","9999.000000","9999.000000","254","254","América do Sul","U"
