"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","locality","imagecode","stateProvince","decimalLongitude","decimalLatitude","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","day","county","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:18-03","E","E","259501","PreservedSpecimen","Plantae","Lauraceae","Ocotea","tristis","Ocotea tristis","possible type","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:271203","<a href=http://data.rbge.org.uk/herb/E00259501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355334","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","cordata","Mespilodaphne cordata","syntype","L. Riedel","South America","Brazil","sheet",NA,"Riedel 2240. (error 2440, NY sheet?) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355334","Magnoliophyta","Laurales","Meisn.","2440","1834","05","In sylvis graludosis et ripa rivular. pr. Araracoara, Batabaes etc.","NY00355334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","355333","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","cordata","Mespilodaphne cordata","possible type","J. E. B. Warming","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355333","Magnoliophyta","Laurales","Meisn.","s.n.","1870",NA,"Serra da Piedade.","NY00355333_01","Minas Gerais","-43.675674","-19.822323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 19:48:00-02","NY","NYBG","355355","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","nummularia","Mespilodaphne nummularia","syntype","L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355355","Magnoliophyta","Laurales",NA,"2776","1834","11","In campis inter Sabara et Ouro Preto.","NY00355355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","355371","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","tristis","Mespilodaphne tristis obovata","syntype","L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355371","Magnoliophyta","Laurales","Meisn.","240","1824","06","Serra de S. Juao.","NY00355371_01","Minas Gerais",NA,NA,"obovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","355370","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","tristis","Mespilodaphne tristis obovata","syntype","L. Riedel","South America","Brazil","sheet",NA,"Com. ex Hb. Horti Imp. Petrop. 1860 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355370","Magnoliophyta","Laurales","Meisn.","240","1824","06","In sarosis montis S. Juao d'El Rey.","NY00355370_01","Minas Gerais",NA,NA,"obovata","914.4","914.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","355371","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","tristis","Mespilodaphne tristis obovata","syntype","L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355371","Magnoliophyta","Laurales","Meisn.","240","1824","06","Serra de S. Juao.","NY00355371_01","Minas Gerais",NA,NA,"obovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","355370","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","tristis","Mespilodaphne tristis obovata","syntype","L. Riedel","South America","Brazil","sheet",NA,"Com. ex Hb. Horti Imp. Petrop. 1860 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355370","Magnoliophyta","Laurales","Meisn.","240","1824","06","In sarosis montis S. Juao d'El Rey.","NY00355370_01","Minas Gerais",NA,NA,"obovata","914.4","914.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01405145","PreservedSpecimen","Plantae","Lauraceae","Ocotea","cordata","Ocotea cordata",NA,"H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288125' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405145","Magnoliophyta","Laurales","(Meisn.) Mez","22640","1969","01","Ca. 15km NE of Diamantina, on road to Mendanha. Serra do Espinhaço.","NY01405145_01","Minas Gerais","-43.55","-18.17",NA,"1300","1300","H. H. van der Werff","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00918428","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nummularia","Ocotea nummularia",NA,"H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918428","Magnoliophyta","Laurales","(Meisn.) Mez","30405","1971","01","Serra do Espinhaço, upper shrub covered slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","NY00918428_01","Minas Gerais","-43.7263889","-19.83305",NA,"1850","1850","H. H. van der Werff","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
