"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","scientificNameAuthorship","coordinatePrecision","geoFlag","imagecode","typeStatus","continentOcean","individualCount","relatedCatalogItem","class","order"
"1","2020-11-04 11:19:11-03","ESALQ","ESA","123596","PreservedSpecimen","Plantae","Magnoliophyta","Sabiaceae","Meliosma","chartacea","Meliosma chartacea","Ivanauskas, N.M.","2013","04","29","Colletta, G.D. ; Souza, V.C.","984.0","2013","04","29","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica.(presença de exóticas como nêspera, Citrus, araucária).","-47.31605","-24.02022","-47.31605","-24.02022","480","480","Árvore, 4m","ESA123596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:04:07-03","JBP","HPL","11831","S","Plantae",NA,"Sabiaceae","Meliosma","chartacea","Meliosma chartacea","E. Ramos",NA,NA,NA,"H. Lorenzi","6729","2009","09","09","Brasil","MG","Santana do Paraiso","Em mata de altitude indo para Achado. DUPLICATA IAC.","-42.5686","-19.3636",NA,NA,NA,NA,NA,NA,"Lombardi","17033","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:40:34-03","UNICAMP","UEC","85808","S","Plantae","Magnoliopsida","Sabiaceae","Meliosma","chartacea","Meliosma chartacea","Ramos, E","2010",NA,NA,"Godoi, JV; Romaniuc; Melo, MMRF; Muniz, CFS","410","1994","05","04","Brazil","São Paulo","Itariri","Parque Serra Mar","-47.1699981689453","-24.2800006866455",NA,NA,NA,NA,"Árvore ca. 8,0m alt. Frutos imaturos verdes.","UEC154628","Lombardi","15115","auto","UEC154628",NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:40:34-03","UNICAMP","UEC","74649","S","Plantae","Magnoliopsida","Sabiaceae","Meliosma","chartacea","Meliosma chartacea","Ramos, E","2010",NA,NA,"Baitello, JB; Aguiar, OT","805","1995","09","06","Brazil","São Paulo","Miracatu","P.E. de Jurupará, Estrada do Mono, caminho para o parque.","-47.4599990844727","-24.2800006866455",NA,NA,NA,NA,"Árvore de aproximadamente 10-12m, com frutos elípticos verdes.","UEC154629","Lombardi","43974","auto","UEC154629",NA,NA,NA,NA,NA,NA
"5","2019-06-27 10:26:42-03","UFES","VIES","14408","S","Plantae",NA,"Sabiaceae","Meliosma","chartacea","Meliosma chartacea","Lombardi","2010",NA,NA,"Thomaz, L.D.","1798","1993","10","21","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,"VIES014408","Lombardi","23813","auto","VIES014408",NA,NA,NA,NA,NA,NA
"6","2021-02-12 18:12:30-03","UFES","VIES","14417","S","Plantae",NA,"Sabiaceae","Meliosma","chartacea","Meliosma chartacea","Lombardi","2010",NA,NA,"Thomaz, L.D.","1823b","1993","07","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,"VIES014417","Lombardi","23813","auto","VIES014417","Paratipo",NA,NA,NA,NA,NA
"7","2020-12-11 11:41:13-03","UFMG","BHCB","82834","PreservedSpecimen","Plantae","Dicotyledon","Sabiaceae","Meliosma","chartacea","Meliosma chartacea",NA,"2009","05",NA,"Lombardi, JA; Stehmann, JR; Mota, RC da; Temponi, LG","5537","2003","08","25","Brasil","Minas Gerais","Santa Maria do Salto","Fazenda Duas Barras","-40.0435","-16.403361","-40.0435","-16.403361","763","847","Árvore ca. 7m, folhas coriáceas, botões verdes, frutos imaturos verdes.; Mata hidrófila, terreno plano e encosta","BHCB000411","Lombardi",NA,NA,NA,"Holotypus","Southern America",NA,NA,NA,NA
"8","2020-12-11 11:41:13-03","UFMG","BHCB","94081","PreservedSpecimen","Plantae","Dicotyledon","Sabiaceae","Meliosma","chartacea","Meliosma chartacea",NA,"2011","11",NA,"Stehmann, JR","4114","2005","09","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.539444","-19.982222","-40.539444","-19.982222","630","630","Material Preservado em Álcool antes da secagem&nf;; Arvoreta, ca. 4 metros de altura, frutos pêndulos, verde-amarelados, ca. 1,5cm de diâmetro.; Floresta Ombrófila Densa","BHCB039026","Lombardi",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"9","2020-05-02 04:38:00-03","MO","MOBOT","100270778","PreservedSpecimen","Plantae",NA,"Sabiaceae","Meliosma","chartacea","Meliosma chartacea",NA,NA,NA,NA,"Julio A. Lombardi|J.R. Stehmann|R.C. da Mota|Lívia G. Temponi","Lombardi 5537","2003","8","25","Brazil","Minas Gerais","Santa Maria do Salto",NA,"-40.0435","-16.4033611",NA,NA,"763.00000000","847.00000000",NA,NA,"Lombardi",NA,NA,NA,"Isotype","South America","1",NA,NA,NA
"10","2018-12-14 12:33:00-02","MO","MOBOT","3021936","PreservedSpecimen","Plantae",NA,"Sabiaceae","Meliosma","chartacea","Meliosma chartacea","E. Ramos (UNESP)",NA,NA,NA,"Wilson Boone","Boone 1068","1986","1","30","Brazil","Espírito Santo","Santa Teresa","Penha, Propriedade Do Tabajara.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,"Lombardi","23813","auto",NA,NA,"South America","1",NA,NA,NA
"11","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","10469",NA,"Plantae",NA,"Sabiaceae","Meliosma","chartacea","Meliosma chartacea","Lombardi/2009",NA,NA,NA,"W. P. Lopes; E. Bausen & W. Pizziolo","749","1999","05","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,NA,"Arvore 5m. Dap 9+6+4,5cm. Fuste indefinido. Frutos imaturos verdes. Ambiente úmido.","MBML010469","Lombardi",NA,NA,"MBML010469","PARATIPO",NA,NA,NA,NA,NA
