"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","previousCatalogNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","01176543","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","G. T. Prance","P25894","1977","12","02","South America","Brazil","Pará","BR 230, Transamazon highway, km 190 Marabá-Altamira","-49.9971271","-4.2013141","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409005' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176543","NY01176543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","931002","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","A. H. Gentry","50145","1985","02","15","South America","Brazil","Ceará","CE-090, 32 km W of Crato; lower slopes of Chapada do Araripe.","-39.67","-7.27","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931002","NY00931002_01","Santana do Cariri","520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","931001","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","A. H. Gentry","49625","1985","01","17","South America","Brazil","Minas Gerais","Manhauçu-Ypanema road, 41 km S of Ypanema","-41.92","-20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931001","NY00931001_01 NY00931001_02",NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","931004","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","A. H. Gentry","49688",NA,NA,NA,"South America","Brazil","Minas Gerais","34 km NW of Leopoldina on road to Muriaé, in Paraiba Valley","-42.48","-21.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931004","NY00931004_01",NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","931006","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","Y. E. J. Mexia","4443","1930","03","08","South America","Brazil","Minas Gerais","Viçosa. Agricultural College lands; Horticultural Hills","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931006","NY00931006_01","Viçosa","690","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","931005","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","A. H. Gentry","49670","1985","01","18","South America","Brazil","Minas Gerais","19 km NE of Leopoldina, on slope of Río Paraiba Valley, Leopoldina-Além-Paraiba road.","-42.5","-21.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931005","NY00931005_01",NA,"230","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01176540","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","G. T. Prance","4166","1967","01","29","South America","Brazil","Roraima","Banks of Rio Apiaú, 30 km. from mouth.","-61.4858437","2.6911324","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409000' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01176541","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","L. M. M. Carreira","412","1983","02","01","South America","Brazil","Rondônia","Guajara-Mirim-Abuna, trecho entre o km 12 ao km 36.","-65.32546","-10.596416","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409001' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176541","NY01176541_01","Porto Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","931003","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","A. H. Gentry","49638","1985","01","17","South America","Brazil","Minas Gerais","14 km S of Ypanema, road to Manhuaçu","-41.75","-19.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931003","NY00931003_01",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","412069","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","A. H. Gentry","49251","1985","01","05","South America","Brazil","São Paulo","Km 78 of Dom Pedro highway between Jacarei and Campinas. E of Itatiba.","-46.5","-22.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00412069","NY00412069_01",NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01200079","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","G. T. Prance","4166","1967","01","29","South America","Brazil","Roraima","Banks of Rio Apiaú, 30 km. from mouth.","-61.4858437","2.6911324","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1437943' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200079","NY01200079_01 NY01200079_02 NY01200079_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00229791","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann","J. A. Silva","569","1986","08","02","South America","Brazil","Roraima","Estrada da Serra Grande.","-60.67","2.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229791","NY00229791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
