"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","class","order","scientificNameAuthorship","typeStatus","individualCount","identifiedBy"
"1","2020-12-11 11:31:16-03","UFMG","BHCB","8971","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Staurogyne","warmingiana","Staurogyne warmingiana","2001","06","Paula, JA; Grandi, TSM; Eliasaro, S; Trindade, JA","s.n.","1987","05","16","Southern America","Brasil","Minas Gerais","Caeté","Serra da Piedade, 4ª estação de coleta.","-43.666667","-19.816667","-43.666667","-19.816667","1350","1350","Herbáceo.; Mata secundária.","BHCB053649","BHCB053649",NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","98274","PreservedSpecimen","Plantae",NA,"Acanthaceae","Ebermaiera","warmingiana","Ebermaiera warmingiana",NA,NA,"E. Warming","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Photograph and fragmentary material of type specimen ex herb. Copenhagen.","US01105831","US01105831_01","Dicotyledonae","Scrophulariales","Hiern","Type collection","1",NA
"3","2019-11-13 11:14:04-03","USP","SPF","100189","PreservedSpecimen","Plantae",NA,"Acanthaceae","Staurogyne","warmingiana","Staurogyne warmingiana","2004","10","Paula, JA","s.n.","1987","05","16",NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.666667","-19.816667","-43.666667","-19.816667","1350","1350",NA,"SPF00100189","SPF00100189",NA,NA,"(Hiern) Leonard",NA,NA,"Braz, DM"
"4","2019-09-04 18:56:56-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Acanthaceae","Staurogyne","warmingiana","Staurogyne warmingiana",NA,NA,"J. E. B. Warming",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Type [status unknown]",NA,NA
"5","2015-03-13 19:08:12-03","F","FMNH-SEEDPLANTS","V0267490F","PreservedSpecimen","Plantae","Spermatophyta","Acanthaceae","Staurogyne","warmingiana","Staurogyne warmingiana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0267490F",NA,"Dicotyledoneae",NA,NA,NA,NA,NA
