"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","infraspecificEpithet","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","fieldNumber","individualCount","eventTime","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","15354","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis","(Jacq.) P.H.Raven","Isadora Zapelini & José T. Pires","2020","08","08","Alexandre Medeiros","616","2017","10","22","Brasil","Santa Catarina","Balneário Camboriú","Estaleirinho.","-48.5825","-27.028889","48º34'57''W","27º1'44''S","Habito: Herbácea","CRI014771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:43-03","UNESC","CRI","7683","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis sessiliflora","(micheli) p.h.raven","Farias, D. M.","2018","05","21","Marciel Bonfi Fernandes",NA,"2007","10","21","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI005759","sessiliflora","CRI005759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:43-03","UNESC","CRI","13592","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis","(Jacq.) P.H.Raven","Renato Colares","2018","05","28","Renato Colares; Thuany Machado",NA,"2018","03",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.445556","-28.531389","49º26'44''W","28º31'53''S","Habitat: Terrestre Habito: Herbácea","CRI012199",NA,NA,"161","161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:43-03","UNESC","CRI","7856","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis sessiliflora","(micheli) p.h.raven","Farias, D. M.","2018","05","23","Daniel B. Falkenberg; Tais B. Guimarães",NA,"2004","12","22","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","Habitat: restinga Habito: subarbusto","CRI005762","sessiliflora","CRI005762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:43-03","UNESC","CRI","228","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis sessiliflora","(micheli) p.h.raven","Farias, D. M.","2018","05","25","V. Citadini-Zanette; V. P. Boff",NA,"1983","11","09","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI005755","sessiliflora","CRI005755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:43-03","UNESC","CRI","9305","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis sessiliflora","(micheli) p.h.raven","Farias, D. M.","2018","05","23","Mainara F. Cascaes; Birgit Harter Marques",NA,"2008","08","07","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S",NA,"CRI005749","sessiliflora","CRI005749","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:43-03","UNESC","CRI","3770","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis sessiliflora","(micheli) p.h.raven","Farias, D. M.","2018","05","25","J. I. Dagostim",NA,"1981","06","02","Brasil","Santa Catarina","Turvo","Ponte Alta.","-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI005746","sessiliflora","CRI005746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:43-03","UNESC","CRI","3548","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis sessiliflora","(micheli) p.h.raven","Farias, D. M.","2018","05","23","Maria Costa Rebelo",NA,"1994","09","15","Brasil","Santa Catarina","Jaguaruna","Morro Bonito - Coletada na propriedade do Sr. Luiz Rebelo.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","Habitat: canteiro cultivado Habito: erva","CRI005744","sessiliflora","CRI005744","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:02-03","E","E","146955","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis",NA,NA,NA,NA,NA,"Pott, A.;","1736","1985","02","26","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00146955 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146955",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:02-03","E","E","146935","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","octovalvis","Ludwigia octovalvis",NA,NA,NA,NA,NA,"Pott, V.J.;","2813","1995","09","16","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00146935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146935",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
