"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","3278","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","Carlos A. Ferreira Jr.","2014","01","08","Carlos Alberto F. Jr.;","CAF1341","2014","01","08","Brasil","Minas Gerais","Caeté","Serra da Piedade, área da capela de São Cristovão.","-43.6697006225586","-19.8799991607666","22051","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1425","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.",NA,NA,NA,NA,"Juliana Ordones Rego;",NA,"2000","10","09","Brasil","Minas Gerais","Catas Altas","Campo de Fora, Serra do Caraça","-43.4075012207031","-20.0746994018555","11966",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","545554","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","J. H. A. Dutilh",NA,NA,NA,"J. G. Stutts","821","1980","09","27","Brazil","Rio de Janeiro","Itatiaia","Serra das Prateleiras. Close to Abrigo dos Reboucas, at km marker 16","-44.5631","-22.4961",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217771' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00545554","NY00545554_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565074","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","J. H. A. Dutilh",NA,NA,NA,"G. L. Smith","820","1980","09","27","Brazil","Rio de Janeiro","Itatiaia","Serra das Prateleiras. Close to Abrigo dos Reboucas. Km marker 16","-44.5631","-22.4961",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509012' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00565074","NY00565074_01","2300","2300",NA,NA,NA
"5","2020-01-28 13:10:58-03","MCN-PUC-MINAS","HPUC-MG","ANG3971","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","cf. morelianum","Hippeastrum cf. morelianum",NA,"M.Valentina W.",NA,NA,NA,"M.Valentina W.","68",NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,NA,"Flor rosa desbotada, início da floração.",NA,NA,NA,NA,NA,"1.4","1.4","43º58'01''W","20°12'31''S",NA
"6","2020-01-28 13:10:58-03","MCN-PUC-MINAS","HPUC-MG","ANG1870","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum",NA,NA,NA,NA,NA,"M.F. Vasconcelos ; L.N. Santos; D.L.H. Oliveira.","13-343","2013","04","26","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.666667","-19.816667",NA,NA,NA,NA,NA,NA,NA,NA,"1.6","1.6","43°40'W","19°49'S",NA
"7","2020-01-28 13:10:58-03","MCN-PUC-MINAS","HPUC-MG","ANG4559","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum",NA,NA,NA,NA,NA,"Alexandre Ottoni",NA,NA,NA,NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade - Trilha da Moto","-43.674722","-19.822778",NA,NA,"Flores vermelhas.",NA,NA,NA,NA,NA,"1697","1697","43°40'29'' W","19°49'22' 'S",NA
"8","2020-06-29 11:28:45-03","UFRJ","RFA","42299","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","M.B.Plumm, A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","2017","12","06","M.B.Plumm; A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","87","2017","12","06","Brasil","Rio de Janeiro","Itatiaia","PARNA Itatiaia, na parte alta, trilha para as Prateleiras. Campo de altitude.","-44.687778",NA,NA,NA,"Erva. Encosta rochosa associada a substrato orgânico e sol. Cerca de 50 cm de altura",NA,NA,NA,"RFA35979",NA,"2300","2300","44º41'16''W","22ºS",NA
"9","2020-06-29 11:28:45-03","UFRJ","RFA","42302","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","M.B.Plumm, A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","2017","12","06","M.B.Plumm; A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","90","2017","12","06","Brasil","Rio de Janeiro","Itatiaia","PARNA Itatiaia, na parte alta, trilha para as Prateleiras. Campo de altitude.","-44.683889",NA,NA,NA,"Erva rupícola. Sol. Cerca de 50 cm de altura.",NA,NA,NA,"RFA35978",NA,"2300","2300","44º41'2''W","22ºS",NA
"10","2020-06-29 11:28:45-03","UFRJ","RFA","39694","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","Manão, C.Y'G.","2017","10","09","R.S. Candido","149","2009","10","23","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.","-44.5633010864258","-22.4960994720459","19648",NA,"Erva, flores vermelhas, interior esverdeado em forma de estrela que se irradia por 2/3 das tépalas, com estrias vinosas, corona tênue anelar lacerada, tubo curto ca. 0,5 cm, estigma trífido, filetes e estilete seguem a coloração das tép","auto",NA,NA,"RFA34338",NA,"2300","2300",NA,NA,NA
