"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","557367","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vaginans","Piper vaginans","C.DC.","R. Callejas Posada","H. de F. Leitão Filho","13082","1981","11","07","South America","Brazil","São Paulo","Jundiaí","Nativo em mata na Serra do Japi","-46.88","-23.1803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557367","NY00557367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-21 21:31:00-03","MNHN","RECOLNAT_MNHN_P","P00603896","PreservedSpecimen",NA,NA,NA,"Piperaceae","Piper","vaginans","Piper vaginans","C.DC.","Bornstein","Lillo, M.",NA,"1885","5","1",NA,"Argentine",NA,NA,"Tucuman. Tafiviejo.",NA,NA,"hb","Reçu le 12 février 1890 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603896' target='other'> <mi>dwc_moreinfo</mi></a>","P00603896","P00603896_01","432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-05 08:35:55-03","MNHN","RECOLNAT_MNHN_P","P00603897","PreservedSpecimen",NA,NA,NA,"Piperaceae","Piper","vaginans","Piper vaginans","C.DC.","Bornstein","Lillo, M.",NA,"1885","5","1",NA,"Argentine",NA,NA,"Tucuman. Tafiviejo.",NA,NA,"hb","Reçu le 12 février 1890. Partie détachée de P00603896. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603897' target='other'> <mi>dwc_moreinfo</mi></a>","P00603897","P00603897_01","432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-21 19:24:10-03","MNHN","RECOLNAT_MNHN_P","P00603912","PreservedSpecimen",NA,NA,NA,"Piperaceae","Piper","vaginans","Piper vaginans","C.DC.","Bornstein","Stachino, M.S.",NA,"1949","8","30",NA,"Argentine",NA,NA,"Tucumán : Famaillá, Quebrada de Lules",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603912' target='other'> <mi>dwc_moreinfo</mi></a>","P00603912","P00603912_01","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-22 00:59:17-03","MNHN","RECOLNAT_MNHN_P","P00614523","PreservedSpecimen",NA,NA,NA,"Piperaceae","Piper","vaginans","Piper vaginans","C.DC.","Bornstein","Lorentz, P.G.|Hieronymus",NA,"1874","2","28",NA,"Argentina",NA,NA,"Piedra de San Javier, Sierra de Tucuman",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00614523' target='other'> <mi>dwc_moreinfo</mi></a>","P00614523","P00614523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:40:15-03","UFMG","BHCB","175390","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","vaginans","Piper vaginans","C.DC.",NA,"Moreira, NC; Gurgel, R","176","2015","01","09","Southern America","Brasil","Minas Gerais","Lagoa Santa","Gruta da Lapinha","-44.609167","-19.935",NA,"Arbusto, cerca de 2m, inflorescência decumbente.; Floresta estacional semidecídua, vale com solo em afloramento calcáreo","BHCB035492",NA,NA,"2015","02","25","-44.609167","-19.935","748","748",NA,NA,NA,NA
"7","2020-12-11 11:40:15-03","UFMG","BHCB","174935","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","vaginans","Piper vaginans","C.DC.",NA,"Moreira, NC; Stehmann, JR; Gouvêa, YF","174","2015","02","12","Southern America","Brasil","Minas Gerais","Pedro Leopoldo","Lapa do Baú","-43.988889","-19.548056",NA,"Arbusto, cerca de 2m, inflorescência decumbente.; Afloramento calcáreo.","BHCB035493",NA,NA,"2015","02","25","-43.988889","-19.548056","645","645",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","290183","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper","vaginans","Piper vaginans","C. DC.",NA,"E. Warming","s.n.",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US00107635","US00107635_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Possible Syntype","1",NA
"9","2019-09-04 19:03:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Piper","vaginans","Piper vaginans",NA,NA,"J. E. B. Warming",NA,"1863","11","21","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA
"10","2019-01-10 11:52:35-02","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Piper","vaginans","Piper vaginans",NA,NA,"P. G. Lorentz","197","1872","4","20","South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
