"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","month","day","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","502694","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nettoana","Rudgea nettoana","Müll.Arg.","M. Wacket","1902","South America","Brazil","São Paulo","Sorocaba","In circuitu urbis Sorocaba","-47.45","-23.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502694","NY00502694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-07-10 13:26:13-03","EBDA","BAH","7752","S","Plantae",NA,NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea","Müll. Arg.","T. H. Brito",NA,NA,"Brasil","Bahia","Una","Serra Javi, Rod. BR 101, trecho São José/Camacã, 9km S de São José (km 550), então 5,5km E de BR 101 na estrada a Fazenda Cascavel. 6-7km por ar S de São José.","-38.333333","-15.133333",NA,"Arbusto de 3m, frutas castanhas.",NA,NA,"T. S. dos Santos","1986","03","421","38W 20'","15S 08'","900","4000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:40:15-03","UNICAMP","UEC","186862","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea","Müll.Arg.","Martins, FR; Matthes, LAF; Peixoto","1981",NA,"Brazil","Minas Gerais","Poços de Caldas","Mata da Colina.","-46.5614013671875","-21.7877998352051",NA,"Arbusto de 2,5m de alt, flores brancas.","UEC110989","UEC110989","Tamashiro, JY",NA,NA,"1549",NA,NA,NA,NA,"12","02","23696","auto",NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:40:15-03","UNICAMP","UEC","109602","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Zappi, DC; et al.","1999",NA,"Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar, núcleo Cunha-Indaiá, trilha do Rio Bonito","-45.02","-23.220556",NA,"Arbusto 1.5m, folhas com domácias, flores diminutas alvas, com corola membranácea. DNA, material em álcool; Mata Atlântica no alto da serra, no interior da mata","UEC101115","UEC101115","Zappi, DC","1999",NA,"330","-45.02","-23.220556","1060","1250","11","18",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:40:15-03","UNICAMP","UEC","135790","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Simões, AO; Singer, RB","1998",NA,"Brazil","Minas Gerais","Carrancas","Fazenda Grão Mogol","-44.6425018310547","-21.4874992370605",NA,"Arbusto, 1m, flores brancas. Em beira de riacho.; mata junto ao córrego.",NA,NA,"Zappi, DC",NA,NA,"263",NA,NA,NA,NA,"09","19","21143","auto",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:40:15-03","UNICAMP","UEC","68709","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Silva, SM; Sousa, WS","1987",NA,"Brazil","São Paulo","Itu","Área de proteção ambiental","-47.2900009155273","-23.2600002288818",NA,"Arbusto de flores esbranquiçadas, em sub-bosque de mata ciliar.",NA,NA,NA,NA,NA,"25442",NA,NA,NA,NA,"10","22","22309","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:43:55-03","MBM","MBM","117072","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea","Muell. Arg.","Santos, T.S.; Judziewicz, E.J.; Judziewicz, E.J.",NA,"Southern America","Brazil","Bahia","Una","Serra Javi","-39.0752983093262","-15.2932996749878",NA,NA,"MBM117072","MBM117072","Smith, S.F.",NA,NA,"4212",NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA
"8","2015-09-04 14:16:48-03","MNHN","RECOLNAT_MNHN_P","P04008048","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen","1838",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008048' target='other'> <mi>dwc_moreinfo</mi></a>","P04008048","P04008048_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"660",NA,NA,NA,NA,NA
"9","2015-09-04 14:16:48-03","MNHN","RECOLNAT_MNHN_P","P04008049","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008049' target='other'> <mi>dwc_moreinfo</mi></a>","P04008049","P04008049_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"660",NA,NA,NA,NA,NA
"10","2015-09-04 14:16:48-03","MNHN","RECOLNAT_MNHN_P","P04008050","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen","1838",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008050' target='other'> <mi>dwc_moreinfo</mi></a>","P04008050","P04008050_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"668",NA,NA,NA,NA,NA
