"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:26:02-03","UNESC","CRI","13100","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Sobral, M","2010","10","25","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4862","2010","06","08","Brasil","Santa Catarina","Paulo Lopes","Espraiado/Parque Estadual da Serra do Tabuleiro. Espraiado/Parque Estadual da Serra do Tabuleiro.","-48.78","-27.99","48º46'48''W","27º59'24''S","329","329","Florística IFFSC 199 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: arbustiva;","CRI011706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:02-03","UNESC","CRI","9370","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","M. Sobral","2010","08","15","A. Korte; A. Kniess","2126","2010","03","15","Brasil","Santa Catarina","Ascurra","Guaricanas.","-49.41","-27","49º24'36''W","27º0'0''S","281","281","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI009381","CRI009381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:02-03","UNESC","CRI","13102","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Oliveira, AA de","2011","02","01","Korte, A.; Rigon-Junior, M.J.","5444","2010","12","07","Brasil","Santa Catarina","Araranguá",NA,"-49.320833","-28.890278","49º19'15''W","28º53'25''S","8","8","Florística IFFSC 27 (Arbusto) Habitat: Floresta Ombrófila Densa de Terras Baixas; Estágio Avançado Habito: arbustiva; Fruto roxa;","CRI011704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:02-03","UNESC","CRI","13103","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Sobral, M","2010","10","29","Stival-Santos, A.; Legal, E. & Silveira, S.","2947","2010","06","02","Brasil","Santa Catarina","Palhoça","Pedra Branca. Pedra Branca.","-48.691667","-27.63","48º41'30''W","27º37'48''S","65","65","Florística IFFSC 318 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: arbusto; Fruto verde;","CRI011703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:02-03","UNESC","CRI","13101","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Korte, A","2011","01","11","Korte, A.; Kniess, A.","4865","2010","11","09","Brasil","Santa Catarina","Camboriú","Cobra Fria. Cobra Fria.","-48.780556","-27.09","48º46'50''W","27º5'24''S","341","341","Florística IFFSC 582b (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbusto;","CRI011705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:06-03","UNESC","CRI","10086","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","A. Stival-Santos","2012","02","02","A. Stival-Santos; L. Mancino","3380","2012","02","28","Brasil","Santa Catarina","Içara","Fazenda Esperança, às margens da rodovia BR-101, km 376.","-49.225","-28.740833","49º13'30''W","28º44'27''S","17","17","Floresta Ombrófila Densa Habito: arbusto","CRI009383","CRI009383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:06-03","UNESC","CRI","9006","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Marcos Sobral","2010","08","15","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4201","2010","04","06","Brasil","Santa Catarina","Armazém","Areião.","-49.049167","-28.259444","49º2'57''W","28º15'34''S","24","24","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI009384","CRI009384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:06-03","UNESC","CRI","9017","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Marcos Sobral","2010","08","15","M. Verdi; N.L. de Souza & D.H. Klettenberg","4484","2010","04","28","Brasil","Santa Catarina","Garopaba","Morro da Ressacada.","-48.69","-28.08","48º41'24''W","28º4'48''S","10","10","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI009382","CRI009382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","501966","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Müll.Arg.","C. M. Taylor",NA,NA,NA,"L. Riedel",NA,"1821",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=391620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501966","NY00501966_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","799414","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","P. G. Delprete",NA,NA,NA,"R. Reitz","410","1953","03","12","Brazil","Santa Catarina","Palhoça","Campo do Massiambu","-48.62515","-27.834087",NA,NA,"3","3","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799414","NY00799414_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","501390","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.",NA,NA,NA,NA,"P. G. Delprete","7040","1998","12","10","Brazil","Santa Catarina","Florianópolis","Ilha de Santa Catarina, Unidade de Conservaçao Ambiental Desterro (Universidade Federal de Santa Catarina). Trilha do Jacatirao","-48.5","-27.52",NA,NA,"50","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501390","NY00501390_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","799413","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","P. G. Delprete",NA,NA,NA,"R. M. Klein","1311","1955","04","14","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"15","15","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799413","NY00799413_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
