"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2020-09-23 10:37:09-03","E","E","77531","PreservedSpecimen","Plantae","Celastraceae","Maytenus","floribunda","Maytenus floribunda","Ratter, J.A. & Ramos, P.C.M.","1990","10","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:85535","<a href=http://data.rbge.org.uk/herb/E00077531 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00077531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:09-03","E","E","77530","PreservedSpecimen","Plantae","Celastraceae","Maytenus","floribunda","Maytenus floribunda","Ratter, J.A., Cardoso, E., Fonsêca Filho, J., de Lima, Valdir, de Oliveira, Newton, Paixao, J. Ferreira, Silva, Marco & Walter, Bruno","1994","06","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:85536","<a href=http://data.rbge.org.uk/herb/E00077530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00077530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01405155","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","H. S. Irwin","1965","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2247992' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405155","Magnoliophyta","Celastrales","(Reissek) Biral","10885","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 9 km S. of Corumbá de Goiás","-48.8086","-16.00493","1000","1000","NY01405155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01405157","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","S. A. Mori",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405157","Magnoliophyta","Celastrales","(Reissek) Biral","11127","Bahia","Maracás","Rod. BA-026, a 6 Km a SW de Maracás","-40.4306","-13.4411","900","900","NY01405157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00748744","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","G. T. Prance","1964","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748744","Magnoliophyta","Celastrales","(Reissek) Biral","58269","Goiás","Alto Paraíso de Goiás","15 km north of Veadeiros. Valley of Rio Paraná.","-47.5097","-14.1325",NA,NA,"NY00748744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02899265","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","D. C. Daly","1999","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373129' target='other'> <mi>dwc_moreinfo</mi></a>","NY02899265","Magnoliophyta","Celastrales","(Reissek) Biral","10036","Acre","Santa Rosa do Purus","Rio Purus, left bank, Seringal Santa Helena.","-70.1769","-9.1303",NA,NA,"NY02899265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1031065","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","H. S. Irwin","1965","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031065","Magnoliophyta","Celastrales","(Reissek) Biral","8764","Distrito Federal","Brasília","Immediately W. of Planaltina","-47.67603","-15.6167","950","950","NY01031065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1031067","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","H. S. Irwin","1966","06","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031067","Magnoliophyta","Celastrales","(Reissek) Biral","16691","Mato Grosso",NA,"Ca. 35 km. N. of Xavantina. Serra do Roncador.","-52.23","-14.38","500","500","NY01031067_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1031063","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","A. Macedo","2002","06","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031063","Magnoliophyta","Celastrales","(Reissek) Biral","57","Minas Gerais",NA,"Na divisa com a Faz. do Sr. José Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00748720","PreservedSpecimen","Plantae","Celastraceae","Monteverdia","floribunda","Monteverdia floribunda","H. S. Irwin","1966","05","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748720","Magnoliophyta","Celastrales","(Reissek) Biral","15897","Distrito Federal","Brasília","Immediately south of Brasília","-47.9167","-15.79234","975","975","NY00748720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
