"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","locality","imagecode","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:36:20-03","E","E","254625","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","Hassler, E.","12247","E. Tropical South America","PY","Prope Sapucay","herbarium specimen of unspecif","BGBASE:265332","<a href=http://data.rbge.org.uk/herb/E00254625 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","674893","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","J. E. Leite","414","South America","Brazil","Rio Grande do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674893","Pteridophyta","Polypodiales","Rosenst.","L. Sylvestre","1941","Parecy Novo.","NY00674893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1801272","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","F. B. Matos","2006","South America","Brazil","Santa Catarina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017873' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801272","Pteridophyta","Polypodiales","Rosenst.","F. B. Matos","2012","Snow Valley Adevnture Park. Rodovia SC-438.","NY01801272_01","01","08","Sao Joaquim","-49.8681","-28.2333","1305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","149321","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii serrato-dentatum","C. Spannagel","135","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00149321","Pteridophyta","Polypodiales","Rosenst.",NA,NA,"Lages, Costa do Rio Pelotas","NY00149321_01",NA,NA,NA,NA,NA,NA,"serrato-dentatum","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4046054","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","J. P. Gallinal H.","B23901/2","South America","Uruguay","Florida","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4354437' target='other'> <mi>dwc_moreinfo</mi></a>","NY04046054","Pteridophyta","Polypodiales","Rosenst.",NA,"1937","Cerro Colorado. Estancia San Pedro","NY04046054_01","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4046055","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","E. Hassler","12247","South America","Paraguay","Paraguarí","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4354438' target='other'> <mi>dwc_moreinfo</mi></a>","NY04046055","Pteridophyta","Polypodiales","Rosenst.",NA,"1913","Prope Sapucay [near Sapucai]","NY04046055_01","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4046058","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","W. G. F. Herter","886g","South America","Uruguay","Colonia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4354441' target='other'> <mi>dwc_moreinfo</mi></a>","NY04046058","Pteridophyta","Polypodiales","Rosenst.",NA,"1947","Salto San Luís","NY04046058_01","05","24",NA,NA,NA,"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","674895","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","C. Jürgens","298","South America","Brazil","Rio Grande do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674895","Pteridophyta","Polypodiales","Rosenst.",NA,"1906","Rio Castilhansinho.","NY00674895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01093232","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","I. Ligorio","125","South America","Brazil","Rio Grande do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093232","Pteridophyta","Polypodiales","Rosenst.","L. Sylvestre","1951","Beco de Boa Vista, Porto Alegre.","NY01093232_01","02","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","674896","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","ulbrichtii","Asplenium ulbrichtii","N. M. Bacigalupo","1608","South America","Argentina","Entre Ríos","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674896","Pteridophyta","Polypodiales","Rosenst.","M. A. Sundue","1993","Parque Nac. El Palmar, Paseo La Glorieta.","NY00674896_01","02","27","Colón",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
