"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","infraspecificEpithet","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","county","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00102624","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","elatum","Eriocaulon elatum","Bong.","isotype","L. Riedel","1037","1824","11","11","South America","Brazil","In rupibus locisque petrosis, Terra da Lapa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102624","NY00102624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:23-03","EAO","IAN","34043","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","elatus","Paepalanthus elatus","Körn.",NA,"Riedel, L","1037",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN034043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:15:22-03","NBC","NL-BOTANY","U 0001785","PreservedSpecimen","Plantae",NA,"Poales","Eriocaulaceae","Paepalanthus","elatus","Paepalanthus elatus","(Bong.) Körn.","isotype","Riedel L",NA,NA,NA,NA,"Southern America","Brazil","S. da Lapa",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001785","NL-U0001785","Magnoliopsidae","Moldenke HN","1959","10","01","355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:05-02","BGBM","B","B 10 0247799","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","elatus","Paepalanthus elatus","Körn.","isotype","L. Riedel","1037",NA,NA,NA,"Middle and South America","Brazil","S. da Lapa.",NA,"H. H. Petrop. <a href=http://herbarium.bgbm.org/object/B100247799 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247799","B100247799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:05-02","BGBM","B","B 10 0247798","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","elatus","Paepalanthus elatus var. calvulus","Ruhland","type","A. F. M. Glaziou","19962","1892","04","04","Middle and South America","Brazil","Minas Geraes; Diamantina, dans le campo sec.",NA,"Herbarium Ign. Urban <a href=http://herbarium.bgbm.org/object/B100247798 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247798","B100247798",NA,NA,NA,NA,NA,NA,"var. calvulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006661","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","elatus","Paepalanthus elatus","Koern.",NA,"S. F. Glassman; J. C. Gomes, Jr.","8057","1965","7","11",NA,"Brazil","Serra Cipo, 112 km. N. of Belo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","-43.938575","-19.919068","1290",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-06 10:13:55-03","UFOP","OUPR","31126","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","argenteus","Paepalanthus argenteus elatus","(Bong.) Hensold",NA,"Echternacht, L.; Picanço, W.; Soldevila, A. & Rodrigues, D.","2757","2017","07","08",NA,"Brasil","Fechados, Trilha entre o distrito e a casa do Waltinho.",NA,"Planta terrestre, indivíduos sombreados, população se extendendo por aproximadamente 150 x 30 m, de forma linear ao longo da trilha, observada em um único ponto da Serra. Indivíduos em estágios reprodutivos variados, de botão a frutos.; Campo rupestr",NA,NA,NA,"Echternacht, L.","2017","07","08",NA,"elatus","Minas Gerais","-43.882778","-18.786917","1080","Santana de Pirapama","-43.882778","-18.786917","1080",NA,NA,NA,NA
"8","2020-12-21 16:23:37-03","MBM","MBM","104081","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","elatus","Paepalanthus elatus","(Bong.) Körn.",NA,"Hatschbach, G.; Kummrow, R.; Kummrow, R.","49592","1985","09","12","Southern America","Brazil","Serra do Espinhaço",NA,NA,"MBM104081","MBM104081",NA,"Giulietti, A.M.",NA,NA,NA,NA,NA,"Minas Gerais","-43.7407989501953","-18.4543991088867",NA,"Gouveia",NA,NA,NA,"37970","auto",NA,NA
"9","2020-12-21 16:23:37-03","MBM","MBM","139463","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","elatus","Paepalanthus elatus","(Bong.) Körn.",NA,"Isejima, E.M.; et al.; et al.","3590","1982","04","10","Southern America","Brazil","Estrada para Milho Verde, a 2km de Milho Verde",NA,NA,"MBM139463","MBM139463",NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","-43.6002998352051","-18.2493991851807",NA,"Diamantina",NA,NA,NA,"101169","auto",NA,NA
"10","2019-09-04 18:40:00-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Eriocaulon","elatum","Eriocaulon elatum",NA,"Isotype","L. Riedel","1037",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA
