"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:34:06-03","UNESC","CRI","1241","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","Piero Delprete","Vanilde Citadini-Zanette; R. B. Negrelle, C. Lodero e L.H. Garcia","1485","1992","07","30","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI009441","CRI009441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","11614","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","Guilherme Alves Elias","Guilherme Alves Elias; Robson dos Santos & Peterson T. Padilha","19","2015","12","19","Brasil","Santa Catarina","Itapoá","-48.670556","-26.071667","48º40'14''W","26º4'18''S","CRI008281","CRI008281","2015","12","19","Reserva Volta Velha.","Floresta Ombrófila Densa de Terras Baixas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:02-03","UNESC","CRI","14008","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","Peterson Padilha","Valdemar Boff & Vanilde Citadini",NA,"1998","11","20","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI012652","CRI012652","2018","10","18","São Simão","Habitat: Terrestre Habito: Arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:02-03","UNESC","CRI","13110","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","Korte, A","Korte, A.","4996","2010","11","18","Brasil","Santa Catarina","Itapoá","-48.69","-26.1","48º41'24''W","26º6'0''S","CRI011647","CRI011647","2010","11","30","Saí Mirim. Saí Mirim.","Florística IFFSC 1069 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto;","18","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:06-03","UNESC","CRI","1550","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","Piero Delprete","R. Negrelle",NA,"1992","01","14","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI009442","CRI009442","1998",NA,NA,"Reserva Volta Velha.","Habito: arbustiva","9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:04-03","E","E","285028","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla",NA,NA,"Gardner, George","447","1905","01","11","BR",NA,NA,NA,NA,NA,NA,"E00285028",NA,NA,NA,NA,"S.America, Organ Mountains.","<a href=http://data.rbge.org.uk/herb/E00285028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:291506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1005094","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","G. M. Magalhaes","18940","1963","03","19","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY01005094","NY01005094_01",NA,NA,NA,"Itambé, Subida da Serra.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075290' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1005093","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","30528","1971","01","16","Brazil","Minas Gerais",NA,"-43.67613","-19.82237",NA,NA,"NY01005093","NY01005093_01",NA,NA,NA,"Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075288' target='other'> <mi>dwc_moreinfo</mi></a>","1800","1800",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1005098","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","22596","1969","01","26","Brazil","Minas Gerais",NA,"-43.55","-18.17",NA,NA,"NY01005098","NY01005098_01",NA,NA,NA,"Ca. 15km NE of Diamantina, on road to Mendanha. Serra do Espinhaço.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075427' target='other'> <mi>dwc_moreinfo</mi></a>","1300","1300",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1005097","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","G. M. Magalhaes","18940","1963","03","19","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY01005097","NY01005097_01",NA,NA,NA,"Serra do Itaubé","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075421' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
