"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","infraspecificEpithet","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","4029589","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","J. A. Steyermark","62876","1945","05","23","South America","Venezuela","Sucre","dry rocky (igneous-metamorphic) chaparral near Quetepe, between kms. 18-20, east of Cumaná","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332734' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4029591","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","R. L. Liesner","13619","1982","04","12","South America","Venezuela","Federal","Caracas, Jardine Botanico, Cultivated","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332736' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-08-10 11:01:00-03","NY","NYBG","02431426","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia",NA,"G. A. Black","46-3","1946","08","16","South America","Colombia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969321' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431426","NY02431426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1281251","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","S. Tsugaru","B-2107","1987","11","17","South America","Brazil","São Paulo","Rua Fernando Pessoa, Jandira. Cultivated in the precinct of Oomoto Hakkoen","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1681257' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281251","NY01281251_01","M. H. Nee","Jandira","-46.9025","-23.5278","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04029522","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","M. H. Nee","37974","1989","12","06","South America","Bolivia","Santa Cruz","1 km SW of Buena Vista","360","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332587' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029522",NA,NA,"Ichilo","-63.67","-17.4583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4029594","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","P. J. M. Maas","5183","1980","11","09","South America","Venezuela","Federal","Parque Nacional El Avila","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332739' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029594",NA,NA,NA,NA,NA,"1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4029553","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","F. W. Pennell","8398","1922","07","21","South America","Colombia","Valle del Cauca","east of Zarzal","970","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332665' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029553",NA,NA,NA,NA,NA,"1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4029572","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","Y. E. J. Mexia","6506","1932","02","09","South America","Peru","Loreto","Iquitos. Iquitos; Muena-Caño","105","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332685' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029572",NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4029557","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","J. L. Jaramillo","209","1978","03","27","South America","Ecuador","Napo","Coca, Comino a los Zorros","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332669' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4029586","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cotinifolia","Euphorbia cotinifolia","L.","G. S. Bunting","9118","1980","02","20","South America","Venezuela","Zulia","cuenca del Embalse Burro Negro, alrededores de la planta de tratamiento de INOS, cerca de la toma de agua del embalse, detrás de la piscina de las oficinas de MARNR, en bosque semi-deciduo conelementos siempreverdes",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332731' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029586",NA,NA,"Lagunillas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
