"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1031894","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","piraquarensis","Habenaria piraquarensis","Hoehne","G. F. J. Pabst","G. G. Hatschbach","29248","1972","02","28","South America","Brazil","Paraná","Senges","S. Antonio, 5 Km ao Norte","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188081' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031894","NY01031894_01",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:38:33-03","MBM","MBM","49694","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","piraquarensis","Habenaria piraquarensis","Hoehne","Hoehne, F.C.","Hatschbach, G.","2246","1951","04","22","Southern America","Brazil","Paraná","Piraquara","Estrada da Graciosa, Alto da Serra","-49.0633010864258","-25.4416999816895",NA,"Terrestre, flor verde.; Mata higrófila.","MBM049694","MBM049694","1951","ISOTYPE","12577","auto",NA,NA,NA
"3","2019-01-22 16:41:00-02","MO","MOBOT","101091992","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","piraquarensis","Habenaria piraquarensis","Hoehne",NA,"Gert G. Hatschbach","Hatschbach 2246","1951","4","22","South America","Brazil","Paraná","Piraquara","Roas to Grxiosa, Alto de Serra","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"Holotype","12577","auto","1",NA,NA
"4","2019-11-13 11:27:45-03","USP","SPF","65036","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","piraquarensis","Habenaria piraquarensis","Hoehne",NA,"Hatschbach, G","2246","1951","04","22",NA,"Brasil","Paraná","Piraquara","Estrada da Graciosa, Alto da Serra.","-49.0633010864258","-25.4416999816895",NA,"Terrestre, flor verde, da mata higrófila.","SPF00065036","SPF00065036",NA,"isotype","12577","auto",NA,NA,NA
"5","2014-10-09 13:58:28-03","UHH","HBG","501219","S","Plantae",NA,NA,"Orchidaceae","Habenaria","piraquarensis","Habenaria piraquarensis","Hoehne",NA,"Hatschbach, G.","2246",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"HBG501219",NA,NA,"Isotype",NA,NA,NA,NA,NA
"6","2019-11-21 10:13:27-03","IBt","SP","55382","S","Plantae",NA,NA,"Orchidaceae","Habenaria","piraquarensis","Habenaria piraquarensis","Hoehne","Hoehne, FC","Hatschbach, G","2246","1951","04","22",NA,"Brasil","Paraná","Piraquara","Estrada da Graciosa, Alto da Serra","-49.0633010864258","-25.4416999816895",NA,"Terrestre, flor verde, da mata higrófila","SP002159","SP002159","1952","Holotype","12577","auto",NA,NA,NA
"7","2019-11-22 14:49:03-03","GH","HU-HERB","GH 01946184","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","piraquarensis","Habenaria piraquarensis","Hoehne",NA,"G. G. Hatschbach & O. Guimaràes","16057","1957","2","24","South America","Brazil","Paraná",NA,"Parque Vila Velha",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,"16057","undetermined"
