"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"870","2008-05-27 22:02:00-03","MO","MOBOT","1531429","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Michael H. Nee","Nee 39244",NA,NA,NA,"South America","Bolivia","Santa Cruz","Within the Flora de la Region del Parque Nacional Amboro, but above the 700 m contour","-63.95","-18.10833",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","M. Atachuachi B. (FHO)",NA,"475.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871","2014-08-22 10:35:00-03","MO","MOBOT","1580072","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Elsa M. Zardini|A. Acosta","Zardini 56092","2001","2","27","South America","Paraguay","Amambay","Around Cerro Corá.","-55.9883333","-22.6647222",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","M. Morales (BAB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1228","4",NA
"872","2014-08-22 10:35:00-03","MO","MOBOT","1580099","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Elsa M. Zardini|A. Acosta","Zardini 56119","2001","2","27","South America","Paraguay","Amambay","Around Cerro Corá.","-55.9883333","-22.6647222",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","M. Morales (BAB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1228","4",NA
"873","2010-11-13 05:20:00-02","MO","MOBOT","2221953","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Fátima Mereles","Mereles H. 5876","1995","3","21","South America","Paraguay","Boquerón","Campo Loa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","2014-04-29 05:39:00-03","MO","MOBOT","2427012","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Renée H. Fortunato|J.A. Greppi|Robert Neumann|Ricardo Micheli","Fortunato 7106","2001","3","12","South America","Argentina","Salta","12 km al S de Orán, por RN 50.","-64.33333","-23.16666",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","imosa xanthocentra subsp. subsericea (Benth.) Barn. var. subsericea","Orán","300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"875","2011-03-01 23:28:00-03","MO","MOBOT","2923584","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Maria M. Arbo|G.I. Lavia|M.G. Pellegrini|R. Beron","Arbo 6117","1993","11","26","South America","Paraguay","Misiones","7 km. E de San Ignacio, camino a Santa Rosa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Fortunato",NA,"0E8","100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876","2013-01-28 05:13:00-02","MO","MOBOT","935482","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","René Guillén V.|R. Choré","Guillén Villarroel 1397","1994","5","19","South America","Bolivia","Santa Cruz","Campamento EL REFUGIO a 6.5 km al este de la casa yendo hacia la serranía de Caparuch. En una pampa sartenejal.","-61.0047222","-14.7386111",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Velasco","150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"877","2013-02-13 05:33:00-02","MO","MOBOT","936624","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Bonifacio Mostacedo C.|Mario Saldias P.|René Guillén V.|E. Gutiérrez|Luzmila Arroyo P.","Mostacedo C. 942","1993","8","27","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado. Los Fierros  La Pampa. Vegetación cerrada. Presencia de piedras. Suelo arcilloso-limoso, Relieve plano.","-61.7166667","-14.6333333",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Velasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"878","2012-01-09 15:54:00-02","MO","MOBOT","940201","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Bonifacio Mostacedo C.|Luzmila Arroyo P.|S. Cabrera|H. Gonzáles|Juan Surubí","Mostacedo C. 1705","1994","5","12","South America","Bolivia","Santa Cruz","Parque Nacionl Noel Kempff M. Meseta de Caparuch. 1,5 km de la pista Noel Kempff M. Vegetación cerrado alto, ecotono entre bosque alto y sabana arbolada (cerrado abierto). Pendiente plana con relieve uniforme. suelo rojizo, arcillo arenoso.","-60.8144444","-13.9061111",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Velasco","190.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"879","2013-02-13 05:33:00-02","MO","MOBOT","941548","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Mario Saldias P.|Bonifacio Mostacedo C.|Luzmila Arroyo P.|René Guillén V.|E. Gutiérrez|G. Zapata","Saldias Paz 2961","1993","7","3","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado. 1 km S del desvio de los caminos hacia Pisofirme y el aserradero Moira. Vegetacion sobre lajas, en bosque deciduo.","-61.4925","-14.6058333",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Velasco","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"880","2012-01-31 12:14:00-02","MO","MOBOT","942290","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Timothy J. Killeen|Jean Wellens","Killeen 6294","1994","5","12","South America","Bolivia","Santa Cruz","Reserva Forestal Bajo Paraguá, Cerro Pensamiento, 10 km al S del aserradero Cerro Pelao. Laja granítica grande (inselberg), con bosque seco por el cumbre y por un lado, lo demas totalmente desnuda de vegetatcion.","-61.5","-14.5388889",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Velasco","250.00000000","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"881","2013-02-13 05:33:00-02","MO","MOBOT","942441","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","René Guillén V.|Mario Saldias P.|Antony Jardim|E. Conde","Guillén Villarroel 1099","1994","3","22","South America","Bolivia","Santa Cruz","Cerron Pelao. En una ladera de exposición Sudeste. Bosque semideciduo. Suelos superficiales con afloramiento de roca.","-61.4922222","-14.5316667",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Velasco","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"882","2013-01-28 05:13:00-02","MO","MOBOT","965830","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","René Guillén V.|V. Roca","Guillén Villarroel 2981","1995","1","23","South America","Bolivia","Santa Cruz","Reserva Ecológica El Refugio; a 5 km al NO del campamento, siguiendo el camino que va al campamento Los Fierros, en el Petrero 1, dominado por gramíneas y árboles concentrados en termiteros (pampa termitera).","-61.02","-14.7433333",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Velasco","150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"883","2012-01-09 15:59:00-02","MO","MOBOT","1091811","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Timothy J. Killeen|M. Toledo G.","Killeen 8051","1996","5","5","South America","Bolivia","Santa Cruz","Empresa Santa Clara; camino a San Matias.","-59.6966666","-17.2983333",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Chiquitos","300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"884","2012-03-18 05:12:00-03","MO","MOBOT","1153620","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Antony Jardim|Fabiana Mamani M.","Jardim 3672","1996","11","12","South America","Bolivia","Santa Cruz","Provincia Chiquitos 15 km al Este de Roboré yendo hacia Santiago de Chiquitos. Laja granítica con Vellozia, Norantea, Terminalia argentea, Bredemeyera, Syagrus, Dykia y Tillandsia.","-59.633889","-18.407222",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","Carolina Romero (MO)","Chiquitos","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"885","2012-04-12 05:10:00-03","MO","MOBOT","1322898","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Alfredo F. Fuentes|et al.","Fuentes Claros 692","1995","5","17","South America","Bolivia","Santa Cruz","Arenales de Guanacos, al NW del Isoso. Complejo chaqueño de arenales con Schinopsis cornuta, Senna chloroclada y Aristida mendocina.","-63.1","-18.816667",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","M. Atahuachi B. (FHO)","Cordillera","340.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"886","2014-08-23 05:35:00-03","MO","MOBOT","2919918","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 26646","1970","2","29","South America","Brazil","Distrito Federal","Cerrado, ca. 2 km E. of Lago Paranoá, DF-6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby",NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","2014-08-23 05:35:00-03","MO","MOBOT","2920024","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 26684","1970","2","27","South America","Brazil","Distrito Federal","Cerrado ca. 1 km. N. of Barragem Paranoá, DF-9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby",NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888","2014-08-23 05:35:00-03","MO","MOBOT","2920163","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 24055","1969","3","8","South America","Brazil","Goiás","Mun. Chapada dos Veadeiros:Gallery and adjecanet cerrado, ca. 10 km. south of Cavalcante.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby",NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","2011-11-08 05:06:00-02","MO","MOBOT","2920279","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Gert G. Hatschbach|Ricardo Callejas","Hatschbach 47270","1983","12","15","South America","Paraguay",NA,"Fda. El Buracon: 30 km. O de Pedro Juan Cabalero.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","2008-05-27 22:02:00-03","MO","MOBOT","2920450","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Steven Ginzbarg","Ginzbarg 547","1985","2","15","South America","Paraguay","Amambay","Pq. Nac. Cerro Corá: Cerro Tuya og, 2 km al SO de Ruta 5. Campo abierto bajo la cumbre del serro al lado S. En arenisca.","-56.01666","-22.66666",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","2020-05-19 16:34:00-03","MO","MOBOT","2922698","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","J.B.E. Pohl","Pohl 1405",NA,NA,NA,"South America","Brazil",NA,"Ad [..orgo] do..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby",NA,NA,NA,NA,NA,"Lectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"892","2008-05-27 22:02:00-03","MO","MOBOT","2923523","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Timothy J. Killeen","Killeen 1611","1986","1","14","South America","Bolivia","Santa Cruz","Est. San Josecito: 8 km. NW of Concepción.","-62.08333","-16.5",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby","Nuflo de Chavez","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
