"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","occurrenceRemarks","barcode","imagecode","continentOcean","fieldNumber","preparationType","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","class","order"
"1","2015-07-02 14:02:47-03","JBP","HPL","5027","S","Plantae","Marantaceae","Calathea","cardiophylla","Calathea cardiophylla","K. Schum","V.L.C.R. Uliana & S. Vieira","2001","10","01","E.R. Salviani & H. Lorenzi","475","1999","08","21","Brasil","ES","São Gabriel da Palha","Coletada nas proximidades da cidade.","-40.5356","-19.0175","24907","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-12 12:52:36-03","UNICAMP","UEC","207268","S","Plantae","Marantaceae","Goeppertia","kegeljani","Goeppertia kegeljani","(É.Morren) Saka","Campos-Rocha, A",NA,NA,NA,"Campos-Rocha, A","559","2010","10","01","Brazil","São Paulo","Nova Odessa","em cultivo no Jardim Botânico Plantarum","-47.2900009155273","-22.7700004577637","8440","auto","Liliopsida","Herbácea ca. 50 cm altura, brácteas verde-arroxeadas, flores alvas (sépalas esverdeadas)","UEC173748","UEC173748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:33:48-03","MBM","MBM","155292","PreservedSpecimen","Plantae","Marantaceae","Calathea","cardiophylla","Calathea cardiophylla","K. Schum.","Vieira, S.","2010","06","14","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58055","1992","10","14","Brazil","Espírito Santo","São Mateus","Ligação Rod. BR 101 a Ponta do Ipiranga","-39.8588981628418","-18.716100692749","56510","auto",NA,"Flor alva, mata de mussununga","MBM155292","MBM155292","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-03 20:49:27-03","MNHN","RECOLNAT_MNHN_P","P02199267","PreservedSpecimen",NA,"Marantaceae","Goeppertia","bella","Goeppertia bella","(W.Bull) Borchs. & S.Suárez","Saka",NA,NA,NA,"Glaziou, A.",NA,"1882","10","27","Brésil","Rio de Janeiro",NA,"Quinta de São Cristovão : plante cultivée venue de Pernambuco",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199267' target='other'> <mi>dwc_moreinfo</mi></a>","P02199267","P02199267_01 P02199267_02",NA,"17815","hb",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-01-11 17:15:38-02","MNHN","RECOLNAT_MNHN_P","P02202888","PreservedSpecimen",NA,"Marantaceae","Goeppertia","bella","Goeppertia bella","(W.Bull) Borchs. & S.Suárez","Saka",NA,NA,NA,"Glaziou, A.",NA,"1882","10","27","Brésil","Rio de Janeiro",NA,"Quinta de São Cristovão : plante cultivée venue de Pernambuco",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02202888' target='other'> <mi>dwc_moreinfo</mi></a>","P02202888","P02202888_01 P02202888_02",NA,"17815","hb",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-05 12:31:20-03","MNHN","RECOLNAT_MNHN_P","P06233089","PreservedSpecimen",NA,"Marantaceae","Goeppertia","bella","Goeppertia bella","(W.Bull) Borchs. & S.Suárez","Saka",NA,NA,NA,"Glaziou, A.",NA,"1888","9","28","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06233089' target='other'> <mi>dwc_moreinfo</mi></a>","P06233089","P06233089_01",NA,"18541","hb",NA,NA,NA,NA,NA,NA,NA,NA
"7","2013-08-12 07:36:00-03","MO","MOBOT","3063601","PreservedSpecimen","Plantae","Marantaceae","Calathea","cardiophylla","Calathea cardiophylla","K. Schum.","H. Kennedy (UCR)",NA,NA,NA,"Auguste F.M. Glaziou","Glaziou 18541","1861",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"8","2009-07-27 09:32:00-03","MO","MOBOT","3063709","PreservedSpecimen","Plantae","Marantaceae","Calathea","cardiophylla","Calathea cardiophylla","K. Schum.",NA,NA,NA,NA,"Auguste F.M. Glaziou","Glaziou 14326","1861",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-07-27 09:32:00-03","MO","MOBOT","3063811","PreservedSpecimen","Plantae","Marantaceae","Calathea","cardiophylla","Calathea cardiophylla","K. Schum.",NA,NA,NA,NA,"Auguste F.M. Glaziou","Glaziou 14326","1861",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-02-21 09:34:02-03","UNIOESTE","UNOP","6491","S","Plantae","Marantaceae","Goeppertia","kegeljani","Goeppertia kegeljani","(É.Morren) Saka","Vieira, S.","2010","06","17","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58055",NA,NA,NA,"Brasil","Espírito Santo","São Mateus do Sul","Liggaçao Rod .Br 101 a Ponta do Ipiranga .",NA,NA,NA,NA,NA,"Flor alva, mata de mussununga.",NA,NA,NA,NA,NA,NA,"10","20",NA,NA,NA,NA,NA
