"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","locality","identifiedBy","relatedCatalogItem","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02686737","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","G. G. Hatschbach","49281","1985","03","18","South America","Brazil","Mato Grosso do Sul","Porto Murtinho","-57.8824996948242","-21.6989002227783","185577","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2959710' target='other'> <mi>dwc_moreinfo</mi></a>","NY02686737","NY02686737_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02686738","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","G. G. Hatschbach","49281","1985","03","18","South America","Brazil","Mato Grosso do Sul","Porto Murtinho","-57.8824996948242","-21.6989002227783","185577","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2959712' target='other'> <mi>dwc_moreinfo</mi></a>","NY02686738","NY02686738_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:10:30-03","NBC","NL-BOTANY","L.2042570","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens","Benth.","Dombey J",NA,NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2042570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2042570","NL-L2042570",NA,"Magnoliopsidae","Perou.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:10:30-03","NBC","NL-BOTANY","L.2042571","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens","Benth.","Fiebrig K",NA,"1903","02","20","Southern America","Paraguay",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2042571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2042571","NL-L2042571",NA,"Magnoliopsidae","Plantae paraguayenses. Paraguary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312293","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens","Benth.","Woolston AL",NA,"1956","10","08","Southern America","Paraguay",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312293 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312293","NL-U1312293",NA,"Magnoliopsidae","Depto. San Pedro, Alto Paraguay: Primavera.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312302","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens","Benth.","Seijo G",NA,"2001","12","29","Southern America","Argentina","Chaco",NA,NA,NA,NA,NA,"En suelo arenoso.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312302","NL-U1312302",NA,"Magnoliopsidae","Argentina, Chaco, Colonia Benitez.","Seijo G","U 0246888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312303","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens","Benth.","Seijo G",NA,"2001","12","29","Southern America","Argentina","Chaco",NA,NA,NA,NA,NA,"En suelo arenoso.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312303","NL-U1312303",NA,"Magnoliopsidae","Argentina, Chaco, Colonia Benitez.","Seijo G","U 0246889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312304","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens","Benth.","Bresky A; Radovancich A",NA,"1988","12","15","Southern America","Argentina","Corrientes",NA,NA,NA,NA,NA,"Postrero sin pastoreo.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312304","NL-U1312304",NA,"Magnoliopsidae","Argentina, Corrientes, Dep. Berón de Astrada. Colonia Yahapé, Ea. Doña Marina, Km 1151/53","Vanni RO","U 0253710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312305","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens pubescens",NA,"Schreiter R",NA,"1925","11","21","Southern America","Argentina","Tucumán",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312305 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312305","NL-U1312305",NA,"Magnoliopsidae","Tucuman, Cruz Alta. Estación Araoz.","Windler DR","U 0253707","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312306","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens pubescens",NA,"Schreiter R",NA,"1925","11","21","Southern America","Argentina","Tucumán",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312306 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312306","NL-U1312306",NA,"Magnoliopsidae","Tucuman, Cruz Alta. Estación Araoz.","Windler DR","U 0253708","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
