"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:41-03","UNESC","CRI","10217","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tomentosa","Myrcia tomentosa","(Aubl.) DC.","J. Cordeiro","A.R. Silva; E.L. Siqueira","464","2007","10","11","Brasil","Minas Gerais","Boa Esperança","Fazenda Caxambu (Estrada Boa Esperança - Coqueiral, KM 15).","-45.566111","-21.090556","45º33'58''W","21º5'26''S","818","818","Habito: árvore heliófita","CRI005321","CRI005321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","285740","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","curatellifolia","Myrcia curatellifolia",NA,NA,"Gardner, George","1015","1905","01","10","BR","Goias",NA,"Pernambuco.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285740 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285740",NA,"syntype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:297141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","55549","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","lanuginosa","Myrcia lanuginosa",NA,NA,"Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca & Lima, E. de S.",NA,"1997","08","30","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00055549 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055549",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:62329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","104503","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","lanuginosa","Myrcia lanuginosa",NA,NA,"Ratter, J.A. & Filho, J. Fonsêca",NA,"1998","08","20","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00104503 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104503",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:113717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","232300","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","lanuginosa","Myrcia lanuginosa",NA,NA,"Ratter, J.A. & Filho, J. Fonsêca",NA,"1998","08","20","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00232300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232300",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:244201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:54-03","E","E","55472","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","lanuginosa","Myrcia lanuginosa",NA,NA,"Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca & Lima, E. de S.",NA,"1997","08","30","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00055472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055472",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:62052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:54-03","E","E","83694","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","piauhiensis","Myrcia piauhiensis",NA,NA,"Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1527","1996","09","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083694",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:92618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:54-03","E","E","207007","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","piauhiensis","Myrcia piauhiensis",NA,NA,"Munhoz, C., Farais, R., Cardoso Rosa, L.O., de Carvalho, V.M., Potzernheim, M.L. & Milhomens Fonseca, L.","1989","1998","09","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00207007 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00207007",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:54-03","E","E","161288","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tomentosa","Myrcia tomentosa",NA,NA,"Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161288",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:168666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:54-03","E","E","202936","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","tomentosa","Myrcia tomentosa",NA,NA,"Proença, C.","1894","1997","11","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202936",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
