"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","relationshipType","individualCount","fieldNumber","infraspecificEpithet"
"1","2020-09-23 10:44:05-03","E","E","334845","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","exigua","Hydrocotyle exigua","Petersen, Troels M.","2975","1954","11","08","Temperate South America","AR","Provincia de Corrientes","Dep. Mburucuyá; Estancia Santa Maria","herbarium specimen of unspecif","BGBASE:361841","<a href=http://data.rbge.org.uk/herb/E00334845 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617732","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","B. Rambo","34751","1947","01","10","South America","Brazil","Rio Grande do Sul","Fazenda B. Velho","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617732","Magnoliophyta","Apiales","(Urb.) Malme","Bom Jesus","-50.388347","-28.558459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617729","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","L. B. Smith","12866","1964","10","23","South America","Brazil","Santa Catarina","North bank of Rio Chapeco at Abelardo Luz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617729","Magnoliophyta","Apiales","(Urb.) Malme","Abelardo Luz","-52.33","-26.58","M. E. Mathias; L. Constance","900","1000","NY00617729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 18:11:00-03","NY","NYBG","617731","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","T. M. Pedersen","9297","1969","11","14","South America","Paraguay","Paraguarí","Chololó","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617731","Magnoliophyta","Apiales",NA,NA,NA,NA,"T. M. Pedersen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 18:11:00-03","NY","NYBG","617734","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","E. L. Ekman","1580","1907","11","11","South America","Argentina","Misiones","La Granja","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617734","Magnoliophyta","Apiales",NA,"Posadas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 18:11:00-03","NY","NYBG","617730","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","T. M. Pedersen","13427","1982","10","11","South America","Argentina","Corrientes","Villanueva (near the cemetary)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617730","Magnoliophyta","Apiales",NA,"General Paz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617733","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","J. E. Leite","216","1940","08",NA,"South America","Brazil","Rio Grande do Sul","Vicinity of Sao Leopoldo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617733","Magnoliophyta","Apiales","(Urb.) Malme",NA,"-51.143791","-29.75136",NA,NA,NA,"NY00617733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-10-27 11:21:59-03","PUCPR","HUCP","636","S","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","Brandalise","s.n.","1983","11","07",NA,"Brasil","Paraná","Avenida das Torres",NA,NA,NA,"HUCP00005018","Eudicotiledonea",NA,"(Urban.) Malme.","Curitiba","-49.2731018066406","-25.4277992248535","Sasaoka, SK",NA,NA,"HUCP00005018","1983","11","07","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:24:43-03","PUCPR","HUCP","637","S","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua",NA,"s.n.",NA,NA,NA,NA,"Brasil","Paraná","Politécnico",NA,NA,NA,"HUCP00005173","Eudicotiledonea",NA,"(Urban.) Malme.","Curitiba","-49.2731018066406","-25.4277992248535","Sasaoka, SK",NA,NA,"HUCP00005173","1983","11","11","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:43:56-03","NBC","NL-BOTANY","L.2583797","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","exigua","Hydrocotyle exigua","Pedersen TM",NA,"1969","11","14","Southern America","Paraguay",NA,"Chololó. Dep. Paraguarí.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2583797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2583797",NA,"Apiales","Malme",NA,NA,NA,NA,NA,NA,"NL-L2583797",NA,NA,NA,NA,NA,"Magnoliopsidae","L 0941836",NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:43:56-03","NBC","NL-BOTANY","L.4220572","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","exigua","Hydrocotyle exigua","Pedersen TM",NA,"1986","10","29","Southern America","Brazil",NA,"Mato Grosso, do Sul Ponta Pora: Sanga puita.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4220572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4220572",NA,"Apiales","Malme",NA,NA,NA,NA,NA,NA,"NL-L4220572",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:43:56-03","NBC","NL-BOTANY","L.4222347","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","exigua","Hydrocotyle exigua","Pedersen TM",NA,"1982","10","11","Southern America","Argentina",NA,"Dep. General Paz Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222347",NA,"Apiales","Malme",NA,NA,NA,NA,NA,NA,"NL-L4222347",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:43:56-03","NBC","NL-BOTANY","U.1077830","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","exigua","Hydrocotyle exigua","Pedersen TM",NA,"1951","01","29","Southern America","Argentina",NA,"Argentina. Estancia ''Garruchos''. Dept. Santo Tomé. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077830",NA,"Apiales","Malme",NA,NA,NA,NA,NA,NA,"NL-U1077830",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:43:56-03","NBC","NL-BOTANY","WAG.1183473","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","exigua","Hydrocotyle exigua","Pedersen TM",NA,"1982","10","11","Southern America","Argentina",NA,"Dep. General Paz Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1183473 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1183473",NA,"Apiales","Malme",NA,NA,NA,NA,NA,NA,"NL-WAG1183473",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:00:29-03","ESALQ","ESA","37616","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","Chung, F.; Matos, J.; Schmidt, M.; Gandara, F.; Ivanauskas, N.M.; Vanini, A.; Souza, J.P.; Souza, V.C.; Tamashiro, J.Y.; Rodrigues, R.R.","127.0","1997","12","13",NA,"Brasil","São Paulo","Estrada do Pinhalzinho/11 Km de Bom Sucesso. Floresta Ombrófila Mista/Floresta de Araucária",NA,NA,"Rasteira, flor branco e fruto verde","ESA037616","Magnoliophyta",NA,"(Urb.) Malme","Apiaí","-490.438","-242.007","Silveira, M.F.",NA,NA,"ESA037616",NA,NA,NA,NA,NA,NA,NA,"-490,438","-242,007",NA,NA,NA,NA
"16","2020-11-04 11:00:29-03","ESALQ","ESA","28018","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","Souza, V.C.; Rodrigues, R.R.; Souza, J.P.; Sanches, I.D.; Astorino, A.; Magossi, R.; Petrini, M.; Tavares Jr., J.E.","11208.0","1996","06","01",NA,"Brasil","São Paulo","Estrada em torno da Represa Atibainha. 23*08'33,4S, 46*21'28,4W. 800 m.s.m. Mata mesófila semidecídua.",NA,NA,"Rastejante; flores v erdes com ápice vermelho. Beira de mata.","ESA028018","Magnoliophyta",NA,"(Urb.) Malme","Nazaré Paulista","-46.3899993896484","-23.1800003051758","Silveira, M.F.","800","800","ESA028018",NA,NA,NA,"18850","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:00:29-03","ESALQ","ESA","30992","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","Souza, V.C. et al.","10495.0","1996","01","25",NA,"Brasil","São Paulo",NA,NA,NA,NA,"ESA030992","Magnoliophyta",NA,"(Urb.) Malme","Itararé","-49.3400001525879","-24.1100006103516","Silveira, M.F.",NA,NA,"ESA030992",NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-13 18:08:17-03","FPS","FPS","4811","MachineObservation","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","Schwirkowski, P.","4236","2020","09","13",NA,"Brasil","Santa Catarina","Rio Vermelho",NA,NA,"<ll>dwc_commonname:</ll> Erva-capitão-miúda, erva-capitão","FPS04811",NA,NA,"(Urb.) Malme","São Bento do Sul","-49.325746","-26.288813","Schwirkowski, P.",NA,NA,"FPS04811_v01 FPS04811_v02 FPS04811_v03 FPS04811_v04","2020","09","13",NA,NA,NA,NA,"-49.325746","-26.288813",NA,NA,NA,NA
"19","2019-12-19 08:15:06-03","FPS","FPS","3535","MachineObservation","Plantae","Araliaceae","Hydrocotyle","exigua","Hydrocotyle exigua","Schwirkowski, P.","2961","2018","08","04",NA,"Brasil","Santa Catarina","Estrada para o Turvo. Em fragmento de FOM Altomontana.",NA,NA,"<ll>dwc_commonname:</ll> Erva-capitão-miúda","FPS03535,FURB61082",NA,NA,"(Urb.) Malme","Campo Alegre","-49.245498","-26.221841","Nery, E.K.",NA,NA,"FPS03535_v01 FPS03535_v02 FPS03535_v03 FPS03535_v04 FPS03535_v05 FURB61082","2018","08","06",NA,NA,NA,"FURB 61082","-49.245498","-26.221841","voucher",NA,NA,NA
"20","2019-08-27 13:33:50-03","IAP","PACA-AGP","41707","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","exigua","Hydrocotyle exigua","Rambo, B.",NA,"1949","05","25",NA,"Brasil","RS",NA,NA,NA,"fl. Habitat: in umbrosis Fenofase: flor","PACA041707","Magnoliophyta","Umbellales","(Urb.) Malme","Schwabenschneis",NA,NA,"Emrich-Rambo",NA,NA,NA,"1954","09","25",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA
