"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","617065","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","amplexicaule","Psidium amplexicaule","Pers.","C. E. B. Proença","A. M. V. de Carvalho","707","1981","05","23","South America","Brazil","Bahia","Salvador","Ca. 30 km a N do centro da cidade. Estrada para o aeroporto. Arredores de Itapua","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617065","NY00617065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:21:18-03","UFBA","ALCB","19331","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","lealcostae","Marlierea lealcostae","G.M. Barroso & Peixoto","Barroso, GM","Costa, AL","37","1969","11","30","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapuã","-38.5","-12.966667",NA,NA,"ALCB000115","ALCB000115","1992","04","parátipo","-38.5","-12.966667",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:21:18-03","UFBA","ALCB","017940","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","lealcostae","Marlierea lealcostae","G.M. Barroso & Peixoto","Barroso, GM","Xavier, L; Carvalhal, I; Pereira, J","s/n","1985","09","24","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas abertas sobre o Parque de Exposiçäes","-38.510799407959","-12.9710998535156",NA,"muitas flores e frutos.","ALCB000117","ALCB000117","1992","04","parátipo",NA,NA,"26018","auto",NA,NA,NA,NA
"4","2019-10-09 11:21:18-03","UFBA","ALCB","04611","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","lealcostae","Marlierea lealcostae","G.M. Barroso & Peixoto","Barroso, GM","Costa, AL","519","1959","09",NA,"Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapuã","-38.510799407959","-12.9710998535156",NA,NA,"ALCB054810","ALCB054810","1992","04","parátipo",NA,NA,"26018","auto",NA,NA,NA,NA
"5","2019-10-09 11:21:18-03","UFBA","ALCB","03038","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","lealcostae","Marlierea lealcostae","G.M. Barroso & Peixoto","Barroso, GM","Costa, AL; Santana, W","s/n","1974","10","20","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas entre o aeroporto e Stella Mares","-38.510799407959","-12.9710998535156",NA,NA,"ALCB000116","ALCB000116","1992","04","holotipo",NA,NA,"26018","auto","22",NA,NA,NA
"6","2019-10-09 11:21:42-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","amplexicaule","Psidium amplexicaule",NA,"Queiroz, EP","Queiroz, EP","1384","2006","01","25","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Stella Mares","-38.283333","-12.516667",NA,"1m. Folhas subcoriáceas, glabras, discolores. Frutos verdes.",NA,NA,"2008","07",NA,"-38.283333","-12.516667",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:21:42-03","UFBA","ALCB","71394","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","amplexicaule","Psidium amplexicaule",NA,"Queiroz, EP","Queiroz, EP","1384","2006","01","25","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Stella Mares","-38.283333","-12.516667",NA,"1m. Folhas subcoriáceas, glabras, discolores. Frutos verdes.","ALCB060595",NA,"2008","07",NA,"-38.283333","-12.516667",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:42-03","UFBA","ALCB","71394","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","amplexicaule","Psidium amplexicaule",NA,"Queiroz, EP","Queiroz, EP","1384","2006","01","25","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Stella Mares","-38.283333","-12.516667",NA,"1m. Folhas subcoriáceas, glabras, discolores. Frutos verdes.",NA,NA,"2008","07",NA,"-38.283333","-12.516667",NA,NA,NA,NA,NA,NA
"9","2020-06-09 13:34:34-03","UFBA","ALCB","26267","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","amplexicaule","Psidium amplexicaule","Persoon","Landrum, L","Guedes, ML","s/n","1992","09","12","Southern America","Brasil","Bahia","Camaçari","Conj. Jaguaripe","-38.316667","-12.683333",NA,"Ca. 1 m de altura. Folhas semicrassas. Floras alvas.","ALCB060594",NA,"2011",NA,"holotipo","-38.316667","-12.683333",NA,NA,NA,NA,NA,NA
"10","2020-06-09 13:34:34-03","UFBA","ALCB","25000","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","amplexicaule","Psidium amplexicaule","Persoon","Landrum, L","Guedes, ML","s/n","1992","09","12","Southern America","Brasil","Bahia","Camaçari","Após Tibrás","-38.3241996765137","-12.6975002288818",NA,"Ca. 1,5 m de altura. Folhas semicrassas. Botões de cor verde. Folhas alvas vistosas.","ALCB060597",NA,"2011",NA,"holotipo",NA,NA,"37124","auto",NA,NA,NA,NA
