"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","3970","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.","J. A. Jarenkow","J. A. Jarenkow","1989","02","20","Brasil","Santa Catarina","Porto Belo","Praia de Bombas.","-48.553333","-27.158333","48º33'12''W","27º9'30''S","Habito: arbórea","CRI006501","CRI006501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:16-03","E","E","180482","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa",NA,NA,"Ponce, Susana","2002","02","04","PE","Departamento Tumbes","Provincia Zarumilla","A 10 m. del Puesto de Control El Algarrobo del Santuario Nacional Los Manglares de Tumbes.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00180482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180482",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:173112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01081452","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.","G. G. Hatschbach","G. G. Hatschbach","1998","11","19","Brazil","Paraná","Antonina","Pinheirinho","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226292' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081452","NY01081452_01","South America","sheet",NA,"Magnoliophyta","Myrtales","68870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565803","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.","C. A. Stace","B. Luschnath","1841",NA,NA,"Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565803","NY00565803_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","565680","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.","G. G. Hatschbach","G. G. Hatschbach","1977","03","03","Brazil","Paraná","Antonina","Ilha do Barbosa","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565680","NY00565680_01","South America","sheet",NA,"Magnoliophyta","Myrtales","39779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00042782","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.","G. Davidse","S. Tiwari","1991","10","18","Guyana",NA,NA,"Pomeroon. Kabakaburi",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1657835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00042782",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","458","1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01025783","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.",NA,"B. V. Rabelo","1979","11","05","Brazil","Amapá",NA,"Cidade do Amapá.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2498068' target='other'> <mi>dwc_moreinfo</mi></a>","NY01025783","NY01025783_01","South America","sheet",NA,"Magnoliophyta","Myrtales","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","565683","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.",NA,"K. Kubitzki","1981","02","21","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.992538","-25.197304",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565683","NY00565683_01","South America","sheet",NA,"Magnoliophyta","Myrtales","81-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565667","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa","(L.) C.F.Gaertn.",NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565667","NY00565667_01","South America","sheet",NA,"Magnoliophyta","Myrtales","532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 07:52:00-03","NY","NYBG","565685","PreservedSpecimen","Plantae","Combretaceae","Laguncularia","racemosa","Laguncularia racemosa",NA,"C. A. Stace","W. J. Hahn","1988","12","05","Guyana",NA,NA,"Region: Demerara-Mahaica. Georgetown","-58.17","6.83",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565685",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","4807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
