"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","944960","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","B. A. Krukoff","H. S. Irwin","31894","1971","03","16","South America","Brazil","Goiás","São João d'Aliança","Serra Geral do Paraná, ca. 3 km S.of São João de Aliança, near Riacho","-47.5333","-14.72711","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944960","NY00944960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","944962","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","R. C. Barneby","L. Riedel","1972","1834","11","06","South America","Brazil",NA,NA,"St. Luzia.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944962","NY00944962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018474","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","D. Sasaki","D. Sasaki","797","2003","11","01","South America","Brazil","São Paulo","Pedregulho","Estreito. Usina de Estreito (Acampamento de Estreito)","-47.2772","-20.1578","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259812' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018474","NY01018474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","297415","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","B. A. Krukoff",NA,"11441",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","Collector: Lund <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297415","NY00297415_01","not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","944959","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"H. S. Irwin","19481","1968","02","03","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, ca. 25 km West of Brasília.","-48.05","-16.03","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944959","NY00944959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","944961","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","B. A. Krukoff","B. Maguire","57122","1963","10","18","South America","Brazil","Distrito Federal","Brasília","Parque do Gama.","-48.05","-16.03",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944961","NY00944961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02144978","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"V. C. Souza","32937","2007","02","21","South America","Brazil","Minas Gerais","Santana do Pirapama","Serra do Cipó. (Serra da Lapa). Distrito de São José da Cachoeira. Estrada Santana do Riacho - Santa do Pirapama. Trilha do Cruzeiro.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290879' target='other'> <mi>dwc_moreinfo</mi></a>","NY02144978","NY02144978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","590422","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","O. Handro","M. A. Pereira","s.n.","1955","02","11","South America","Brazil","São Paulo","Descalvado",NA,"-47.61","-21.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590422","NY00590422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","25802","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Campos, C.J.","Amaral Jr., A.","33","2007","10","17",NA,"Brasil","São Paulo","Pratânia",NA,NA,NA,NA,NA,NA,"Trepadeira lenhosa, presença de gavinhas no formato de foice","BOTU025802",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:09:09-03","UNESP-IBB","BOTU","14596","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Amaral Jr., A.","867","1986","04","01",NA,"Brasil","São Paulo","Botucatu",NA,"-48.284722","-22.8",NA,NA,NA,"Trepadeira (cipó), flores sem corola, ovário e estígmas verdes","BOTU014596",NA,NA,"48°17'5w","22°48's",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","19162","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Campos, C.J.","Amaral Jr., A.","45","2008","08","12",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Liana, presença de gavinhas em forma de foice saido da axila foliar, sem material reprodutivo","BOTU019162",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:43:08-03","EAO","IAN","104793","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Magalhães, MG","9777","1957","11","02","Southern America","Brasil","Minas Gerais",NA,"Entre rochas na base da serra da Piedade, campo do chá, sujo florestal.",NA,NA,NA,NA,NA,"Cipó médio, material estéril.","IAN104793",NA,NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:43:08-03","EAO","IAN","131141","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Irwin, HS; Santos, RR dos","24015","1969","03","07","Southern America","Brasil","Minas Gerais","Chapada dos Veadeiros","Gallery. Brejo, cerrado and gallery woods, ca. 8km south of Cavalcante.",NA,NA,"1000","1000",NA,"Liana ca. 10m high. Corolla white.","IAN131141",NA,NA,NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:43:08-03","EAO","IAN","149246","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Anderson, WR","9873","1973","05","07","Southern America","Brasil","Mato Grosso",NA,"Ca. 5km N of Barra do Garça, south face of mountain; mesophytic woods and sandstone faces along stream and near water-fall, and cerrado on drier slopes above.",NA,NA,"500","500",NA,"Woody vine climbing by tendrils; fruit green; side of canyon above stream.","IAN149246",NA,NA,NA,NA,"1980",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:43:08-03","EAO","IAN","59034","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Pires, JM","2615","1950","07","11","Southern America","Brasil","São Paulo",NA,"Dois Córregos.",NA,NA,NA,NA,NA,"Cipó, não muito robusto.","IAN059034",NA,NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:43:08-03","EAO","IAN","90473","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Pereira, MA","s.n.","1955","02","11","Southern America","Brasil","São Paulo",NA,"Descalvado.",NA,NA,NA,NA,NA,NA,"IAN090473",NA,NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA
