"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","occurrenceRemarks","barcode","imagecode","fieldNumber","locality","preparationType","class","order","continentOcean","individualCount"
"1","2021-01-14 15:31:10-03","MN","R","11033","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer","Chautems, A.","1992","Glaziou, A.F.M.","19584","1891","11","21","Brasil","Rio de Janeiro","Plantas do Brasil Central","R000011033","R000011033_001",NA,NA,NA,NA,NA,NA,NA
"2","2015-09-04 12:12:12-03","MNHN","RECOLNAT_MNHN_P","P03511780","PreservedSpecimen",NA,"Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer","Chautems",NA,"Gaudichaud, C.",NA,NA,NA,NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511780' target='other'> <mi>dwc_moreinfo</mi></a>","P03511780","P03511780_01","434","Rio de Janeiro","hb",NA,NA,NA,NA
"3","2015-09-04 12:09:44-03","MNHN","RECOLNAT_MNHN_P","P04048637","PreservedSpecimen",NA,"Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer",NA,NA,"Glaziou",NA,"1891","11","21","Brasil","Rio de Janeiro","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04048637' target='other'> <mi>dwc_moreinfo</mi></a>","P04048637","P04048637_01","19584","Corcovado.","hb",NA,NA,NA,NA
"4","2015-09-04 12:09:44-03","MNHN","RECOLNAT_MNHN_P","P04048638","PreservedSpecimen",NA,"Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer",NA,NA,"Gaudichaud",NA,"1831","1","1","Brasil","Rio de Janeiro","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04048638' target='other'> <mi>dwc_moreinfo</mi></a>","P04048638","P04048638_01","434",NA,"hb",NA,NA,NA,NA
"5","2017-12-14 13:45:14-02","MNHN","RECOLNAT_MNHN_P","P04048639","PreservedSpecimen",NA,"Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer",NA,NA,"Houllet",NA,NA,NA,NA,"Brasil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04048639' target='other'> <mi>dwc_moreinfo</mi></a>","P04048639","P04048639_01",NA,NA,"hb",NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","86927","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer",NA,NA,"Wilkes Explor. Exped.","s.n.","1838",NA,NA,"Brazil","Rio de Janeiro",NA,"US00320803","US00320803_01",NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
"7","2020-09-12 05:00:02-03","US","US","2825100","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer",NA,NA,"D. Araujó & M. C. Vianna","926","1975","12","15","Brazil","Rio de Janeiro",NA,"US00320804","US00320804_01",NA,"Mun. of Rio de Janeiro, Parque Nacional da Tijuca, road from Encanamento",NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
"8","2020-09-12 05:00:02-03","US","US","3587389","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","lindleyi","Sinningia lindleyi","Schauer",NA,NA,"L. E. Skog & J. K. Boggan","7806","1997","8","11","Brazil",NA,NA,"US00993444","US00993444_01",NA,"Smithsonian Institution Dept. of Botany Research Greenhouses, Suitland, Maryland, U.S.A.",NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
