"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:25:47-03","UNESC","CRI","13809","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Anderson Kassner","2018","09","04","Alexandre Medeiros","1050","2018","09","04","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Inflorescência verde Habitat: Rupícola","CRI012420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00557382","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","M. Carvalho-Silva",NA,NA,NA,"E. P. Heringer","15281","1976","01","04","Brazil","Goiás","Caldas Novas","termas do Rio Quente, sopé da serra de caldas","-48.6247","-17.7419",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557382","Magnoliophyta","Piperales","South America","sheet","NY00557382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01021412","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","R. Callejas Posada",NA,NA,NA,"G. G. Hatschbach","38819","1976","07","11","Brazil","Goiás","Ipameri","Ipameri, 20 km. S.","-48.1594","-17.7219",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099333' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021412","Magnoliophyta","Piperales","South America","sheet","NY01021412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01021411","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"E. P. Heringer","17644","1979","11","20","Brazil","Goiás","Caldas Novas",NA,"-48.6247","-17.7419",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099331' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021411","Magnoliophyta","Piperales","South America","sheet","NY01021411_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00934938","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","M. Carvalho-Silva",NA,NA,NA,"S. P. Cordovil-Silva","722","1997","11","14","Brazil","Goiás","Corumbaíba","Córrego Libórea","-48.5614","-18.1425",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934938","Magnoliophyta","Piperales","South America","sheet","NY00934938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01021414","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","T. G. Yuncker",NA,NA,NA,"A. J. de Sampaio","7300","1934","03","17","Brazil","Minas Gerais","Belo Horizonte","Jardim Botanico.","-43.9378","-19.9208",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021414","Magnoliophyta","Piperales","South America","sheet","NY01021414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-05-17 10:21:00-03","NY","NYBG","02610081","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium",NA,NA,NA,NA,NA,"D. Monteiro","618","2012","03","08","Brazil","Espírito Santo","Ibitirama","Parna do Caparaó, mata da Cachoeira do Rio Calçado, entrando pela Tecnotruta.","-41.733056","-20.467778",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916874' target='other'> <mi>dwc_moreinfo</mi></a>","NY02610081","Magnoliophyta","Piperales","South America","sheet","NY02610081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01360421","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","R. Callejas Posada",NA,NA,NA,"G. T. Prance","5823","1968","07","10","Brazil","Rondônia",NA,"Basin of Rio Madeira. Km 216-219 Madeira-Mamoré railroad near Abunã","-65.2821538","-9.7949164",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776011' target='other'> <mi>dwc_moreinfo</mi></a>","NY01360421","Magnoliophyta","Piperales","South America","sheet","NY01360421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557380","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","T. G. Yuncker",NA,NA,NA,"G. G. Hatschbach","7148","1960","08","04","Brazil","Paraná","Tibagi","Fazenda Monte Alegre, Antas","-50.4133","-24.5094",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557380","Magnoliophyta","Piperales","South America","sheet","NY00557380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557381","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","T. G. Yuncker",NA,NA,NA,"L. B. Damazio","s.n.",NA,NA,NA,"Brazil",NA,NA,"Itacubuim",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557381","Magnoliophyta","Piperales","South America","sheet","NY00557381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
