"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","preparationType","barcode","imagecode","class","previousCatalogNumber","relatedCatalogItem","eventTime","fieldNumber","infraspecificEpithet","sex"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2404","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","schlechtendalii","Cestrum schlechtendalii","G.Don","Carlos A. Ferreira Jr.","2018","06","23","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandez, Fernando Araujo","CAF552","2012","07","12","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328","19º 02' 24S","43º 42' 06W","26557","1414","1414","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 07:49:00-03","NY","NYBG","138620","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","baenitzii","Cestrum baenitzii",NA,NA,NA,NA,NA,"M. Bang","1634","1892","12",NA,"Bolivia","La Paz","Franz Tamayo","Apolo","-68.4172","-14.72",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632422' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isolectotype","South America","sheet","NY00138620","NY00138620_01",NA,NA,NA,NA,NA,NA,NA
"3","2016-09-26 23:39:00-03","NY","NYBG","335574","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","baenitzii","Cestrum baenitzii",NA,NA,NA,NA,NA,"M. Bang","1634","1891",NA,NA,"Bolivia","La Paz","Franz Tamayo","Apolo","-68.4172","-14.72",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632420' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isosyntype","South America","sheet","NY00335574","NY00335574_01",NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 07:49:00-03","NY","NYBG","335575","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","baenitzii","Cestrum baenitzii",NA,NA,NA,NA,NA,"M. Bang","1634","1891",NA,NA,"Bolivia",NA,NA,"Bolivian Plateau",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632421' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isosyntype","South America","sheet","NY00335575","NY00335575_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","911163","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","coriaceum","Cestrum coriaceum","Miers","L. B. Smith; S. F. Smith",NA,NA,NA,"H. S. Irwin","8553","1965","09","22","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Brasília, on road to Paranoá","-47.77671","-15.7833",NA,NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991288' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00911163","NY00911163_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","911164","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","coriaceum","Cestrum coriaceum","Miers","L. B. Smith; S. F. Smith",NA,NA,NA,"H. S. Irwin","18310","1966","07","21","Brazil","Goiás","Planaltina","Near São Gabriel, ca. 50 km N. of Planaltina, on road to Veadeiros, Goiás.","-47.55","-15.23",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991295' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00911164","NY00911164_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01291227","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","coriaceum","Cestrum coriaceum","Miers",NA,NA,NA,NA,"C. L. Collenette","109","1927","06","18","Brazil","Mato Grosso","Cuiabá","Burity, N.E. of Cuyabá","-55.77825","-15.432",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2765138' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY01291227","NY01291227_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01291228","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","coriaceum","Cestrum coriaceum","Miers",NA,NA,NA,NA,"M. Macedo","1542","1980","06","08","Brazil","Mato Grosso do Sul",NA,"Cabeceira Grande, Bandeirante, Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2765141' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY01291228","NY01291228_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","138623","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","coriaceum","Cestrum coriaceum","Miers",NA,NA,NA,NA,"P. Clausen","446","1838",NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21824' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"syntype","South America","sheet","NY00138623","NY00138623_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","138624","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","coriaceum","Cestrum coriaceum","Miers",NA,NA,NA,NA,"G. Gardner","1786","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21825' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"syntype","South America","sheet","NY00138624","NY00138624_01",NA,NA,NA,NA,NA,NA,NA
