"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:39:33-03","E","E","514101","PreservedSpecimen","Plantae","Gramineae","Eleusine","tristachya","Eleusine tristachya","Stuckert, Teodoro Juan Vicente","449","Temperate South America","AR","Provincia de Córdoba","Bei Córdoba in Argentinien","400","400","herbarium specimen of unspecif","BGBASE:521178","<a href=http://data.rbge.org.uk/herb/E00514101 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 13:55:00-03","NY","NYBG","639531","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","L. B. Smith","12505","South America","Brazil","Santa Catarina","Cordillera Alta","400","400","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639531","Magnoliophyta","Poales","T. R. Soderstrom","1964","10","14","Chapecó","-52.6","-27.1","NY00639531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","639532","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","J. R. Swallen","7100","South America","Brazil","Rio Grande do Sul","Pelotas, Fazenda da Palma",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639532","Magnoliophyta","Poales","M. H. Nee","1945","10","22",NA,NA,NA,"NY00639532_01","(Lam.) Lam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","639530","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","R. M. Klein","2512","South America","Brazil","Santa Catarina","Azambuja, Brusque","30","30","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639530","Magnoliophyta","Poales","J. R. Swallen","1961","10","04",NA,"-48.910147","-27.126635","NY00639530_01","(Lam.) Lam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 13:55:00-03","NY","NYBG","639533","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","W. D. Clayton","4376","South America","Brazil","Rio Grande do Sul","Montenegro, Agric. Experiment Station",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639533","Magnoliophyta","Poales",NA,"1965","01","28",NA,NA,NA,"NY00639533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","639535","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","J. E. Leite","497","South America","Brazil","Rio Grande do Sul","Vicinity of Sao Leopoldo",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639535","Magnoliophyta","Poales","J. R. Swallen","1941","12",NA,NA,"-51.143791","-29.75136","NY00639535_01","(Lam.) Lam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 13:55:00-03","NY","NYBG","639536","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","J. R. Swallen","7653","South America","Brazil","Rio Grande do Sul","Uruaguaiana. Posto Zootecnico",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639536","Magnoliophyta","Poales",NA,"1945","12","10",NA,NA,NA,"NY00639536_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","639537","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","G. Eiten","4553","South America","Brazil","Maranhão","Ilha de Balsas region, between the Rios Balsas and Parnaíba. In front of main house of Fazenda Morros, about 35 km. south of Lorêto","300","300","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639537","Magnoliophyta","Poales","J. R. Swallen","1962","05","10","Loreto","-45.07","-7.38","NY00639537_01","(Lam.) Lam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 13:55:00-03","NY","NYBG","639534","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","J. C. Lindeman","3641","South America","Brazil","Rio Grande do Sul","30 km N.W. of Carazinho",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639534","Magnoliophyta","Poales","J. C. Lindeman","1966","12","13",NA,NA,NA,"NY00639534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-06 11:42:43-03","UFPI-MRV","HDELTA","2384","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","Bitencurt, S","7",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Pé-de-galinha","HDELTA002384",NA,NA,"Bitencurt, S.","2012","04","19",NA,NA,NA,NA,"(Lam.) Kunth.","2012","04","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-09-10 21:44:00-03","UNEMAT","TANG","3666","S","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","Kranz, WM; Cassiano, J","723",NA,"Brasil","Paraná","Fazenda Mutuca",NA,NA,NA,NA,NA,"TANG000003666",NA,NA,"Kranz, WM","2001","09","12","Ventania","-50.2428016662598","-24.2458000183105",NA,"(Lam.) Lam.","2001","09","12","32424","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:53:18-03","EAO","IAN","100327","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","Archer, WA","4275","Southern America","Brasil","Rio Grande do Sul","Grass. Bureau of Plant Industry, at Escola Aprendirado Agricola do Rio Grande do Sul, near Pelotas.",NA,NA,NA,NA,NA,"IAN100327","Monocotiledônea",NA,NA,"1936","10","31",NA,NA,NA,NA,"(Lam.) Lam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:53:18-03","EAO","IAN","67971","PreservedSpecimen","Plantae","Poaceae","Eleusine","tristachya","Eleusine tristachya","Alfonso, JM","s.n.","Southern America","Argentina",NA,"Localidad Palermo. Cap. Fed.",NA,NA,NA,NA,NA,"IAN067971","Monocotiledônea",NA,NA,"1950","04",NA,NA,NA,NA,NA,"(Lam.) Lam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:17:14-03","NBC","NL-BOTANY","L.1250452","PreservedSpecimen","Plantae","Gramineae","Eleusine","tristachya","Eleusine tristachya","Balansa B",NA,"Southern America","Paraguay",NA,"Campo - Grande, prés de la Trinitad. Fosses humides.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1250452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1250452",NA,"Poales",NA,"1875","10","03",NA,NA,NA,"NL-L1250452","(Lam.) Lam.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:17:14-03","NBC","NL-BOTANY","L.1250454","PreservedSpecimen","Plantae","Gramineae","Eleusine","tristachya","Eleusine tristachya","Balansa B",NA,"Southern America","Paraguay",NA,"Painet sitaé'a la base du Cerro-Péro, pres de Piraya.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1250454 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1250454",NA,"Poales",NA,"1874","06","01",NA,NA,NA,"NL-L1250454","(Lam.) Lam.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:17:14-03","NBC","NL-BOTANY","L.1250456","PreservedSpecimen","Plantae","Gramineae","Eleusine","tristachya","Eleusine tristachya","Stuckert TJV",NA,"Southern America","Argentina",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1250456 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1250456",NA,"Poales",NA,"1902","01","01",NA,NA,NA,"NL-L1250456","(Lam.) Lam.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:17:14-03","NBC","NL-BOTANY","L.1250457","PreservedSpecimen","Plantae","Gramineae","Eleusine","tristachya","Eleusine tristachya","Pedersen TM",NA,"Southern America","Argentina",NA,"Much-trampled ground by a gate, clavey soil. Corrientes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1250457 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1250457",NA,"Poales",NA,"1980","01","02",NA,NA,NA,"NL-L1250457","(Lam.) Lam.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:17:14-03","NBC","NL-BOTANY","L.1250458","PreservedSpecimen","Plantae","Gramineae","Eleusine","tristachya","Eleusine tristachya","Klein RM",NA,"Southern America","Brazil",NA,"Santa Catarina. Azambuja, Brusque. Ruderal.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1250458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1250458",NA,"Poales",NA,"1961","10","04",NA,NA,NA,"NL-L1250458","(Lam.) Lam.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
