"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","coordinatePrecision","relatedCatalogItem","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","395775","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora","Maas & Setten","D. M. Johnson","T. S. dos Santos","2336","1972","06","22","South America","Brazil","Bahia","Trecho da BR 101 Ubaitaba ao Porto Santo Antonio ao Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395775","NY00395775_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","395774","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora","Maas & Setten","D. M. Johnson","M. Sobral","5749","1988","01",NA,"South America","Brazil","Bahia","BA-654, entre Taboquinhas e Itacaré","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395774","NY00395774_01","Itacaré","-38.9967","-14.2778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","395776","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora","Maas & Setten","D. M. Johnson","T. S. dos Santos","752","1970","04","20","South America","Brazil","Bahia","Rodovia Uruçuca/Ubaitaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395776","NY00395776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","8359","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora","Maas & Setten",NA,"T. S. dos Santos","2193","1971","11","18","South America","Brazil","Bahia","Itabuna. Ba. Km 5 a 15 de BR101. ao Sul de Ubaitaba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008359","NY00008359_01",NA,"-39.3222","-14.4","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-26 14:12:04-03","CPACT","ECT","3694","PreservedSpecimen","Plantae","Embryophyta",NA,"Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora","Maas & Setten","J.C.Lopes","M.Sobral; H.Brito | W.Nascimento","5749","1988","01","01",NA,"Brasil","Bahia","Entre Taboquinhas e Itacaré. BA-654. Interior de mata à beira da estrada. Coordenadas geográficas obtidas a partir da localidade, sede do munícipio.",NA,NA,"ECT0003694","ECT0003694","Itacaré","-38.994722","-14.280278",NA,"2020","08","06","38º59'41''W","14º16'49''S","28","28",NA,NA,NA,NA,NA
"6","2021-03-04 11:16:16-03","UEFS","HUEFS","62877","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora","Maas & Setten","R.Mello-Silva","Jardim, J.G.","2716","2000","02","21",NA,"Brasil","Bahia","Fazenda Exílio, entrada no km 10,7 da BA 650 Camamú-Travessão, ca. 2 km L da sede da fazenda.",NA,"Mata Higrófila.","HUEFS0062877","HUEFS0062877 HUEFS0062877_e1","Camamu","-39.168611","-14.001944",NA,NA,NA,NA,"39W10'7''","14S0'7''",NA,NA,"Magnolianae",NA,NA,NA,NA
"7","2018-05-14 17:10:17-03","F","FMNH-SEEDPLANTS","V0222246F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora",NA,"RRC ID Flag","M. Sobral","5749","1988","1",NA,"South America","Brazil","Bahia",NA,NA,NA,"V0222246F","V0222246F_01 V0222246F_02",NA,"-42","-11",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","5749",NA,NA,NA
"8","2020-07-23 11:57:06-03","CEPLAC","CEPEC","5734","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora",NA,"P. J. Maas","T. S. dos Santos","752","1970","04","20",NA,"Brasil","Bahia","Rod. Uruçuca/Ubaitaba.",NA,NA,NA,NA,"URUÇUCA","-39.2844009399414","-14.5930995941162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33791","30/12/1987","auto"
"9","2020-07-23 11:57:06-03","CEPLAC","CEPEC","88387","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora",NA,"R. de Mello-Silva","J. G. Jardim","2716","2000","02","21",NA,"Brasil","Bahia","Faz. Exílio, entrada no Km 10,7 da BA-650 Camamú/Travessão, ca. 2Km L da sede da Faz.",NA,NA,NA,NA,"CAMAMÚ","-39.166667","-14.116667",NA,NA,NA,NA,"39W10'","14S7'",NA,NA,NA,NA,NA,"30/08/2002",NA
"10","2020-07-23 11:57:06-03","CEPLAC","CEPEC","64203","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Hornschuchia","cauliflora","Hornschuchia cauliflora",NA,"A. M. Amorim","A. M. de Carvalho","5309","1994","09","27",NA,"Brasil","Bahia","Mata da Esperança. Entrada a 2Km a partir da antiga ponte do Rio Fundão. Árvore n.1141 Parcela n. 30.",NA,"<ll>dwc_commonname:</ll> Pindaíba",NA,NA,"ILHÉUS","-39.069167","-14.781944",NA,NA,NA,NA,"39W4'9","14S46'55",NA,NA,NA,NA,NA,"30/12/1995",NA
