"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","class","order","typeStatus","eventTime","identifiedBy","yearIdentified","monthIdentified","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","relatedCatalogItem","geoFlag"
"1","2019-02-15 11:47:07-02","IPA","IPA","62790","S","Plantae","Plantae","Passifloraceae","Passiflora","saccoi","Passiflora saccoi","Cervi","Melo, E.; França. F.; França. F.","2528","1998","11","09","Southern America","Brasil","Paraná","Campina Grande do Sul","BR 116, ca. 67 Km N de Curitiba. Represe do Rio CApivari.","-48.872222","-25.171944","-48.872222","-25.171944","Trepadeira . Folha membranácea levemente discolor. Flor com corola branca, sépalas verdes com bordos brancos extermamente brancos intermamente, androginóforo amarelo-esverdeado com pontos vinosos, antera amarela, estilete verde claro","IPA0062790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2014-10-14 15:56:46-03","BS","M","M-0113190","S","Plantae","Magnoliophyta","Passifloraceae","Passiflora","saccoi","Passiflora saccoi","Cervi","Heringer, E.P.",NA,"1965","04","02",NA,"Brasil",NA,NA,"Minas Gerais, Lagoa Preta, margem do rio Paraopeba.",NA,NA,NA,NA,NA,"M0113190","Magnoliopsida","Malpighiales","ISOTYPE","21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-11 17:21:09-03","UFPR","UPCB","19803","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","saccoi","Passiflora saccoi","A.C.Cervi","Heringer, E.P.","6467",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"Lagoa Preta, margem do Rio Paraopeba",NA,NA,NA,NA,"Trepadeira..","UPCB0002347",NA,NA,"Isotype",NA,"Cervi, A.C.","1991","04","UPCB0002347",NA,NA,NA,NA,NA
"4","2019-10-07 09:32:30-03","UEFS","HUEFS","35330","PreservedSpecimen","Plantae","Angiospermae","Passifloraceae","Passiflora","saccoi","Passiflora saccoi","Cervi","Melo, E.","2528","1998","11","09",NA,"Brasil","Paraná","Campina Grande do Sul","BR-116 ca. 67 Km N de Curitiba. represa do Rio Capivari,","-48.867222","-25.171944","48W52'2''","25S10'19''","Mata alterada.","HUEFS0035330","Rosanae","Malpighiales",NA,NA,"T.S.N.Sena","1999","09","HUEFS0035330","920","920",NA,NA,NA
"5","2019-10-07 09:32:30-03","UEFS","HUEFS","48722","PreservedSpecimen","Plantae","Angiospermae","Passifloraceae","Passiflora","saccoi","Passiflora saccoi","Cervi","Heringer, E.P.","6467","1965","04","03",NA,"Brasil","Minas Gerais",NA,"Lagoa Preta, margem do rio Paraopeba.",NA,NA,NA,NA,NA,"HUEFS0048722","Rosanae","Malpighiales","Isótipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-23 12:17:47-03","CEPLAC","CEPEC","7555","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","saccoi","Passiflora saccoi",NA,"T. S. dos Santos","2033","1971","01","01",NA,"Brasil","Espírito Santo","LINHARES","Km 6 a 8 do ramal a leste, prox. ao Vale do Rio Doce.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,NA,NA,NA,"T. S. Nunes",NA,NA,NA,NA,NA,"48094","30/05/2002","auto"
