"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","414890","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","J. T. Atwood","T. J. Killeen","1524","1985","11","26","South America","Bolivia","Santa Cruz","Nuflo de Chávez, Rancho Coralitos and bald granitic dome near Zapoco, 90 km SE of Concepción","-61.67","-16.5","400","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414891","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","G. F. J. Pabst","H. S. Irwin","5138","1964","08","15","South America","Brazil","Distrito Federal","Plants of the Planalto do Brasil, Distrito Federal","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414891","Brasília","NY00414891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414889","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","G. F. J. Pabst","L. B. Smith","14718","1965","01","17","South America","Brazil","Paraná","By Jaguariaiva boundary","-49.35","-24.12","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414889","Arapoti","NY00414889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:47-03","UFRJ","RFA","14069","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","J.A.N. Batista","A.P. Duarte","10139","1967","01","09",NA,"Brasil","Distrito Federal","Área do Zoobotanico","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"RFA31596","Brasília",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:47-03","UFRJ","RFA","11231","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum brandonianum","Barb.Rodr.","G. Pabst","P. Occhioni","4575","1971","11","09",NA,"Brasil","Paraná","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Flor marrom, labelo roseo do campo Habito: terrestre","RFA31584","Ponta Grossa",NA,"46557","auto","brandonianum","1979","08","05",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:36-03","UFBA","ALCB","037902","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Carvalho, DN","Guedes, ML; Stannard, B; Atkins, S; Saar, E; Passos Júnior, LA; Santos, TRM dos","PCD5736","1997","02","16","Southern America","Brasil","Bahia","Chapada Diamantina, Torre da Telebahia","-41.316667","-13.690833","1130","1130",NA,"0,40 m. Folhas coriáceas. Inflorescência com brácteas esverdeadas; flores com sépalas e pétalas pintelgada de lilás e marrom; labelo branco-vináceo, coluna pintelgada de vinho. Raro.","ALCB006133","Barra da Estiva","ALCB006133",NA,NA,NA,"2014","10",NA,"-41.316667","-13.690833",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:36-03","UFBA","ALCB","052734","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Carvalho, DN","Guedes, ML; Funch, L; Santos, ES; Paraguassu, A; Silva, MP da; Argôlo, AS","PCD1463","1994","12","28","Southern America","Brasil","Bahia","Chapada Diamantina, Morro do Pai Inácio, Cercado","-41.466667","-12.45","840","840",NA,"terrestre, pseudobulbo totalmente enterrado. Inflorescência com botões verde-vináceos. Escapo floral com ca. 40cm, tépalas pintalgadas, coluna pintalgadas com região estigmática verde-clara. Polínias amarelas. Raízes pouco tuberosas.","ALCB006128","Palmeiras","ALCB006128",NA,NA,NA,"2014","12",NA,"-41.466667","-12.45",NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:40:49-03","MN","R","3007","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.",NA,"Gaudichaud, C.","177",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-27 13:51:18-03","UFS","ASE","33000","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.","Santos, LAS","Santos, LAS","1083","2014","06","04","Southern America","Brasil","Sergipe",NA,"-37.315","-10.758056",NA,NA,NA,"Herbácea. Flor lilás. N° do conglomerado: 116, Coordenadas UTM do Ponto Central: E (0680395 m) e N (8805648 m), Número da árvore: EXTRA.","ASE0004594","Areia Branca","ASE0004594",NA,NA,NA,"2015","02","06","-37.315","-10.758056",NA,NA,NA,NA,NA,NA
"10","2019-11-27 13:51:18-03","UFS","ASE","8847","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.","Carregosa, T","Prata, AP; Silva, AC; Silva, EJ; Lemos, IC; Costa, SM","1200","2006","04","18","Southern America","Brasil","Sergipe","Serra da Miaba, Jardins suspensos.","-37.594722","-10.737528",NA,NA,NA,"Flores alvas.; Flores alvas.; Cerrado","ASE0011921","São Domingos","ASE0011921",NA,NA,NA,"2010","01","20","-37.594722","-10.737528",NA,NA,NA,NA,NA,NA
