"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"108","2021-03-04 15:45:00-03","IF","SPSF","33246","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","brunnea","Miconia brunnea",NA,NA,"F.A.R.D.P.Arzolla","560","2004","06","03","América do Sul","Brasil","SP","Cunha","P.E.Serra do Mar - Núcleo Cunha","-44.9599990844727","-23.0699996948242",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta ombrofila densa&nf;;",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"109","2021-03-04 15:45:00-03","IF","SPSF","44177","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.",NA,"R.A.F.Lima & A.G.Aguirre","840","2008","10","22","América do Sul","Brasil","SP","Ibiúna","Parque Estadual de Jurupará, Base Fumaça","-47.2200012207031","-23.6499996185303",NA,"COLETA: Floresta Ombrófila Densa Montana.; GEOGRAFIA: Cachoeira da Fumaça;",NA,NA,NA,NA,"43112","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"110","2021-03-04 15:45:00-03","IF","SPSF","53677","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","brunnea","Miconia brunnea","Mart. ex DC.","N.M.Ivanauskas","N.M.Ivanauskas & F.M.Souza & D.Souza","6861","2011","08","30","América do Sul","Brasil","SP","Bananal","Estação Ecológica de Bananal","-44.363333","-22.808333",NA,"COLETA: Árvore. Coleta vegetativa 03 do Plano de Manejo.; GEOGRAFIA: Floresta Ombrófila Densa. TC.II - Trilha do Morro do Carneiro.;",NA,NA,"2012","01",NA,NA,NA,NA,"24","1314","1314","Magnoliopsida",NA,NA,NA,NA
"111","2021-03-04 15:45:00-03","IF","SPSF","16131","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","brunnea","Miconia brunnea",NA,NA,"R.Esteves","68","1993","04","27","América do Sul","Brasil","SP","Ibiúna","P.E.Jurupará","-47.2200012207031","-23.6499996185303",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,"43112","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"112","2014-09-23 11:01:51-03","G","G-DC","G00310961","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","CAT.HERB.PRODR.","Martius, C. F. P.",NA,"1827",NA,"00","AMERIQUE DU SUD","Brazil","São Paulo",NA,NA,"-48.65972222","-22.40444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=221954&base=img&lang=en","G00310961","G00310961","2011","01",NA,NA,"-48.65972222","-22.40444444","01",NA,NA,NA,"ISOTYPUS of Miconia brunnea DC.",NA,NA,NA
"113","2019-11-21 10:10:01-03","IBt","SP","11902","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Campos Novaes, J","CGG4486",NA,NA,NA,NA,"Brasil","São Paulo",NA,"Funil.",NA,NA,NA,NA,"SP006824","SP006824","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2019-11-21 10:10:01-03","IBt","SP","236474","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Chiea, SAC","Krieger, L; et al.","FPNC618","1988","12","17",NA,"Brasil","Minas Gerais","Caparaó","P.N. caparaó - Córrego do Inácio. Na mata, próxima ao curso d'água","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"1989","10","15056","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2019-11-21 10:10:01-03","IBt","SP","38207","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Gehrt, A","Mello Barreto","6689","1936","01","17",NA,"Brasil","Minas Gerais","Tombos","Mata. Fazenda do Vinhatico","-42.0228004455566","-20.9046993255615",NA,NA,NA,NA,NA,NA,"16749","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2019-11-21 10:10:01-03","IBt","SP","397925","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Silva, JM","Silva, JM; Ribas, OS; Vaz, J","4550","2006","01","05",NA,"Brasil","Paraná","Adrianópolis","Fazenda Mato Limpo, Berneck. Floresta Atlântica","-48.9911003112793","-24.6571998596191",NA,NA,NA,NA,"2006",NA,"49901","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2019-11-21 10:10:01-03","IBt","SP","224848","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Wanderley, MGL; Mercier, H; Rossi, L; Mollo, L","1008","1988","04","07",NA,"Brasil","São Paulo","Cananéia","Ilha do Cardoso, Mata do Rio do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"1998",NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
