"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","typeStatus","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1921587","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","L. L. Giacomin","1697","2012","01","27","South America","Brazil","Rio de Janeiro","Paratí","Estrada não pavimentada de acesso a Parati-Mirim, margens da estrada, em fragmento de floresta ciliar (ombrófila densa) secundaria, ca. de 2 km apó a BR-101.","-44.6719","-23.2686","62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288859' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921587","NY01921587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01096398","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","T. U. P. Konno","337","1993","10","21","South America","Brazil","Rio de Janeiro","Paratí","Morro do Corisco, descendo o Rio Corisco. [Paraty].","-44.7131","-23.2181","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096398","NY01096398_01","L. Freire","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921586","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","L. L. Giacomin","1683","2012","01","25","South America","Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Margens da BR-101, próximo a entrada da sede do parque, no km 9.","-44.8269","-23.365","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921586","NY01921586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01096400","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","B. Moreira","23","1993","10","20","South America","Brazil","Rio de Janeiro","Paratí","Morro da Fazenda [Paraty].","-44.7131","-23.2181","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096400","NY01096400_01","L. Freire","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:21:01-03","UFRJ","RFA","26396","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","A. Quinet","44/67","2001","01","26",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão","-43.123611","-22.566667","150",NA,"Árvore, 8m de altura, 50cm de DAP, folhas verdes discolores, comum no local","RFA29669",NA,"M. Bovini","150","2001","06","21","43º7'25''W","22º34'0''S",NA,NA,NA,NA,NA,NA
"6","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","96241","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Giacomin, L.L.; Almeida, T.E.","1683","2012","01","23","Southern America","Brazil","São Paulo","Ubatuba","Parque Estadual Serra do Mar, núcleo Picinguaba, margens da BR-101, próximo a entrada da sede do parque, no km 9","-44.826944","-23.365","10",NA,"arbusto ereto, ramos apicais escandentes; flores alvas; em fragmento de floresta ombrófila secundaria marginal a estrada","BM001120444",NA,"Giacomin, L.L.","10","2012","01","01","-44.826944","-23.365","Dicotyledoneae",NA,NA,NA,NA,NA
"7","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","96241","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Giacomin, L.L.; Almeida, T.E.","1683","2012","01","23","Southern America","Brazil","São Paulo","Ubatuba","Parque Estadual Serra do Mar, núcleo Picinguaba, margens da BR-101, próximo a entrada da sede do parque, no km 9","-44.826944","-23.365","10",NA,"arbusto ereto, ramos apicais escandentes; flores alvas; em fragmento de floresta ombrófila secundaria marginal a estrada",NA,NA,"Giacomin, L.L.","10","2012","01","01","-44.826944","-23.365","Dicotyledoneae","154145",NA,NA,NA,NA
"8","2015-02-15 23:08:30-02","BM","SOLANACEAE_SOURCE_BR","98869","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Giacomin, L.L.; Almeida, T.E.","1697","2012","01","27","Southern America","Brazil","Rio de Janeiro","Parati","Estrada não pavimentada de acesso a Parati-Mirim","-44.671972","-23.268556","62",NA,"Arvore, 10m, crescendo em barranco. Pétalas alvas, estames amarelos. Fruto alongado, completamente coberto pelo cálice.; Margens da estrada, em fragmento de floresta ciliar (ombrófila densa) secundária, cerca de 2km após a BR-101",NA,NA,NA,"62",NA,NA,NA,"-44.671972","-23.268556","Dicotyledoneae","154159",NA,NA,NA,NA
"9","2019-08-20 10:26:38-03","UNICAMP","UEC","80005","S","Plantae","Magnoliopsida",NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Kuhlmann, M","2627","1951","03","19",NA,"Brazil","Rio de Janeiro","Angra dos Reis","Fazenda Japuhyba.","-44.647222","-23.044167",NA,NA,NA,"UEC074381","UEC074381","Carvalho, LF",NA,"1994","10",NA,"-44.647222","-23.044167",NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:42:06-03","UFMG","BHCB","154145","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Giacomin, LL; Almeida, TE","1683","2012","01","25","Southern America","Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Margens da BR-101, próximo a entrada da sede do parque, no km 9.","-44.826806","-23.365028","10",NA,"Arbusto ereto, 3m, ramos apicais escandentes, em fragmento de floresta ombrófila secindária marginal à estrada. Flores alvas.&nf;Prensado em álcool; Arbusto ereto, 3m, ramos apicais escandentes, flores alvas.; Em fragmento de Floresta O","BHCB023756",NA,NA,"10",NA,NA,NA,"-44.826806","-23.365028",NA,NA,NA,NA,NA,NA
