"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","individualCount","relatedCatalogItem","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","2423389","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","P. Leitman","380","2011","09","11","South America","Brazil","Bahia","Arataca","Parque Nacional de Serra das Lontras, subindo pelo vale à esquerda, depois da casa do Sr. Otacílio","-39.38806","-15.19611","381","712","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2696167' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423389","NY02423389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585803","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","S. C. de Sant'Ana","881","2000","06","01","South America","Brazil","Bahia","Una","Reserva do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una. Coletas efetuadas ao longo do ramal de acesso à sede da Reserva","-39.08","-15.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585803","NY00585803_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 15:57:00-03","NY","NYBG","517156","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa",NA,"A. M. Amorim","777","1992","09","24","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15",NA,NA,"sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517156","NY00517156_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 15:57:00-03","NY","NYBG","400413","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa",NA,"A. M. Amorim","2093","1997","09","18","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Picada paralela ao Rio Maruim","-39.08","-15.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400413","NY00400413_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400414","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","S. M. Silva",NA,"1997","09","24","South America","Brazil","Paraná","Paranaguá","Ilha do Mel, Estaçao Ecológica","-48.35","-25.45",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400414","NY00400414_01","M. Kaehler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:26-03","PUCPR","HUCP","23649","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker.) Mez","Petean, M","s.n.","2008","05","30",NA,"Brasil","Paraná","Antonina",NA,"-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,NA,NA,"Petean, M","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:57-03","ESALQ","ESA","75757","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","660.0","2001","04","16",NA,"Brasil","São Paulo","Itanhaém","BLOQUEADO","-46.7799987792969","-24.1800003051758","30","30",NA,"Epífita. Frutos castanho-claros.","ESA075757","ESA075757",NA,"26998","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:03:57-03","ESALQ","ESA","75749","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","652.0","2001","04","16",NA,"Brasil","São Paulo","Itanhaém","BLOQUEADO","-46.7799987792969","-24.1800003051758","30","30",NA,"Epífita, frutos esverdeados com ápice castanho.","ESA075749","ESA075749",NA,"26998","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-24 16:39:42-03","MN","R","230201","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Almeida, M.M. 147; Oliveira, R.R.",NA,"2014","08",NA,NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçú, REGUA",NA,"-22.398017","805","805",NA,NA,"R010033911",NA,"Almeida, M.M.",NA,NA,"2014","08","42°44.832W","22°23'881S",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-07 08:35:14-03","MN","R","230184","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Almeida, M.M.","130","2014","08",NA,NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu",NA,"-42.6530990600586","-22.4624996185303",NA,NA,NA,NA,"R010031646","R010031646",NA,"32671","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
