"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:33:19-03","UNESC","CRI","5484","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum","Bureau & K.Schum.","J. Durigon","Vanilde C. Zanette; V. Boff","2418","1997","05","03","Brasil","Santa Catarina","Araranguá","Ilhas.","-49.486389","-28.935556","49º29'11''W","28º56'8''S","4","4","Habitat: mata de restinga Habito: cipó","CRI001503","CRI001503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 11:12:00-03","NY","NYBG","402944","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum",NA,"R. G. Udulutsch","W. Hoehne","6226","1968","08","14","Brazil","São Paulo","Aguas de Lindóia","Agua de Lindóia.","-46.63","-22.47",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402944","NY00402944_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 09:37:00-03","NY","NYBG","402927","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum",NA,"R. G. Udulutsch","J. V. Godoi","228","1992","07","20","Brazil","São Paulo","Moji-Guaçu","Mogi-Guaçu, Reserva Biologica e Estaçao Experimental de Mogi-Guaçu. Mata do Casemiro.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402927","NY00402927_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","402982","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum","Bureau ex K.Schum.","R. G. Udulutsch","R. Reiss","81","1934","08","12","Brazil","Paraná","Tibagi","Tibagy","-50.488585","-24.686032",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=639224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402982","NY00402982_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 09:37:00-03","NY","NYBG","402929","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum",NA,"R. G. Udulutsch","R. Zifirino","22","1991","09","26","Brazil","São Paulo","Moji-Guaçu","Mogi-Guaçu, Reserva Biologica e Estaçao Experimental de Mogi-Guaçu. Mata da Figueira.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402929","NY00402929_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00938263","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum","Bureau ex K.Schum.","L. H. Fonseca","A. H. Gentry","59062","1987","09","05","Brazil","São Paulo",NA,"17 km NE of São Miquel do Arcanjo.","-46.97","-23.83",NA,NA,"710",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2485442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00938263","NY00938263_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 09:37:00-03","NY","NYBG","402923","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum",NA,"R. G. Udulutsch","S. Romaniuc Neto","1269","1991","09","26","Brazil","São Paulo","Moji-Guaçu","Mogi-Guaçu, Martinho Prado, Fazenda Campininha, Mata da Figueira.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402923","NY00402923_01","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","4210","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum","Bureau ex K. Schum.",NA,"Ferreira, J.M.","6","1974","10","13","Brasil","São Paulo","Itatinga","A 6 km SE Fazenda Bela Vista",NA,NA,"9999","9999",NA,NA,NA,"BOTU004210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","4209","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum","Bureau ex K. Schum.",NA,"Oliveira Jr., A.C.","23","1974","09","28","Brasil","São Paulo","Itatinga","Próximo ao trevo da Castelo Branco, em Itatinga, perto de um lago",NA,NA,"9999","9999",NA,NA,NA,"BOTU004209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 21:31:51-03","UFBA","ALCB","11912","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","paulistarum","Adenocalymma paulistarum lanceolata","J.Caminhoá",NA,"s.col.","PHs/n",NA,NA,NA,"Brasil",NA,NA,"Comum em Campinas (São Paulo)",NA,NA,NA,NA,NA,NA,NA,"ALCB014970","ALCB014970","Dicotyledon",NA,"Southern America",NA,"lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA
