"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","continentOcean","imagecode","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","order","class","typeStatus","fieldNumber","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-06-29 11:30:14-03","UFRJ","RFA","8345","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","(Müll.Arg.) Pax & K.Hoffm.","G. Hatschbach","1964","E. Pereira; G. Hatschbach 10547","7934","1963","11","16","Brasil","Paraná","Guarapuava","Rio Jordão. Águas Santa Clara, margens do rio","-51.4580993652344","-25.395299911499","53832","Planta 60 - 80 cm de altura. Flor esverdeada","RFA27503","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:38:17-03","EAO","IAN","5628","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","Pax & K.Hoffm.",NA,NA,"Sellow, F","3223",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN005628",NA,"Dicotiledônea","Southern America","IAN005628_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:11:12-03","UNICAMP","UEC","36750","S","Plantae","Euphorbiaceae","Argythamnia","foliosa","Argythamnia foliosa","Müll.Arg.",NA,NA,"Sobral, M","3571","1984","12","02","Brazil","Rio Grande do Sul","Itapuã","Viamão",NA,NA,NA,"ori, Erva em campo pedregoso na encosta de um morro, frutos maduros.","UEC142350",NA,"Magnoliopsida",NA,"UEC142350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:24:03-03","MBM","MBM","100018","PreservedSpecimen","Plantae","Euphorbiaceae","Argythamnia","foliosa","Argythamnia foliosa","Muell. Arg.","Sobral, M.",NA,"Sobral, M.","3571","1974","12","02","Brazil","Rio Grande do Sul","Viamão","Itapuã","-51.0233001708984","-30.0811004638672","41667",NA,"MBM100018","auto",NA,"Southern America","MBM100018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:24:07-03","MBM","MBM","426312","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","(Muell. Arg.) Pax & Hoffm.","Külkamp, J.","2017","Külkamp, J.; Rabuske, C.; Köhler, M.; Alff, C.; Rabuske, C.; Köhler, M.; Alff, C.","230","2017","07","15","Brazil","Rio Grande do Sul","Porto Alegre","Morro Tapera","-51.1875","-30.135833",NA,"Erva, 30cm. coberta por longos tricomas, flores brancas.; Borda da trilha na face leste do morro, em meio à pedra e touceiras de gramíneas.","MBM426312",NA,NA,"Southern America",NA,"07","15","-51.1875","-30.135833",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:24:07-03","MBM","MBM","41105","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","(Muell. Arg.) Pax & Hoffm.","Smith, L.B.",NA,"Hatschbach, G.; Pereira, E.; Pereira, E.","10547","1963","11","16","Brazil","Paraná","Guarapuava","Rio Jordão","-51.4580993652344","-25.395299911499","53832",NA,"MBM041105","auto",NA,"Southern America","MBM041105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:35:14-03","UFMG","BHCB","46954","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","(Müll.Arg.) Pax & Hoffm.",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-08-31 09:02:12-03","INPA","INPA","127978","S","Plantae","Euphorbiaceae","Argythamnia","foliosa","Argythamnia foliosa","Müll.Arg.","Sobral, MEG","1984","Sobral, MEG","3571","1984","12","02","Brasil","Rio Grande do Sul","Viamão","Itapuã, Itapuã.","-51.0233001708984","-30.0811004638672","41667",NA,"INPA0127978","auto","Dicotyledon Com-Clade","Southern America","INPA0127978 INPA0127978_e",NA,NA,NA,NA,"Malpighiales",NA,NA,NA,NA,NA
"9","2019-09-04 18:50:50-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum",NA,NA,NA,"F. Sellow","3223",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Spermatophyta","South America",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA
"10","2018-11-28 14:42:09-02","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum",NA,"RRC ID Flag",NA,"M. Sobral","3571",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,NA,"-54","-30",NA,NA,NA,NA,"Spermatophyta","South America",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"3571",NA,NA
"11","2019-12-16 13:25:52-03","F","FMNH-SEEDPLANTS","V0191558F","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum",NA,NA,NA,"M. Sobral","3571","1984","12","2","Brazil","Rio Grande do Sul",NA,NA,"-54","-30",NA,NA,"V0191558F",NA,"Spermatophyta","South America","V0191558F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"12","2021-02-08 12:41:02-03","UFRGS","ICN","089063","S","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","(Müll.Arg.) Pax & K.Hoffm","Külkamp, J","2018","Sobral, M","3571","1984","12",NA,"Brasil","RS","Viamão","Itapuã","-51.0233001708984","-30.0811004638672","41667",NA,NA,"auto","Dicotyledon","América do Sul",NA,"02","26",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-08 12:41:02-03","UFRGS","ICN","194856","S","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","(Müll.Arg.) Pax & K.Hoffm","Külkamp, J","2017","Külkamp, J; Köhler, M; Rabuske, C","331","2017","09","09","Brasil","RS","Viamão","Morro do Araçá, Parque do Itapuã.","-51.031667","-30.360833",NA,"Erva 30 cm altura, petalas brancas e face abaxial das folhas esbranquiçada.; Em meio a touceiras de gramíneas em solo pedregoso.",NA,NA,"Dicotyledon","América do Sul",NA,"09","21","-51.031667","-30.360833",NA,NA,NA,NA,NA,NA
"14","2021-02-08 12:41:02-03","UFRGS","ICN","197005","S","Plantae","Euphorbiaceae","Chiropetalum","foliosum","Chiropetalum foliosum","(Müll.Arg.) Pax & K.Hoffm","Külkamp, J","2017","Külkamp, J; Rabuske, C; Köhler, M; Alff, C","230","2017","07","15","Brasil","RS","Porto Alegre","Morro Tapera","-51.1875","-30.135833",NA,"Erva 30 cm, coberta pro longos tricomas, flores brancas.; Borda da trilha na face leste do morro, em meio à pedra e touceiras de gramíneas",NA,NA,"Dicotyledon","América do Sul",NA,"07","16","-51.1875","-30.135833",NA,NA,NA,NA,NA,NA
