"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","class"
"1","2016-09-29 22:05:00-03","NY","NYBG","00941403","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","L. O. Williams","6126","1945","03","South America","Brazil","Minas Gerais","Bento Pires, near Belo Horizonte.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941403","NY00941403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 12:46:00-03","NY","NYBG","01856031","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","A. F. A. Versiane; M. J. R. Rocha","M. J. R. Rocha","900","2013","02","South America","Brazil","Goiás","Serra dos Pirineus. Beira da estrada (área perturbada), sentido marco 9 da Serra dos Pirineus","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190501' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856031","NY01856031_01","19","Cocalzinho de Goiás","-48.7728","-15.8261","1135","1135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00941392","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","W. R. Anderson","6352","1973","03","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 1 km E of Alto Paraíso on road to Nova Roma","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941392","NY00941392_01","05","Alto Paraíso de Goiás","-47.5103","-14.1103","1300","1300","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00941397","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","J. J. Wurdack","H. S. Irwin","24768","1969","03","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 16 km south of Alto Paraíso (formerly Veadeiros)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941397","NY00941397_01","20","Alto Paraíso de Goiás","-47.5167","-14.26131","1000","1000","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00941393","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","H. S. Irwin","12764","1966","02","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941393","NY00941393_01","13","Alto Paraíso de Goiás","-47.65562","-14.1167","1000","1000","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00941396","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","H. S. Irwin","24552","1969","03","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 41 km north of Alto Paraíso de Goiás (formerly Veadeiros).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941396","NY00941396_01","17","Cavalcante","-47.5167","-13.74613","1000","1000","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00941399","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","H. S. Irwin","26878","1970","03","South America","Brazil","Minas Gerais","Ca. 12 km W of Corinto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941399","NY00941399_01","04","Corinto","-44.55675","-18.3589","600","600","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00941401","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","H. S. Irwin","34778","1972","01","South America","Brazil","Goiás","ca. 15 km S. of Niquelândia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941401","NY00941401_01","22","Niquelândia","-48.45","-14.58557","1000","1000","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00941402","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","H. S. Irwin","35011","1972","01","South America","Brazil","Goiás","ca. 5 km W. of Niquelândia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941402","NY00941402_01","25","Niquelândia","-48.49637","-14.45","750","750","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00941395","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","perpusilla","Pterolepis perpusilla","S. S. Renner","H. S. Irwin","24551","1969","03","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 41 km north of Alto Paraíso de Goiás (formerly Veadeiros).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941395","NY00941395_01","17","Cavalcante","-47.5167","-13.74613","1000","1000","(Naudin) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
