"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:25:24-03","UNESC","CRI","11083","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","L. A. Funez","2013","03","03","L.A. Funez; A.E. Zermiani & A. Kaessner Filho","1866","2013","03","03","Brasil","Santa Catarina","Blumenau","Morro do Sapo, Parque Nacional da Serra do Itajaí.","-49.066389","-26.92","49º3'59''W","26º55'12''S","312","312","Floresta Ombrófila Densa Habitat: borda da mata Habito: arbórea","CRI003480","CRI003480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:24-03","UNESC","CRI","15226","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","Aline Votri Guislon","2020","01","31","Aline V. Guislon; Iara Z. Zanoni; Renato Colares & Lucas Oliveira",NA,"2018","11","28","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Área L9 Fitossociologia Bairro Sangão.","-49.389444","-28.744444","49º23'22''W","28º44'40''S","30","30","(coleta do chão) Habito: Arbóreo","CRI014641","CRI014641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","8405","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","Vanilde Citadini- Zanette",NA,NA,NA,"Mainara F. Cascaes",NA,"2008","04","03","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12",NA,"CRI003546","CRI003546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:35-03","UNESC","CRI","10538","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.",NA,NA,NA,NA,"Vanilde C. Zanette; Clair M. Martinello & Aurélio",NA,"1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110",NA,"CRI003479","CRI003479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:24-03","UNESC","CRI","9472","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","A. Stival-Santos","2010","05","31","A. Stival-Santos; E. Legal & S. Silveira","2879","2010","05","31","Brasil",NA,"Brasil","Cova da Onça.","-48.780833","-27.628889","48º46'51''W","27º37'44''S","236","236","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003561","CRI003561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:35-03","UNESC","CRI","7589","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","Vanilde Citadini- Zanette","2008","03","09","Marcelo Romagna Pasetto",NA,"2008","03","09","Brasil","Santa Catarina","Siderópolis","Jordão, São Pedro.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habitat: interior da mata","CRI003477","CRI003477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:24-03","UNESC","CRI","9469","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","A. Quinet","2010","09","15","S. Dreveck; F. E. Carneiro","1716","2010","02","01","Brasil","Santa Catarina","Jaraguá do Sul","Ano Bom / Braço Esquerdo.","-49.139722","-26.368056","49º8'23''W","26º22'5''S","205","205","Floresta Ombrófila Densa Habitat: beira do rio Habito: arbórea","CRI003556","CRI003556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:35-03","UNESC","CRI","15369","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","Alexandre Medeiros","2017","05","09","Alexandre Medeiros","372","2017","05","09","Brasil","Santa Catarina","Balneário Camboriú","Quilombola.","-48.640278","-26.999167","48º38'25''W","26º59'57''S",NA,NA,"Habito: Arbóreo","CRI014786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:24-03","UNESC","CRI","9570","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","A. Stival-Santos","2010","03","30","A. Stival-Santos; E. Legal & S. Silveira","2205","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003562","CRI003562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:24-03","UNESC","CRI","3597","PreservedSpecimen","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","(Sw.) Griseb.","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; et al.","2543","1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador - Três Barras.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"Habitat: beira da Estrada Habito: árvore","CRI003549","CRI003549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
