"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00861685","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","Y. E. J. Mexia","5880","1931","05","21","South America","Brazil","Minas Gerais","Diamantina","Districto Diamantina. Barao; Serra de Capao","-43.6003","-18.2494","1240","1240","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861685","NY00861685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00861687","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","W. R. Anderson","35835","1972","02","11","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","-43.3919444","-18.43185","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861687","NY00861687_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861686","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","H. S. Irwin","8998","1965","10","06","South America","Brazil","Distrito Federal","Brasília","3 km S. of Sobradinho","-47.8167","-15.66041","1075","1075","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861686","NY00861686_01","T. de S. Filgueiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861660","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","F. C. A. Oliveira","403","1995","08","16","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Parque Nacional Chapada dos Veadeiros. Trilha entre a Sede do Parque e o Canion do Rio Preto.","-47.8089","-14.1564",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861660","NY00861660_01","T. de S. Filgueiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","629909","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","S. A. Mori","12440","1979","07","21","South America","Brazil","Bahia","Rio de Contas","6-10 km ao NW de Rio de Contas, na estrada para o Pico das Almas","-41.88","-13.53","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629909","NY00629909_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-28 16:53:00-02","NY","NYBG","00892089","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus",NA,"J. R. Swallen","9442","1946","06","13","South America","Brazil","Mato Grosso do Sul","Ponta Porã","Ponta Pora, Territory of Ponta Pora","-55.7256","-22.5361",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00892089","NY00892089_01","C. Delfini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","629942","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","H. S. Irwin","9360","1965","10","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapadados Veadeiros, ca. 13 km NW of Veadeiros","-47.5097","-14.1325","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629942","NY00629942_01","T. de S. Filgueiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00861661","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","H. S. Irwin","9373","1965","10","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km N.W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5952778","-14.04001","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861661","NY00861661_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:27-03","UNESP-IBB","BOTU","8160","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees ex Trin.) Kuhlm.","Gottsberger, I.S.","19-13281","1981","11","13",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTU008160",NA,"Longhi, H.","1997","01","10","9999","9999",NA,NA,NA,NA,NA
"10","2021-03-30 12:53:03-03","EAO","IAN","107916","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","Magalhães, MG","18011","1960","07",NA,"Southern America","Brasil","Minas Gerais",NA,"Campo arenoso ou com cascalho. Serra de Diamantina.",NA,NA,NA,NA,NA,"Herba de 0,50-0,80m; em grupos ou colonia.","IAN107916",NA,"Valls, JFM","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:53:03-03","EAO","IAN","69630","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","Black, GA; Magalhães, MG","11805","1951","04","05","Southern America","Brasil","Minas Gerais",NA,"Cruzamento das estradas Morro do Pilar e Conceição, km 137.",NA,NA,NA,NA,NA,NA,"IAN069630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:53:03-03","EAO","IAN","69655","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","Black, GA","11829","1951","04","05","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó, entre os km 130 e 132.",NA,NA,NA,NA,NA,NA,"IAN069655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:53:03-03","EAO","IAN","65725","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Axonopus","fastigiatus","Axonopus fastigiatus","(Nees) Kuhlm.","Mexia, Y","5880","1931","05","02","Southern America","Brasil","Minas Gerais","Diamantina","Barão.","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"IAN065725",NA,"Chase",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA
