"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","687925","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi","isotype","J. A. Lombardi","BHCB78186","2003","11","26","South America","Brazil","Espírito Santo","Tarana. Alto Jatiboca, Fazenda de Frederico Sadler.","-40.9110833","-20.0135","786","786","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687925","NY00687925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687373","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi",NA,"E. M. Nic Lughadha","204","1999","02","14","South America","Brazil","Espírito Santo","Itarana. Jatiboca. Alto de Jatiboca. 3 km da Vila Jatiboca. Fazenda da familia Seidler.","-40.87","-19.85","710","710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687373","NY00687373_01","J. A. Lombardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:20:33-03","MBM","MBM","30203","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi","PARATYPE","Nic Lughadha, E.; Mello-Silva, R.; Stannard, B.L.; Assis, M.C.; Mello-Silva, R.; Stannard, B.L.; Assis, M.C.","204","1999","02","14","Southern America","Brazil","Espírito Santo","Jatiboca, Alto de Jatiboca. 3km da Vila Jatiboca. Fazenda da família Seidler","-40.866667","-19.85","710","710",NA,"Árvore até 10m de altura. Folhas discolores. Flores verdes.; Mata de encosta no alto do morro.","MBM302083","MBM302083","Biral, L.","2019","02","Itarana","-40.866667","-19.85",NA,NA,NA,NA,NA
"4","2020-12-21 16:20:33-03","MBM","MBM","327012","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi","PARATYPE","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","71523","2000","10","22","Southern America","Brazil","Espírito Santo","Rancho Dantas",NA,NA,NA,NA,NA,"Arvoreta 5m.; Floresta Atlântica.","MBM327012","MBM327012","Biral, L.","2019","02","Brejatuba",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:20:33-03","MBM","MBM","327012b","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","71523","2000","10","22","Southern America","Brazil","Espírito Santo","Rancho Dantas",NA,NA,NA,NA,NA,"Arvoreta 5m.; Floresta Atlântica.","MBM327012b",NA,"Biral, L.","2019","02","Brejatuba",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:34:30-03","UFMG","BHCB","70708","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi",NA,"Hatschbach, G","71523","2000","10","22","Southern America","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brejatuba",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:34:30-03","UFMG","BHCB","78186","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi","Holotypus","Lombardi, JA; Salino, A; Mota, RC da; Carvalho, FA","5205","2003","02","26","Southern America","Brasil","Espírito Santo","Alto Jatiboca, Fazenda de Frederico Sadler","-40.911083","-20.0135","786","786",NA,"Borda de mata pluvial, alto de morro, beira da estrada.; Arvoreta vergada, ca. 4 m, folhas cartáceas, flores verdes, frutos imaturos verdes; Borda de mata pluvial","BHCB000168","BHCB000168 BHCB000168_01",NA,"2004","10","Itarana","-40.911083","-20.0135",NA,NA,NA,NA,NA
"8","2011-03-03 13:42:00-03","MO","MOBOT","2704252","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi","Holotype","Julio A. Lombardi","Lombardi 5205","2003","2","26","South America","Brazil","Espírito Santo","Itarana-ES, Alto Jatiboca, Fazenda de Frederico Sadler.","-40.91111","-20.01361","786.00000000",NA,NA,NA,NA,NA,"J.A. Lombardi (BHCB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:45:02-03","MBML","MBML-HERBARIO","22779",NA,"Plantae",NA,NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi","ISOTIPO","J. A. Lombardi; et al","5205","2003","02","26",NA,"Brasil","Espírito Santo","Alto Jatiboca","-40.875301361084","-19.8738994598389",NA,NA,NA,"Borda de mata pluvial, alto de morro, beira da estrada. Arvoreta vergada, ca.4m, folhas cartáceas, flores verdes, frutos imaturos verdes.","MBML022779","MBML022779","J. A. Lombardi/X-2004",NA,NA,"Itarana",NA,NA,"23320","auto",NA,NA,NA
"10","2020-07-10 09:45:02-03","MBML","MBML-HERBARIO","19400",NA,"Plantae",NA,NA,"Celastraceae","Peritassa","sadleri","Peritassa sadleri","Lombardi","PARATIPO","E. M. Nic Lughadha; et al","204","1999","02","14",NA,"Brasil","Espírito Santo","Alto de Jatiboca","-40.875301361084","-19.8738994598389",NA,NA,NA,"Arvoreto até 10m de altura. Folhas discolores. Flores verdes.","MBML019400","MBML019400","J. A. Lombardi/X-2004",NA,NA,"Itarana",NA,NA,"23320","auto","2",NA,NA
