especie_original,cat_ameaca_cncflora,fonte
Abarema acreana,DD,cncflora_out_1
Abarema cochliacarpos,LC,cncflora_out_1
Abarema filamentosa,LC,cncflora_out_1
Abarema obovata,LC,cncflora_out_1
Abarema turbinata,NT,cncflora_out_1
Abarema villifera,DD,cncflora_out_1
Abatia angeliana,VU,cncflora_out_1
Abatia microphylla,EN,cncflora_out_1
Abildgaardia papillosa,CR,cncflora_out_1
Abuta selloana,LC,cncflora_out_1
Abutilon anodoides,EN,cncflora_out_1
Abutilon anodoides,CR,cncflora_out_0
Abutilon costicalyx,LC,cncflora_out_1
Abutilon esculentum,EN,cncflora_out_1
Abutilon hirsutum,DD,cncflora_out_1
Abutilon macrophyllum,CR,cncflora_out_1
Abutilon monteiroi,DD,cncflora_out_1
Abutilon nigricans,CR,cncflora_out_1
Abutilon venosum,DD,cncflora_out_1
Acalypha ampliata,DD,cncflora_out_1
Acalypha aspericocca,DD,cncflora_out_1
Acalypha fragilis,CR*,cncflora_out_1
Acalypha juruana,DD,cncflora_out_1
Acalypha peckoltii,DD,cncflora_out_1
Acalypha pohliana,DD,cncflora_out_1
Acalypha radicans,DD,cncflora_out_1
Acalypha subsana,DD,cncflora_out_1
Acanthocladus brasiliensis,LC,cncflora_out_1
Acanthocladus pulcherrimus,NT,cncflora_out_1
Acanthocladus pulcherrimus,NT,cncflora_out_0
Acanthocladus santosii,EN,cncflora_out_1
Acanthocladus santosii,NT,cncflora_out_0
Acanthostachys pitcairnioides,DD,cncflora_out_1
Acanthosyris paulo-alvinii,CR,cncflora_out_1
Acanthosyris paulo-alvinii,VU,cncflora_out_0
Acca sellowiana,LC,cncflora_out_1
Accara elegans,EN,cncflora_out_1
Achatocarpus praecox,LC,cncflora_out_1
Achetaria caparaoense,CR,cncflora_out_1
Achetaria latifolia,CR,cncflora_out_1
Achetaria latifolia,CR,cncflora_out_0
Acianthera adiri,CR,cncflora_out_1
Acianthera aphthosa,LC,cncflora_out_1
Acianthera auriculata,LC,cncflora_out_1
Acianthera bidentata,VU,cncflora_out_1
Acianthera bragae,LC,cncflora_out_1
Acianthera crinita,LC,cncflora_out_1
Acianthera exdrasii,DD,cncflora_out_1
Acianthera glumacea,LC,cncflora_out_1
Acianthera heringeri,CR,cncflora_out_1
Acianthera karlii,LC,cncflora_out_1
Acianthera langeana,EN,cncflora_out_1
Acianthera ophiantha,DD,cncflora_out_1
Acianthera papillosa,VU,cncflora_out_1
Acianthera pavimentata,DD,cncflora_out_1
Acianthera pectinata,LC,cncflora_out_1
Acianthera pernambucensis,DD,cncflora_out_1
Acianthera saurocephala,LC,cncflora_out_1
Acianthera strupifolia,LC,cncflora_out_1
Acianthera subrotundifolia,VU,cncflora_out_1
Acianthera teres,LC,cncflora_out_1
Acianthera translucida,LC,cncflora_out_1
Acianthera tricarinata,LC,cncflora_out_1
