especie_original,cat_ameaca_cncflora,fonte
Kuhlmanniodendron apterocarpum,LC,cncflora_ckan
Kuhlmanniodendron macrocarpum,EN,cncflora_ckan
Lindackeria paraensis,NT,cncflora_ckan
Anacardium microsepalum,LC,cncflora_ckan
Apterokarpos gardneri,LC,cncflora_ckan
Astronium balansae,EN,cncflora_ckan
Astronium glaziovii,EN,cncflora_ckan
Astronium nelson-rosae,LC,cncflora_ckan
Schinopsis balansae,EN,cncflora_ckan
Schinus ramboi,EN,cncflora_ckan
Spondias admirabilis,EN,cncflora_ckan
Spondias expeditionaria,DD,cncflora_ckan
Polygonanthus punctulatus,DD,cncflora_ckan
Annona pickelii,NT,cncflora_ckan
Duguetia restingae,CR,cncflora_ckan
Duguetia reticulata,DD,cncflora_ckan
Duguetia scottmorii,EN,cncflora_ckan
Hornschuchia cauliflora,EN,cncflora_ckan
Hornschuchia obliqua,EN,cncflora_ckan
Annona acutiflora,LC,cncflora_ckan
Annona annonoides,DD,cncflora_ckan
Annona dolabripetala,LC,cncflora_ckan
Annona gardneri,EN,cncflora_ckan
Annona neosericea,LC,cncflora_ckan
Annona salzmannii,LC,cncflora_ckan
Annona sylvatica,LC,cncflora_ckan
Bocagea viridis,VU,cncflora_ckan
Bocageopsis pleiosperma,LC,cncflora_ckan
Cymbopetalum euneurum,EN,cncflora_ckan
Diclinanona matogrossensis,DD,cncflora_ckan
Duckeanthus grandiflorus,DD,cncflora_ckan
Duguetia aripuanae,DD,cncflora_ckan
Duguetia bahiensis,VU,cncflora_ckan
Duguetia chrysocarpa,LC,cncflora_ckan
Duguetia dicholepidota,DD,cncflora_ckan
Duguetia elliptica,DD,cncflora_ckan
Duguetia gardneriana,LC,cncflora_ckan
Duguetia longicuspis,LC,cncflora_ckan
Duguetia magnolioidea,EN,cncflora_ckan
Duguetia manausensis,LC,cncflora_ckan
Duguetia megalocarpa,LC,cncflora_ckan
Duguetia riedeliana,LC,cncflora_ckan
Duguetia rotundifolia,VU,cncflora_ckan
Duguetia sessilis,LC,cncflora_ckan
Duguetia sooretamae,EN,cncflora_ckan
Duguetia subcordata,EN,cncflora_ckan
Ephedranthus dimerus,LC,cncflora_ckan
Ephedranthus pisocarpus,LC,cncflora_ckan
Guatteria candolleana,LC,cncflora_ckan
Guatteria cryandra,LC,cncflora_ckan
Guatteria duckeana,LC,cncflora_ckan
Guatteria emarginata,DD,cncflora_ckan
Guatteria ferruginea,LC,cncflora_ckan
Guatteria friesiana,LC,cncflora_ckan
Guatteria hispida,EN,cncflora_ckan
Guatteria latifolia,EN,cncflora_ckan
Guatteria macropus,LC,cncflora_ckan
Guatteria oligocarpa,LC,cncflora_ckan
Guatteria pogonopus,LC,cncflora_ckan
Guatteria rigida,LC,cncflora_ckan
Guatteria stenocarpa,EN,cncflora_ckan
Hornschuchia citriodora,NT,cncflora_ckan
Hornschuchia myrtillus,VU,cncflora_ckan
Malmea manausensis,LC,cncflora_ckan
Oxandra martiana,LC,cncflora_ckan
Oxandra unibracteata,CR,cncflora_ckan
Porcelia macrocarpa,LC,cncflora_ckan
Pseudoxandra bahiensis,VU,cncflora_ckan
Pseudoxandra duckei,DD,cncflora_ckan
Pseudoxandra obscurinervis,LC,cncflora_ckan
Pseudoxandra pilosa,DD,cncflora_ckan
Pseudoxandra rionegrensis,DD,cncflora_ckan
Pseudoxandra spiritus-sancti,EN,cncflora_ckan
Trigynaea flagelliflora,DD,cncflora_ckan
Trigynaea oblongifolia,EN,cncflora_ckan
Unonopsis aurantiaca,EN,cncflora_ckan
Unonopsis bahiensis,LC,cncflora_ckan
Unonopsis bauxitae,CR,cncflora_ckan
Unonopsis duckei,LC,cncflora_ckan
Unonopsis heterotricha,DD,cncflora_ckan
Unonopsis renati,CR,cncflora_ckan
Unonopsis sanctae-teresae,CR,cncflora_ckan
Xylopia brasiliensis,VU,cncflora_ckan
Xylopia calophylla,LC,cncflora_ckan
Xylopia decorticans,EN,cncflora_ckan
Xylopia involucrata,VU,cncflora_ckan
Xylopia langsdorfiana,LC,cncflora_ckan
Xylopia longicuspis,DD,cncflora_ckan
Xylopia nitida,LC,cncflora_ckan
Xylopia ochrantha,LC,cncflora_ckan
Xylopia uniflora,DD,cncflora_ckan
Xylopia xylantha,DD,cncflora_ckan
Ambelania duckei,LC,cncflora_ckan
Aspidosperma camporum,LC,cncflora_ckan
Aspidosperma carapanauba,LC,cncflora_ckan
Aspidosperma dispermum,LC,cncflora_ckan
Aspidosperma illustre,NT,cncflora_ckan
Aspidosperma inundatum,DD,cncflora_ckan
Aspidosperma salgadense,EN,cncflora_ckan
Aspidosperma thomasii,EN,cncflora_ckan
Lacmellea bahiensis,EN,cncflora_ckan
Lacmellea pauciflora,EN,cncflora_ckan
Malouetia amplexicaulis,DD,cncflora_ckan
Malouetia aquatica,DD,cncflora_ckan
Malouetia gracillima,EN,cncflora_ckan
Molongum zschokkeiforme,LC,cncflora_ckan
Parahancornia amara,DD,cncflora_ckan
Rauvolfia atlantica,NT,cncflora_ckan
Rauvolfia capixabae,EN,cncflora_ckan
Rauvolfia pentaphylla,LC,cncflora_ckan
Rauvolfia pruinosifolia,DD,cncflora_ckan
Spongiosperma longilobum,EN,cncflora_ckan
Tabernaemontana brasiliensis,DD,cncflora_ckan
Tabernaemontana cumata,EN,cncflora_ckan
Ilex auricula,EN,cncflora_ckan
Ilex cerasifolia,LC,cncflora_ckan
Ilex euryaeformis,EN,cncflora_ckan
Ilex floribunda,LC,cncflora_ckan
Ilex grandis,VU,cncflora_ckan
Ilex lundii,LC,cncflora_ckan
Ilex petiolaris,LC,cncflora_ckan
Ilex sapiiformis,CR*,cncflora_ckan
Ilex sapotifolia,LC,cncflora_ckan
Ilex velutina,LC,cncflora_ckan
Aralia bahiana,EN,cncflora_ckan
Crepinella pallens,DD,cncflora_ckan
Dendropanax amorimii,EN,cncflora_ckan
Dendropanax brasiliensis,LC,cncflora_ckan
Dendropanax denticulatus,EN,cncflora_ckan
Dendropanax nebulosus,EN,cncflora_ckan
Schefflera aurata,EN,cncflora_ckan
Schefflera burchellii,LC,cncflora_ckan
Schefflera capixaba,CR,cncflora_ckan
Schefflera cephalantha,DD,cncflora_ckan
Schefflera kollmannii,EN,cncflora_ckan
Schefflera longipetiolata,LC,cncflora_ckan
Schefflera plurifolia,NT,cncflora_ckan
Schefflera prancei,LC,cncflora_ckan
Schefflera pubicarpa,LC,cncflora_ckan
Schefflera ruschiana,CR,cncflora_ckan
Schefflera selloi,LC,cncflora_ckan
Schefflera sprucei,EN,cncflora_ckan
Schefflera umbrosa,LC,cncflora_ckan
Schefflera villosissima,EN,cncflora_ckan
Acritopappus catolesensis,EN,cncflora_ckan
Acritopappus connatifolius,EN,cncflora_ckan
Acritopappus harleyi,CR,cncflora_ckan
Acritopappus irwinii,VU,cncflora_ckan
Acritopappus pereirae,CR,cncflora_ckan
Acritopappus pintoi,EN,cncflora_ckan
Acritopappus prunifolius,VU,cncflora_ckan
Acritopappus subtomentosus,CR,cncflora_ckan
Anteremanthus hatschbachii,EN,cncflora_ckan
Anteremanthus piranii,EN,cncflora_ckan
Chronopappus bifrons,EN,cncflora_ckan
Critoniopsis quinqueflora,LC,cncflora_ckan
Dendrophorbium glaziovii,NT,cncflora_ckan
Eremanthus arboreus,CR,cncflora_ckan
Eremanthus argenteus,EN,cncflora_ckan
Eremanthus auriculatus,VU,cncflora_ckan
Eremanthus brasiliensis,DD,cncflora_ckan
Eremanthus brevifolius,CR,cncflora_ckan
Eremanthus cinctus,LC,cncflora_ckan
Eremanthus elaeagnus,LC,cncflora_ckan
Eremanthus glomerulatus,LC,cncflora_ckan
Eremanthus goyazensis,LC,cncflora_ckan
Eremanthus polycephalus,NT,cncflora_ckan
Eremanthus uniflorus,LC,cncflora_ckan
Eremanthus veadeiroensis,EN,cncflora_ckan
Gorceixia decurrens,LC,cncflora_ckan
Hololepis hatschbachii,CR,cncflora_ckan
Lychnocephalus candelabrum,VU,cncflora_ckan
Lychnocephalus leucodendron,EN,cncflora_ckan
Lychnocephalus sellowii,EN,cncflora_ckan
Lychnocephalus tomentosus,VU,cncflora_ckan
Lychnophora crispa,EN,cncflora_ckan
Lychnophora diamantinana,EN,cncflora_ckan
Lychnophora ericoides,NT,cncflora_ckan
Lychnophora gardneri,VU,cncflora_ckan
Lychnophora granmogolensis,NT,cncflora_ckan
Lychnophora martiana,EN,cncflora_ckan
Lychnophora mello-barretoi,EN,cncflora_ckan
Lychnophora pinaster,NT,cncflora_ckan
Lychnophora pohlii,VU,cncflora_ckan
Lychnophora reticulata,EN,cncflora_ckan
Lychnophora rosmarinifolia,VU,cncflora_ckan
Lychnophora rupestris,EN,cncflora_ckan
Lychnophora santosii,EN,cncflora_ckan
Lychnophora souzae,CR,cncflora_ckan
Lychnophora staavioides,EN,cncflora_ckan
Lychnophora syncephala,EN,cncflora_ckan
Lychnophora villosissima,VU,cncflora_ckan
Lychnophoriopsis damazioi,EN,cncflora_ckan
Lychnophoriopsis hatschbachii,EN,cncflora_ckan
Maschalostachys markgrafii,EN,cncflora_ckan
Paralychnophora atkinsiae,CR,cncflora_ckan
Paralychnophora bicolor,VU,cncflora_ckan
Paralychnophora glaziouana,LC,cncflora_ckan
Paralychnophora harleyi,VU,cncflora_ckan
Paralychnophora patriciana,EN,cncflora_ckan
Paralychnophora reflexoauriculata,NT,cncflora_ckan
Piptocarpha axillaris,LC,cncflora_ckan
Piptocarpha densifolia,LC,cncflora_ckan
Piptocarpha longipedunculata,EN,cncflora_ckan
Piptocarpha organensis,LC,cncflora_ckan
Piptocarpha regnellii,LC,cncflora_ckan
Piptocarpha robusta,EN,cncflora_ckan
Symphyopappus lymansmithii,NT,cncflora_ckan
Trixis pruskii,NT,cncflora_ckan
Verbesina floribunda,NT,cncflora_ckan
Wunderlichia azulensis,VU,cncflora_ckan
Digomphia densicoma,LC,cncflora_ckan
Handroanthus arianeae,EN,cncflora_ckan
Handroanthus botelhensis,EN,cncflora_ckan
Handroanthus bureavii,LC,cncflora_ckan
Handroanthus cristatus,EN,cncflora_ckan
Handroanthus diamantinensis,DD,cncflora_ckan
Handroanthus grandiflorus,CR,cncflora_ckan
Handroanthus parviflorus,DD,cncflora_ckan
Handroanthus pedicellatus,LC,cncflora_ckan
Handroanthus riodocensis,EN,cncflora_ckan
Handroanthus selachidentatus,NT,cncflora_ckan
Handroanthus spongiosus,EN,cncflora_ckan
Handroanthus umbellatus,LC,cncflora_ckan
Handroanthus vellosoi,LC,cncflora_ckan
Jacaranda bracteata,LC,cncflora_ckan
Jacaranda brasiliana,LC,cncflora_ckan
Jacaranda carajasensis,DD,cncflora_ckan
Jacaranda grandifoliolata,EN,cncflora_ckan
Jacaranda intricata,DD,cncflora_ckan
Jacaranda irwinii,LC,cncflora_ckan
Jacaranda jasminoides,LC,cncflora_ckan
Jacaranda microcalyx,EN,cncflora_ckan
Jacaranda montana,LC,cncflora_ckan
Jacaranda obovata,LC,cncflora_ckan
Jacaranda praetermissa,LC,cncflora_ckan
Jacaranda pulcherrima,LC,cncflora_ckan
Jacaranda rugosa,EN,cncflora_ckan
Jacaranda simplicifolia,LC,cncflora_ckan
Paratecoma peroba,EN,cncflora_ckan
Sparattosperma catingae,EN,cncflora_ckan
Tabebuia cassinoides,VU,cncflora_ckan
Tabebuia elliptica,LC,cncflora_ckan
Tabebuia reticulata,LC,cncflora_ckan
Zeyheria tuberculosa,NT,cncflora_ckan
Cordia aberrans,LC,cncflora_ckan
Cordia acutifolia,LC,cncflora_ckan
Cordia anabaptista,LC,cncflora_ckan
Cordia brasiliensis,LC,cncflora_ckan
Cordia decipiens,LC,cncflora_ckan
Cordia fusca,EN,cncflora_ckan
Cordia gardneri,EN,cncflora_ckan
Cordia glabrifolia,LC,cncflora_ckan
Cordia hatschbachii,VU,cncflora_ckan
Cordia incognita,LC,cncflora_ckan
Cordia latiloba,EN,cncflora_ckan
Cordia magnoliifolia,LC,cncflora_ckan
Cordia ochnacea,EN,cncflora_ckan
Cordia oncocalyx,LC,cncflora_ckan
Cordia restingae,EN,cncflora_ckan
Cordia tarodae,EN,cncflora_ckan
Bursera pereirae,EN,cncflora_ckan
Dacryodes edilsonii,EN,cncflora_ckan
Protium bahianum,EN,cncflora_ckan
Protium glaziovii,EN,cncflora_ckan
Protium pilosellum,DD,cncflora_ckan
Protium widgrenii,LC,cncflora_ckan
Tetragastris catuaba,EN,cncflora_ckan
Trattinnickia ferruginea,EN,cncflora_ckan
Trattinnickia mensalis,EN,cncflora_ckan
Facheiroa cephaliomelana,EN,cncflora_ckan
Pilosocereus azulensis,CR,cncflora_ckan
Pilosocereus glaucochrous,VU,cncflora_ckan
Caraipa balbinensis,CR,cncflora_ckan
Caraipa glabra,DD,cncflora_ckan
Caraipa minor,NT,cncflora_ckan
Caraipa multinervia,DD,cncflora_ckan
Caraipa odorata,DD,cncflora_ckan
Caraipa rodriguesii,VU,cncflora_ckan
Haploclathra grandiflora,DD,cncflora_ckan
Kielmeyera albopunctata,VU,cncflora_ckan
Kielmeyera altissima,DD,cncflora_ckan
Kielmeyera bifaria,EN,cncflora_ckan
Kielmeyera decipiens,CR,cncflora_ckan
Kielmeyera elata,EN,cncflora_ckan
Kielmeyera ferruginosa,CR,cncflora_ckan
Kielmeyera marauensis,EN,cncflora_ckan
Kielmeyera membranacea,LC,cncflora_ckan
Kielmeyera neglecta,LC,cncflora_ckan
Kielmeyera occhioniana,EN,cncflora_ckan
Kielmeyera rizziniana,EN,cncflora_ckan
Kielmeyera rufotomentosa,EN,cncflora_ckan
Kielmeyera rupestris,CR,cncflora_ckan
Kielmeyera sigillata,CR,cncflora_ckan
Cinnamodendron axillare,EN,cncflora_ckan
Cinnamodendron dinisii,LC,cncflora_ckan
Cinnamodendron occhionianum,CR,cncflora_ckan
Celtis orthacanthos,EN,cncflora_ckan
Colicodendron bahianum,VU,cncflora_ckan
Caryocar cuneatum,LC,cncflora_ckan
