"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","808349","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","E. Pereira","8214","1964","01","21","South America","Brazil","São Paulo","Jacupiranga","Planalto entre Jacupiranga e divisa do Paraná","-48","-24.6903","620","620","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00808349","NY00808349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","808350","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","P. K. H. Dusén","16178","1914","12","27","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyba","-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00808350","NY00808350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:37:11-03","EAO","IAN","76553","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii vestita","Baker","Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN076553",NA,"vestita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:14-03","EAO","IAN","102515","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii vestita","Baker","Magalhães, MG","1864","1942","07","12","Southern America","Brasil","Minas Gerais","Belo Horizonte","Cerrado com vegetação do tipo mixto. Vila Independência.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 1,50m de altura, isolado; flor violáceo-palida.","IAN102515",NA,"vestita","Barreto, M","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:35:14-03","EAO","IAN","14333","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii vestita","Baker","Magalhães, MG","3040","1942","07","25","Southern America","Brasil","Minas Gerais","Belo Horizonte","Cerrado sujo, Vila Independência.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 1,50m de altura; flores violácea-clara. Pouco frequente.","IAN014333","IAN014333 IAN014333_e","vestita","Barreto, M","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:52:12-03","NBC","NL-BOTANY","U.1150468","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Gottsberger IS; Gottsberger GK",NA,"1977","05","17","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1150468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1150468","NL-U1150468",NA,"Barroso GM",NA,NA,"Magnoliopsidae","U 0100501",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:02:27-03","ESALQ","ESA","128876","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii",NA,"Colletta, G.D.","1247.0","2013","06","18",NA,"Brasil","São Paulo","Ilhabela","Estrada da Sipituba, próximo a cachoeira da vista","-45.3499984741211","-23.7700004577637",NA,NA,NA,"Arvoreta, 2m, flores brancas e arroxeadas","ESA128876",NA,NA,"Souza, V.C.","23719","auto",NA,NA,"2013",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:02:43-03","ESALQ","ESA","68917","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Ivanauskas, N.M.; Mendes, J.C.T.; Ferraz, K.M.B.; Ferraz, S.F.B.; Silva, E.V.; Valente, R.; Rocha, E.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","4521.0","2000","04","19",NA,"Brasil","São Paulo","São Sebastião","Parque Estadual da Serra do Mar, estrada intermediária. Floresta ombrófila densa de encosta com perturbação. Área aberta","-453.271","-234.495",NA,NA,NA,"Arbusto com 1,20 metros de altura, capítulos brancos e lilás, cheiro doce","ESA068917","ESA068917",NA,"Semir, J.",NA,NA,NA,NA,NA,"-453,271","-234,495",NA,NA,NA,NA
"9","2020-11-04 11:02:43-03","ESALQ","ESA","75195","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii",NA,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2215.0","2001","04","13",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu.","-464.631","-23.592","750","750",NA,"Arbusto, 2,5m alt. Flores lilás-claro.","ESA075195","ESA075195",NA,"Semir, J.",NA,NA,NA,NA,NA,"-464,631","-23,592",NA,NA,NA,NA
"10","2020-11-04 11:02:43-03","ESALQ","ESA","71172","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Souza, J.P.; Zidko, A.; Mendonça, C.G.; Baptista, V.R.; Ferreira, L.; Cielo Filho, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3220.0","2000","04","18",NA,"Brasil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Estrada Intermadiária, Km 30. Floresta Ombrófila Densa de Encosta com perturbação, 600msm. Borda da mata","-453.706","-234.132",NA,NA,NA,"Erva, 80cm alt, capítulos róseos","ESA071172","ESA071172",NA,"Semir, J.",NA,NA,NA,NA,NA,"-453,706","-234,132",NA,NA,NA,NA
