"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02674869","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","D. Piotto","D. Piotto","3412","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671561' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674869","NY02674869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","377996","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","G. T. Prance","S. A. Mori","13774","1981","04","28","South America","Brazil","Bahia","Una","Maruim, border on the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema","-39.0833","-15.15","100","100","sheet","Voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","377993","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","G. T. Prance","I. A. Silva","283","1981","12","23","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. MAC. P. DE SAPO, ant. 161, km 3.568, lado direito","-40.0719","-19.3911",NA,NA,"sheet","Specimen number Reserva Florestal Da C.V.R.D. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","377997","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","G. T. Prance","S. A. Mori","14017","1981","05","14","South America","Brazil","Bahia","Una","Maruim, border on the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema","-39.0833","-15.15","100","100","sheet","Voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","377999","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","G. T. Prance","R. P. Belém","3169","1967","01","18","South America","Brazil","Bahia","Maraú","Mata costeira","-39","-14.1333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","377994","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","G. T. Prance","S. A. Mori","9336","1978","02","27","South America","Brazil","Bahia","Una","Ramal que liga a BA 265 (Rod. Una Rio Branco) a BR 101 (Sao José), a 8 km SW do cruzamento e a 20 km NW de Una, em linha reta. Regiao de Mata Higrófila Sul Baiana.","-39.2698333","-15.1903162","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","377998","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","G. T. Prance","R. P. Belém","3132","1967","01","17","South America","Brazil","Bahia","Maraú","Mata costeira","-39","-14.1333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","377995","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","G. T. Prance","R. P. Belém","3169","1967","01","18","South America","Brazil","Bahia","Maraú","Mata costeira","-39","-14.1333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","428060","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance",NA,"R. P. Belém","3146","1967","01","17","South America","Brazil","Bahia","Maraú","Mata costeira","-39","-14.1333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428060","NY00428060_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:36:43-03","EAO","IAN","137156","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Chrysobalanaceae","Couepia","belemii","Couepia belemii","Prance","Prance, GT","Belém, RP; Pinheiro, RS","3146","1967","01","17","Southern America","Brasil","Bahia","Maraú","Marau,Bahia,mata costeira.","-39.0147018432617","-14.103099822998",NA,NA,NA,"Árvore de 15m x 20cm de diametro.petalas brancas,sepalas verdes.ovario amarelo.","IAN137156",NA,"isotipo","1974","47076","auto",NA,NA,NA,NA,NA,NA,NA
