"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","monthIdentified","dayIdentified","class","individualCount"
"1","2020-09-23 10:44:29-03","E","E","502181","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla","unspecified kind of","Sellow, Friedrich","213","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:547781","<a href=http://data.rbge.org.uk/herb/E00502181 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00502181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02578477","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"N. F. de O. Mota","2632","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2833618' target='other'> <mi>dwc_moreinfo</mi></a>","NY02578477","Magnoliophyta","Poales","Mart.","2011","04","15","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó.","-43.3586","-19.2647","1325","NY02578477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02578475","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"N. F. de O. Mota","2211","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2833616' target='other'> <mi>dwc_moreinfo</mi></a>","NY02578475","Magnoliophyta","Poales","Mart.","2011","04","08","Minas Gerais","Morro do Pilar","PARNA Serra do Cipó- trilha do vale do corrego do Salitreiro. Campo rupestre proximo ao corrego do Salitreiro.","-43.5136","-19.2856",NA,"NY02578475_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","872451","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"L. B. Smith","6768","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872451","Magnoliophyta","Poales","Mart.","1952","04","28","Minas Gerais","Jaboticatubas","Serra do Cipó, Palacio","-43.58","-19.17","1200","NY00872451_01","M. das G. L. Wanderley","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1747900","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"D. C. Zappi","1933","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008660' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747900","Magnoliophyta","Poales","Mart.","2009","03","09","Minas Gerais","Santana do Pirapama","Serra do Cipó, acesso pela Faz. Inhame, Trilha da Senhorinha, primeiro platô.","-43.7494","-18.9428","1305","NY01747900_01","M. das G. L. Wanderley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:53-03","UFRJ","RFA","6465","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"Mendes Magalhães","17395",NA,"Brasil",NA,NA,"Subarbusto, colônias","RFA32079",NA,NA,"Mart.","1960","04","02","Minas Gerais","Diamantina","Serras de Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:54:34-03","EAO","IAN","138329","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"Irwin, HS; Fonsêca, SG da","27559","Southern America","Brasil",NA,NA,"Inflorescences to ca. 50cm tall. Perianth yellow.","IAN138329","Monocotiledônea",NA,"Kunth","1970","03","15","Minas Gerais",NA,"Wet places. Cerrado on steep slopes, ca. 25km E. of Diamantina, near rio Jetiqui. Elev. 800m.",NA,NA,NA,NA,"Smith, LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:54:35-03","EAO","IAN","23986","PreservedSpecimen","Plantae","Xyridaceae","Xyris","martiana","Xyris martiana",NA,"Pohl, RW","s.n.","Southern America","Brasil",NA,NA,NA,"IAN023986","Monocotiledônea",NA,"Seub.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:47:46-03","MBM","MBM","426436","PreservedSpecimen","Plantae","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"Mota, N.F.O.; Freitas, G.H.S.; Costa, L.M.; Freitas, G.H.S.; Costa, L.M.","2211","Southern America","Brazil",NA,NA,"Erva terrestre, cespitosa. Flores amarelas.; Campo rupestre, próximo a base do pico do Salitreiro (carta IBGE).","MBM426436",NA,NA,"Mart.","2011","04","08","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Trilha do vale do córrego do Salitreiro","-43.513611","-19.285556",NA,NA,"Mota, N.F.O.",NA,NA,NA,"2011","-43.513611","-19.285556",NA,NA,NA,NA,NA
"10","2015-09-03 21:07:02-03","MNHN","RECOLNAT_MNHN_P","P01679891","PreservedSpecimen",NA,"Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla",NA,"Vauthier",NA,NA,"Brasil","hb",NA,". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01679891' target='other'> <mi>dwc_moreinfo</mi></a>","P01679891",NA,NA,"Mart.",NA,NA,NA,"Minas Gerais",NA,"Serra do Frio. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,"P01679891_01","Wanderley",NA,NA,NA,NA,NA,NA,"377",NA,NA,NA,NA
