"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","eventTime","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","860339","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","J. F. Pruski","P. E. Gibbs","5260","1977","05","17","South America","Brazil","Minas Gerais","Diamantina","20 km S de Diamantina. Serra na estrada para Conselheiro da Mata.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860339","NY00860339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00957848","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","J. N. Nakajima","N. Roque","206","1996","07","14","South America","Brazil","Minas Gerais","Diamantina","Diamantina, estrada para Mendanha, km 571,5","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957848","NY00957848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1144504","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","B. Loeuille","E. Pereira","1677","1955","06","06","South America","Brazil","Minas Gerais","Diamantina",NA,"-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293041' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144504","NY01144504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","860891","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","B. Loeuille","W. R. Anderson","35138","1972","02","02","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço, ca. 35 km SW of Gouveia, km 243 on MG-259","-43.98545","-18.6094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860891","NY00860891_01","1080","1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","860329","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","N. F. F. MacLeish","B. Maguire","44738","1959","10","22","South America","Brazil","Minas Gerais",NA,"49 miles from Diamantina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860329","NY00860329_01","1158","1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","860338","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","N. F. F. MacLeish","Y. E. J. Mexia","5887","1931","05","20","South America","Brazil","Minas Gerais","Diamantina","Barão, about 1 km. along railroad in open, gravelly open pasture.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860338","NY00860338_01","1170","1170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","860331","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","N. F. F. MacLeish","N. F. F. MacLeish","689","1980","10","03","South America","Brazil","Minas Gerais",NA,"Between Gouveia and Diamantina","-43.6719","-18.348","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860331","NY00860331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","860328","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus","(Mart. ex DC.) Sch.Bip.","N. F. F. MacLeish","H. Schumacher","1110","1981","09","06","South America","Brazil","Minas Gerais",NA,"Between BR 116 and Diamantina, 34 km from Capelinha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860328","NY00860328_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1018365","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","seidelii","Eremanthus seidelii","MacLeish & H.Schumach.","J. N. Nakajima","D. Sasaki","560","2003","06","20","South America","Brazil","São Paulo","Pedregulho","Estreito. Usina de Estreito (Acampmento de Estreito) Encosta à margem da represa, próxima ao antiga aeroporto.","-47.2731","-20.1644","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1258836' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018365","NY01018365_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-28 13:11:04-03","MCN-PUC-MINAS","HPUC-MG","ANG2188","S","Plantae",NA,NA,"Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus",NA,"Jimi Nakajima","Thaís",NA,"2013","12","08",NA,"Brasil","Minas Gerais","Serro","Baú","-43.3793983459473","-18.604700088501",NA,"Folhas alternas, glabras, verdes na face adaxial e acizentadas na face abaxial. UTM: 655602x; 97952507y.",NA,NA,"1","1","2016","03","01","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
