"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","phylum","order","typeStatus","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:37-03","UNESC","CRI","13859","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","martianus","Struthanthus martianus","Dettke & Waechter","Greta Aline Dettke","2018","07","25","Alexandre Medeiros","901","2018","07","25","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Brava","-48.593333","-27.006944","48º35'36''W","27º0'25''S","Flor verde planta parasita Habitat: Hemiparasita Habito: Herbácea","CRI012470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","13682","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","martianus","Struthanthus martianus","Dettke & Waechter","Alexandre Medeiros","2017","09","27","Alexandre Medeiros",NA,"2017","09","27","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 728. Habito: Herbácea","CRI012289","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03376825","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","dorothyi","Struthanthus dorothyi","Rizzini",NA,NA,NA,NA,"D. S. D. de Araújo","5935","1984","01","19","Brazil","Rio de Janeiro","Macaé","Restinga de Carapebus","-41.7867","-22.3708",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3825369' target='other'> <mi>dwc_moreinfo</mi></a>","NY03376825",NA,NA,"Magnoliophyta","Santalales","isotype","South America","sheet","NY03376825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","644547","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus","(Desr.) Blume",NA,NA,NA,NA,"R. M. Harley","21244","1980","04","11","Brazil","Bahia",NA,"Serra Geral de Caitité. 1.5 km S of Brejinhos das Ametistas. G5","-41.48","-14.15",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644547",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644547_01","900","900",NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 14:57:00-03","NY","NYBG","644554","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus",NA,NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644554",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03687195","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus","(Desr.) Blume","C. S. Caires",NA,NA,NA,"L. Nusbaumer","4219","2014","10","23","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.431183","-9.251864",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952252' target='other'> <mi>dwc_moreinfo</mi></a>","NY03687195",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY03687195_01","660",NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 14:57:00-03","NY","NYBG","644546","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus",NA,"C. T. Rizzini",NA,NA,NA,"B. L. Stannard","CFCR7434","1984","12","21","Brazil","Bahia","Piata","Próximo à Serra do Gentic. (Gerais - entre Piata e Serra do Tromba)","-41.7728","-13.1519",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644546",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","644552","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus","(Desr.) Blume","B. L. Stannard",NA,NA,NA,"R. M. Harley","26193","1988","11","17","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Ao noroeste do Campo do Queiroz","-41.97","-13.52",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644552",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644552_01","1550","1550",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 14:57:00-03","NY","NYBG","644557","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus",NA,"J. Kuijt",NA,NA,NA,"T. W. Henkel","2544","1993","08","14","Guyana",NA,NA,"Upper Demerara-Berbice. Berbice savanna near Takama Army Base","-57.95","5.72",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644557",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet",NA,"100","100",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","823445","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus","(Desr.) Blume","J. Kuijt",NA,NA,NA,"R. M. Harley","50020","1991","12","19","Brazil","Bahia","Abaíra","Arredores de Catolés.","-41.85","-13.28",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823445",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00823445_01","850","1100",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02104704","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus","(Desr.) Blume",NA,NA,NA,NA,"P. da C. Gadelha Neto","3322","2012","06","29","Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda: Restinga Nativa.","-34.9769","-6.5022",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2316520' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104704",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY02104704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","644553","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus","(Desr.) Blume","J. Kuijt",NA,NA,NA,"A. M. V. de Carvalho","6311","1997","02","12","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod BA-001 Ilhéus/Una","-39.1326088","-15.1730243",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644553",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-26 23:37:00-03","NY","NYBG","644558","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus",NA,NA,NA,NA,NA,"Fr. Elias","1066","1933","07",NA,"Colombia",NA,NA,"Barranquilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644558",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 14:57:00-03","NY","NYBG","644543","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus",NA,"J. Kuijt",NA,NA,NA,"E. I. Silva","18","1995","03","15","Brazil","Pernambuco","Bonito","Bonito, Reserva Ecológica Municipal de Prefeitura de Bonito","-35.7283","-8.4706",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644543",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 14:58:00-03","NY","NYBG","644542","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus",NA,NA,NA,NA,NA,"B. L. Stannard","1026","1999","02","14","Brazil","Espírito Santo",NA,"Itarana. Estrada de terra para Jatiboca ca. de 12.4 km da estrada Itarana - Santa Teresa","-40.87","-19.85",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644542",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644542_01","530","530",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","644555","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus","(Desr.) Blume",NA,NA,NA,NA,"Wilkes Expedition","s.n.","1838",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Brazil, near Rio de Janeiro","-43.448386","-22.913514",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644555",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 14:57:00-03","NY","NYBG","644545","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","marginatus","Struthanthus marginatus",NA,"C. T. Rizzini",NA,NA,NA,"A. C. Brade","20083","1949","09","19","Brazil","Rio de Janeiro",NA,"Estrada de Sernambetiba",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644545",NA,NA,"Magnoliophyta","Santalales",NA,"South America","sheet","NY00644545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
