"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02841609","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B.Martins","M. Verdi","7381","2014","11","27","South America","Brazil","Goiás","Alto Paraíso de Goiás","Pousada Fazenda São Bento, Almecega I.","-47.590833","-14.172778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3137792' target='other'> <mi>dwc_moreinfo</mi></a>","NY02841609","NY02841609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","477716","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B.Martins","S. Machado","129","1959","11","25","South America","Brazil","São Paulo","Itapetininga","Bom Retiro; SW da cid. de Itapetininga, margens do rio Paranapanema","-48.0497","-23.5903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477716","NY00477716_01","K. F. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1523331","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B.Martins","S. Romaniuc Neto","637","1987","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros, proximo á sede do IBDF. Proximo ao riacho Jose Jacó","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1793970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523331","NY01523331_01","K. F. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 16:25:00-03","NY","NYBG","477702","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii",NA,"M. das G. Sajo","s.n.","1986","11","26","South America","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477702","NY00477702_01","K. F. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1523263","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B.Martins","H. S. Irwin","33119","1971","03","24","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 40 km N of Alto Paraíso","-47.5167","-13.75517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792380' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523263","NY01523263_01","A. B. Martins","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 16:25:00-03","NY","NYBG","477700","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii",NA,"W. Hoehne","s.n.","1948","12","16","South America","Brazil","São Paulo","Sao Paulo","Brooklin Paulista","-46.680951","-23.621551","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477700","NY00477700_01","K. F. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4218335","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B.Martins","F. Almeda","9441","2009","02","19","South America","Brazil","Goiás","Alto Paraiso","Turnoff at Km 12 of main road out of Alto Paraíso de Goiás (left turn) to Parque Nacional Chapada dos Veadeiros, 5 km down this road to Serra da Boa Vista.","-47.62703","-14.18556","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451456' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218335",NA,NA,"1220","1220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:20:00-03","UFBA","ALCB","67338","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B.Martins","Silva, GP da; Pereira, JB; Jesus, JA de; Carvalho-Silva, M; Santos, S dos","5953","2002","02","21","Southern America","Brasil","Goiás","Cavalcante","entroncamento Vila Veneno - balsa rio São Félix - Cavalcante, km 43","-47.823333","-13.675278",NA,"flor laranja.; relevo ondulado. Substrato arenoso. Área de influência da UHE Cana Brava, influência indireta.","ALCB061221",NA,"Rodrigues, KF","820","820","2011","01","-47.823333","-13.675278",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:20:00-03","UFBA","ALCB","67435","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B.Martins","Pastore, JFB; Aguiar, AC de; Fort.-Perez, AP; Bringel Júnior, JBA","771","2004","02","01","Southern America","Brasil","Goiás","Alto Paraíso","estrada de Alto Paraíso para São Jorge, aprox. 20 km da estrada de São Jorge",NA,NA,NA,"flor vermelha, estames amarelos.; relevo plano, solo arenoso.","ALCB061220",NA,"Rodrigues, KF",NA,NA,"2011","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:31:36-03","MN","R","9248","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B. Martins","Glaziou, A.F.M.","21204","1866","12","06",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009248","R000009248_001","Martins, A.B.",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0024818","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","glaziovii","Cambessedesia glaziovii","Cogn. ex A.B. Martins","G. Hatschbach; M. Hatschbach & J. M. Silva","54652","1990","10","16",NA,"Brazil","Goias",NA,"Rod. GO-327, Rio das Cobras (mun. Alto Paraíso) Goias, Brazil","-47.521517","-14.133556",NA,"PMC - SMMA 004 ; MS 67; Ereta, 50 cm, pétalas vermelhas, estames amarelos.",NA,NA,"J. J. Wurdack","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
